crate	version	start_utc	end_utc	result	attempts
apr-format	0.68.1	2026-09-17T22:00:38Z	2026-09-17T22:00:46Z	published	1
aprender-common	0.68.1	2026-09-17T22:00:47Z	2026-09-17T22:00:57Z	published	1
aprender-contracts-macros	0.68.1	2026-09-17T22:00:57Z	2026-09-17T22:01:02Z	published	1
aprender-cupti	0.68.1	2026-09-17T22:01:02Z	2026-09-17T22:01:06Z	published	1
aprender-data	0.68.1	2026-09-17T22:01:08Z	2026-09-17T22:01:29Z	published	1
aprender-fft	0.68.1	2026-09-17T22:01:30Z	2026-09-17T22:01:34Z	published	1
aprender-gemm-codegen	0.68.1	2026-09-17T22:01:34Z	2026-09-17T22:01:37Z	published	1
aprender-image	0.68.1	2026-09-17T22:01:38Z	2026-09-17T22:01:41Z	published	1
aprender-mcp	0.68.1	2026-09-17T22:01:42Z	2026-09-17T22:01:50Z	published	1
aprender-present-test-macros	0.68.1	2026-09-17T22:01:51Z	2026-09-17T22:01:54Z	published	1
aprender-profile-core	0.68.1	2026-09-17T22:01:54Z	2026-09-17T22:01:57Z	published	1
aprender-ptx-debug	0.68.1	2026-09-17T22:01:58Z	2026-09-17T22:02:02Z	published	1
aprender-quant	0.68.1	2026-09-17T22:02:02Z	2026-09-17T22:02:06Z	published	1
aprender-rand	0.68.1	2026-09-17T22:02:06Z	2026-09-17T22:02:09Z	published	1
aprender-solve	0.68.1	2026-09-17T22:02:10Z	2026-09-17T22:02:13Z	published	1
aprender-sparse	0.68.1	2026-09-17T22:02:13Z	2026-09-17T22:02:16Z	published	1
aprender-tensor	0.68.1	2026-09-17T22:02:17Z	2026-09-17T22:02:20Z	published	1
aprender-test-derive	0.68.1	2026-09-17T22:02:21Z	2026-09-17T22:02:23Z	published	1
aprender-test-js-gen	0.68.1	2026-09-17T22:02:24Z	2026-09-17T22:02:33Z	published	1
aprender-train-wasm	0.68.1	2026-09-17T22:02:34Z	2026-09-17T22:02:40Z	published	1
aprender-verify	0.68.1	2026-09-17T22:02:41Z	2026-09-17T22:02:47Z	published	1
aprender-contracts	0.68.1	2026-09-17T22:02:47Z	2026-09-17T22:02:57Z	published	1
aprender-contrastive-data	0.68.1	2026-09-17T22:02:58Z	2026-09-17T22:03:04Z	published	1
aprender-present-core	0.68.1	2026-09-17T22:03:04Z	2026-09-17T22:03:12Z	published	1
aprender-contracts-cli	0.68.1	2026-09-17T22:03:13Z	2026-09-17T22:03:22Z	published	1
aprender-present-layout	0.68.1	2026-09-17T22:03:23Z	2026-09-17T22:03:31Z	published	1
aprender-present-terminal	0.68.1	2026-09-17T22:03:32Z	2026-09-17T22:03:43Z	published	1
aprender-present-test	0.68.1	2026-09-17T22:03:44Z	2026-09-17T22:03:51Z	published	1
aprender-present-yaml	0.68.1	2026-09-17T22:03:52Z	2026-09-17T22:03:58Z	published	1
aprender-present-cli	0.68.1	2026-09-17T22:03:59Z	2026-09-17T22:04:06Z	published	1
aprender-present-widgets	0.68.1	2026-09-17T22:04:07Z	2026-09-17T22:04:13Z	published	1
aprender-simulate	0.68.1	2026-09-17T22:04:14Z	2026-09-17T22:04:38Z	published	1
aprender-test-showcase	0.68.1	2026-09-17T22:04:38Z	2026-09-17T22:04:46Z	published	1
aprender-gpu	0.68.1	2026-09-17T22:04:47Z	2026-09-17T22:04:53Z	published	1
aprender-present-lib	0.68.1	2026-09-17T22:04:54Z	2026-09-17T22:05:01Z	published	1
aprender-cgp	0.68.1	2026-09-17T22:05:02Z	2026-09-17T22:07:16Z	published	2
aprender-cuda-edge	0.68.1	2026-09-17T22:07:16Z	2026-09-17T22:07:20Z	published	1
aprender-explain	0.68.1	2026-09-17T22:07:21Z	2026-09-17T22:09:44Z	published	2
aprender-zram-core	0.68.1	2026-09-17T22:09:45Z	2026-09-17T22:09:51Z	published	1
aprender-compute	0.68.1	2026-09-17T22:09:52Z	2026-09-17T22:10:07Z	published	1
aprender-zram-adaptive	0.68.1	2026-09-17T22:10:08Z	2026-09-17T22:12:16Z	published	2
aprender-zram-generator	0.68.1	2026-09-17T22:12:17Z	2026-09-17T22:12:21Z	published	1
aprender-cbtop	0.68.1	2026-09-17T22:12:22Z	2026-09-17T22:14:41Z	published	2
aprender-core	0.68.1	2026-09-17T22:14:42Z	2026-09-17T22:15:09Z	published	1
aprender-db	0.68.1	2026-09-17T22:15:11Z	2026-09-17T22:15:31Z	published	1
aprender-test-lib	0.68.1	2026-09-17T22:15:32Z	2026-09-17T22:16:00Z	published	1
