# PP-ARCH-001 Phase 0 (#3422): duplicate RMSNorm/RoPE/softmax/attention
# implementations outside the shared layer. Generated by
# scripts/classify_shared_block_adoption.py --write-baseline. This file may
# only SHRINK: a migration deletes rows; a new row is a new duplicate.
# family	path (under crates/aprender-serve/src)	fn
attention	apr/helpers.rs	simple_attention
attention	apr_transformer/attention_kernels.rs	causal_attention_cached
attention	apr_transformer/cache_attention.rs	compute_attention_with_cache
attention	apr_transformer/compute_attention.rs	compute_attention_with_cache
attention	apr_transformer/pmat-260.rs	compute_causal_gqa_attention
attention	cuda/executor/flash_attention_cached.rs	flash_attention_cached
attention	gguf/inference/attention_gqa.rs	gpu_attention_with_cache
attention	gguf/inference/cache.rs	attention_with_cache_gqa
attention	gguf/inference/cache.rs	attention_with_cache_gqa_into
attention	gguf/inference/cache.rs	gpu_attention_with_cache
attention	gguf/inference/cached/single_true_batched_owned.rs	gpu_fused_causal_attention
attention	gguf/inference/cached/thread-safe.rs	gpu_fused_causal_attention
attention	gguf/inference/flash_attention_dispatch.rs	flash_attention_tiled
attention	gguf/inference/flash_attention_tiled.rs	flash_attention_tiled
attention	gguf/inference/forward/batch_tiled_causal_owned.rs	tiled_bidirectional_attention
attention	gguf/inference/forward/batch_tiled_causal_owned.rs	tiled_causal_attention
attention	gguf/inference/forward/batch_tiled_causal_owned.rs	tiled_cross_attention
attention	gguf/inference/forward/batched.rs	compute_attention_output
attention	gguf/inference/forward/forward_qwen35.rs	forward_attention
attention	gguf/inference/rope.rs	attention_with_cache
attention	gguf/inference/rope.rs	causal_attention
attention	gpu/adapters/apr_q4k.rs	gqa_attention
attention	gpu/scheduler/attention.rs	simplified_attention
attention	gpu/scheduler/kv_forward_block.rs	gqa_attention_with_kv
attention	gpu/scheduler/kv_forward_block.rs	gqa_incremental_attention
attention	gpu/scheduler/ops.rs	gqa_multihead_attention
rmsnorm	gguf/inference/forward/forward_qwen35.rs	gated_rmsnorm
rmsnorm	gpu/scheduler/linear_attn.rs	rms_norm_gated
rope	gguf/inference/forward/forward_qwen35.rs	apply_partial_neox_rope
rope	gguf/inference/rope.rs	apply_rope
rope	gpu/adapters/apr_q4k.rs	apply_rope_neox
rope	gpu/simd_ops.rs	rope_frequency_table
rope	gpu/simd_ops.rs	rope_trig_vectors
softmax	apr/helpers.rs	softmax_causal
softmax	apr_transformer/attention_kernels.rs	softmax_inplace
softmax	bench/mod_measurements_itl_metrics.rs	softmax
softmax	gguf/inference/cached/attention.rs	batched_causal_softmax
softmax	gguf/inference/forward/acceleration.rs	apply_causal_mask_softmax
softmax	gpu/scheduler/attention.rs	apply_causal_softmax
softmax	gpu/scheduler/attention.rs	softmax_inplace
softmax	gpu/simd_ops.rs	scalar_softmax
softmax	gpu/simd_ops.rs	simd_softmax
softmax	inference/simd.rs	simd_softmax
softmax	layers/mod.rs	softmax
softmax	quantize/avx2.rs	softmax_avx2
softmax	quantize/avx2.rs	softmax_scalar
softmax	quantize/quantize_rmsnorm_into.rs	softmax_avx2
softmax	quantize/quantize_rmsnorm_into.rs	softmax_scalar
