qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.994731) | vs FP32: ACCEPT (min cos 0.999255) (decode step excluded: FP32 chose 785, the GPU was fed 59604)
qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.993899) | vs FP32: ACCEPT (min cos 0.999078)
qwen2.5-1.5b-instruct-q4_k_m.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999257) | vs FP32: ACCEPT (min cos 0.999700)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.999683) | vs FP32: ACCEPT (min cos 0.999847)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.999628) | vs FP32: ACCEPT (min cos 0.999841)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999852) | vs FP32: ACCEPT (min cos 0.999943)
Qwen3-1.7B-Q4_K_M.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.991481) | vs FP32: ACCEPT (min cos 0.999583)
Qwen3-1.7B-Q4_K_M.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.997498) | vs FP32: ACCEPT (min cos 0.998705)
Qwen3-1.7B-Q4_K_M.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.994690) | vs FP32: ACCEPT (min cos 0.999410) (decode step excluded: FP32 chose 576, the GPU was fed 1096)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.999560) | vs FP32: ACCEPT (min cos 0.999712)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.999335) | vs FP32: ACCEPT (min cos 0.999675)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999779) | vs FP32: ACCEPT (min cos 0.999932)
Qwen3-8B-Q4_K_M.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.998555) | vs FP32: ACCEPT (min cos 0.999611)
Qwen3-8B-Q4_K_M.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.996714) | vs FP32: ACCEPT (min cos 0.997151)
Qwen3-8B-Q4_K_M.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999398) | vs FP32: ACCEPT (min cos 0.999712)
qwen2.5-coder-32b-instruct-q4_k_m.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.999811) | vs FP32: ACCEPT (min cos 0.999852)
qwen2.5-coder-32b-instruct-q4_k_m.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.999480) | vs FP32: ACCEPT (min cos 0.999852)
qwen2.5-coder-32b-instruct-q4_k_m.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999765) | vs FP32: ACCEPT (min cos 0.999892)
