qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | chat-france | via batched prefill | 19 positions | vs Q8_K: REJECT at pos 1 (cos 0.415259, argmax 20840 vs 73562) | vs FP32: REJECT at pos 1 (cos 0.415745, argmax 20840 vs 73562)
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | chat-zorblat | via batched prefill | 28 positions | vs Q8_K: REJECT at pos 1 (cos 0.415259, argmax 20840 vs 73562) | vs FP32: REJECT at pos 1 (cos 0.415745, argmax 20840 vs 73562)
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | plain | via batched prefill | 31 positions | vs Q8_K: REJECT at pos 1 (cos 0.711795, argmax 12 vs 315) | vs FP32: REJECT at pos 1 (cos 0.711345, argmax 12 vs 315)
qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-france | via batched prefill | 19 positions | vs Q8_K: REJECT at pos 11 (cos 0.948496, argmax 624 vs 624) | vs FP32: ACCEPT (min cos 0.950680)
qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-zorblat | via batched prefill | 28 positions | vs Q8_K: REJECT at pos 19 (cos 0.948121, argmax 3409 vs 3409) | vs FP32: ACCEPT (min cos 0.966085)
qwen2.5-1.5b-instruct-q4_k_m.gguf | plain | via batched prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.992905) | vs FP32: ACCEPT (min cos 0.993560)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-france | via batched prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.972336) | vs FP32: ACCEPT (min cos 0.973350)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-zorblat | via batched prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.984938) | vs FP32: REJECT at pos 3 (cos 0.978547, argmax 888 vs 198)
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | plain | via batched prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.998300) | vs FP32: ACCEPT (min cos 0.998374)
Qwen3-1.7B-Q4_K_M.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.996015) | vs FP32: ACCEPT (min cos 0.999136)
Qwen3-1.7B-Q4_K_M.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.995016) | vs FP32: ACCEPT (min cos 0.998990)
Qwen3-1.7B-Q4_K_M.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.981120) | vs FP32: ACCEPT (min cos 0.999738)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | chat-france | via batched prefill | 19 positions | vs Q8_K: REJECT at pos 1 (cos 0.599085, argmax 322 vs 198) | vs FP32: REJECT at pos 1 (cos 0.599481, argmax 322 vs 198)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | chat-zorblat | via batched prefill | 28 positions | vs Q8_K: REJECT at pos 1 (cos 0.587319, argmax 474 vs 198) | vs FP32: REJECT at pos 1 (cos 0.587689, argmax 474 vs 198)
qwen2.5-coder-7b-instruct-q4_k_m.gguf | plain | via batched prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.995341) | vs FP32: ACCEPT (min cos 0.995855)
Qwen3-8B-Q4_K_M.gguf | chat-france | via serial prefill | 19 positions | vs Q8_K: ACCEPT (min cos 0.998843) | vs FP32: ACCEPT (min cos 0.999486)
Qwen3-8B-Q4_K_M.gguf | chat-zorblat | via serial prefill | 28 positions | vs Q8_K: ACCEPT (min cos 0.991880) | vs FP32: ACCEPT (min cos 0.997564)
Qwen3-8B-Q4_K_M.gguf | plain | via serial prefill | 31 positions | vs Q8_K: ACCEPT (min cos 0.999000) | vs FP32: ACCEPT (min cos 0.999598)
