qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | chat-france | positions 18 | min cosine 0.999726 at pos 16 | argmax mismatches 0 | greedy identical for 16 tokens | ok
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | chat-zorblat | positions 27 | min cosine 0.999460 at pos 7 | argmax mismatches 0 | greedy identical for 16 tokens | ok
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf | plain | positions 30 | min cosine 0.999532 at pos 0 | argmax mismatches 1 | greedy DIVERGES at generated token 1 | ok
qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-france | positions 18 | min cosine 0.994416 at pos 11 | argmax mismatches 0 | greedy identical for 16 tokens | BELOW 0.999
qwen2.5-1.5b-instruct-q4_k_m.gguf | chat-zorblat | positions 27 | min cosine 0.997210 at pos 19 | argmax mismatches 0 | greedy identical for 16 tokens | BELOW 0.999
qwen2.5-1.5b-instruct-q4_k_m.gguf | plain | positions 30 | min cosine 0.999525 at pos 27 | argmax mismatches 0 | greedy identical for 16 tokens | ok
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-france | positions 18 | min cosine 0.999547 at pos 1 | argmax mismatches 0 | greedy identical for 16 tokens | ok
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | chat-zorblat | positions 27 | min cosine 0.999285 at pos 3 | argmax mismatches 1 | greedy identical for 16 tokens | ok
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf | plain | positions 30 | min cosine 0.999875 at pos 14 | argmax mismatches 0 | greedy identical for 16 tokens | ok
Qwen3-1.7B-Q4_K_M.gguf | chat-france | positions 18 | min cosine 0.997029 at pos 16 | argmax mismatches 0 | greedy identical for 16 tokens | BELOW 0.999
Qwen3-1.7B-Q4_K_M.gguf | chat-zorblat | positions 27 | min cosine 0.996158 at pos 23 | argmax mismatches 1 | greedy identical for 16 tokens | BELOW 0.999
