== Qwen2.5-0.5B-Instruct-IQ3_M.gguf  tensors=290  size=342752576
   F32         121   e.g. blk.0.attn_norm.weight, blk.0.ffn_norm.weight, blk.0.attn_k.bias
   IQ4_NL       96   e.g. blk.0.ffn_gate.weight, blk.0.ffn_up.weight, blk.0.attn_k.weight
   Q5_0         48   e.g. blk.0.attn_output.weight, blk.0.attn_v.weight, blk.1.attn_output.weight
   IQ3_S        21   e.g. blk.11.ffn_down.weight, blk.12.ffn_down.weight, blk.13.ffn_down.weight
   Q4_K          3   e.g. blk.0.ffn_down.weight, blk.1.ffn_down.weight, blk.10.ffn_down.weight
   Q8_0          1   e.g. token_embd.weight
== Qwen2.5-0.5B-Instruct-IQ4_XS.gguf  tensors=290  size=349402688
   F32         121   e.g. blk.0.attn_norm.weight, blk.0.ffn_norm.weight, blk.0.attn_k.bias
   IQ4_NL      120   e.g. blk.0.ffn_gate.weight, blk.0.ffn_up.weight, blk.0.attn_k.weight
   IQ4_XS       24   e.g. blk.0.ffn_down.weight, blk.1.ffn_down.weight, blk.10.ffn_down.weight
   Q5_1         24   e.g. blk.0.attn_v.weight, blk.1.attn_v.weight, blk.10.attn_v.weight
   Q8_0          1   e.g. token_embd.weight
== Qwen3.5-4B-UD-Q4_K_XL.gguf  tensors=426  size=2912109728
   F32         177   e.g. output_norm.weight, blk.0.attn_norm.weight, blk.0.post_attention_norm.weight
   Q4_K         74   e.g. blk.0.ffn_gate.weight, blk.0.ffn_up.weight, blk.1.ffn_gate.weight
   Q5_K         69   e.g. blk.0.attn_gate.weight, blk.0.attn_qkv.weight, blk.1.attn_gate.weight
   F16          48   e.g. blk.0.ssm_alpha.weight, blk.0.ssm_beta.weight, blk.1.ssm_alpha.weight
   Q6_K         24   e.g. token_embd.weight, blk.0.ffn_down.weight, blk.1.ffn_down.weight
   Q8_0         24   e.g. blk.0.ssm_out.weight, blk.1.ssm_out.weight, blk.2.ssm_out.weight
   IQ4_XS       10   e.g. blk.12.ffn_gate.weight, blk.12.ffn_up.weight, blk.13.ffn_gate.weight
