pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998376	2614	2614	True	1.018627	1.407180	1	0.000000
1	3841	0.998317	321	321	True	0.800874	0.593156	1	0.000000
2	13477	0.998216	627	37550	False	1.342222	0.432076	2	0.197060
3	37550	0.998583	321	321	True	1.054795	0.137941	1	0.000000
4	33075	0.995905	888	888	True	1.044012	0.745678	1	0.000000
5	888	0.999371	279	279	True	0.726841	0.581070	1	0.000000
6	279	0.999520	15740	15740	True	0.754851	0.534869	1	0.000000
7	15217	0.999529	5388	5388	True	0.962131	0.575095	1	0.000000
8	5388	0.998932	13	13	True	0.712698	1.329920	1	0.000000
9	1345	0.999490	279	279	True	0.657455	2.534767	1	0.000000
10	279	0.999664	15217	15217	True	0.492375	1.284418	1	0.000000
11	12433	0.998927	369	369	True	0.553746	0.900751	1	0.000000
12	21250	0.999436	279	279	True	0.553334	2.958714	1	0.000000
13	34227	0.999451	34129	34129	True	0.545431	0.702033	1	0.000000
14	36165	0.999574	314	314	True	0.519200	0.446839	1	0.000000
15	23497	0.999304	13	13	True	0.513666	0.215031	1	0.000000
16	883	0.999587	279	279	True	0.564519	1.200860	1	0.000000
17	31108	0.999497	4649	4649	True	0.535324	4.276793	1	0.000000
18	4649	0.999454	13	13	True	0.567844	1.246357	1	0.000000
19	5638	0.999111	13	13	True	0.619223	1.258518	1	0.000000
20	11	0.999073	321	321	True	0.564489	0.786652	1	0.000000
21	4098	0.998294	3808	3808	True	0.833739	0.065741	1	0.000000
22	23122	0.996803	11	11	True	1.133435	0.353788	1	0.000000
23	11	0.997968	321	321	True	1.010476	3.715588	1	0.000000
24	15167	0.999010	3741	3741	True	0.651882	0.347454	1	0.000000
25	47410	0.998615	11	11	True	0.673544	2.470766	1	0.000000
26	11	0.999436	321	321	True	0.489212	3.126120	1	0.000000
27	9966	0.997801	1954	1954	True	0.645328	0.590347	1	0.000000
28	1452	0.996796	795	28758	False	1.201192	0.632557	2	0.216549
