label	pos	layer	type	output	weights	qtypes	engine	rel_l2_vs_ref	cos_vs_ref
p4	0	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.005586	0.999984
p4	0	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.005586	0.999984
p4	0	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.038323	0.999266
p4	0	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.038323	0.999266
p4	0	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.027673	0.999626
p4	0	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.027673	0.999626
p4	0	1	linear_gated_deltanet	z-1	attn_gate.weight	Q4_K	llama	0.006178	0.999981
p4	0	1	linear_gated_deltanet	z-1	attn_gate.weight	Q4_K	apr	0.006178	0.999981
p4	0	1	linear_gated_deltanet	linear_attn_out-1	ssm_out.weight	Q5_K	llama	0.028135	0.999604
p4	0	1	linear_gated_deltanet	linear_attn_out-1	ssm_out.weight	Q5_K	apr	0.028135	0.999604
p4	0	1	linear_gated_deltanet	ffn_out-1	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.017564	0.999847
p4	0	1	linear_gated_deltanet	ffn_out-1	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.017564	0.999847
p4	0	2	linear_gated_deltanet	z-2	attn_gate.weight	Q4_K	llama	0.005491	0.999986
p4	0	2	linear_gated_deltanet	z-2	attn_gate.weight	Q4_K	apr	0.005491	0.999986
p4	0	2	linear_gated_deltanet	linear_attn_out-2	ssm_out.weight	Q5_K	llama	0.030354	0.999545
p4	0	2	linear_gated_deltanet	linear_attn_out-2	ssm_out.weight	Q5_K	apr	0.030355	0.999545
p4	0	2	linear_gated_deltanet	ffn_out-2	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.026037	0.999661
p4	0	2	linear_gated_deltanet	ffn_out-2	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.026037	0.999661
p4	0	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.033233	0.999452
p4	0	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.033119	0.999456
p4	0	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.031686	0.999510
p4	0	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.032023	0.999508
p4	0	4	linear_gated_deltanet	z-4	attn_gate.weight	Q4_K	llama	0.005745	0.999984
p4	0	4	linear_gated_deltanet	z-4	attn_gate.weight	Q4_K	apr	0.005560	0.999985
p4	0	4	linear_gated_deltanet	linear_attn_out-4	ssm_out.weight	Q5_K	llama	0.029985	0.999551
