mode	pos	layer	attn_norm_in_rel	pregate_rel	pregate_rel_after_f16_round_of_apr	bit_equal_after_f16_round	n
on	0	3	0.000001	0.000212	0.000020	2044	2048
on	0	7	0.002932	0.004018	0.004039	40	2048
on	0	11	0.011683	0.009054	0.009078	32	2048
on	0	15	0.006144	0.005144	0.005146	16	2048
on	0	19	0.036432	0.044653	0.044668	8	2048
on	0	23	0.064457	0.023173	0.023191	16	2048
on	1	3	0.000001	0.000346	0.000405	0	2048
on	1	7	0.029240	0.033877	0.033880	0	2048
on	1	11	0.046473	0.051035	0.051046	0	2048
on	1	15	0.060181	0.050002	0.049993	0	2048
on	1	19	0.086045	0.061432	0.061425	0	2048
on	1	23	0.135603	0.027881	0.027877	0	2048
on	2	3	0.000581	0.002894	0.002907	0	2048
on	2	7	0.035299	0.037332	0.037325	0	2048
on	2	11	0.050803	0.036219	0.036208	0	2048
on	2	15	0.053381	0.056688	0.056540	0	2048
on	2	19	0.053046	0.051978	0.051981	0	2048
on	2	23	0.080335	0.023157	0.023161	0	2048
on	3	3	0.025229	0.023417	0.023417	0	2048
on	3	7	0.056009	0.042878	0.042880	0	2048
on	3	11	0.074263	0.049537	0.049532	0	2048
on	3	15	0.075886	0.105047	0.105117	0	2048
on	3	19	0.070426	0.053274	0.053287	0	2048
on	3	23	0.075750	0.021682	0.021686	0	2048
off	0	3	0.032090	0.038179	0.038181	16	2048
off	0	7	0.016413	0.008045	0.008050	8	2048
off	0	11	0.023661	0.011387	0.011366	8	2048
off	0	15	0.018512	0.008280	0.008298	16	2048
off	0	19	0.073050	0.077330	0.077344	0	2048
off	0	23	0.106853	0.033080	0.033082	12	2048
off	1	3	0.064636	0.056551	0.056549	0	2048
off	1	7	0.092032	0.083106	0.083103	0	2048
off	1	11	0.143249	0.095125	0.095164	0	2048
off	1	15	0.176732	0.106991	0.107082	0	2048
off	1	19	0.198788	0.141471	0.141479	0	2048
off	1	23	0.294678	0.065750	0.065750	0	2048
off	2	3	0.072772	0.060216	0.060218	0	2048
off	2	7	0.094355	0.075061	0.075067	0	2048
off	2	11	0.118687	0.107357	0.107357	0	2048
off	2	15	0.128613	0.165717	0.165758	0	2048
off	2	19	0.111571	0.096679	0.096670	0	2048
off	2	23	0.185525	0.058262	0.058256	0	2048
off	3	3	0.078948	0.062989	0.062981	0	2048
off	3	7	0.124395	0.087376	0.087369	0	2048
off	3	11	0.130319	0.080268	0.080245	0	2048
off	3	15	0.137191	0.122680	0.122799	0	2048
off	3	19	0.127154	0.129559	0.129563	0	2048
off	3	23	0.134161	0.039503	0.039513	0	2048
