label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.000001	0.000001	1.000000	linear_attn_out-0	0.000001	1.000000
p4	0	l_out-0	0	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-0	0.000001	1.000000
p4	0	attn_residual-1	1	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-1	0.000001	1.000000
p4	0	l_out-1	1	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-1	0.000001	1.000000
p4	0	attn_residual-2	2	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-2	0.000000	1.000000
p4	0	l_out-2	2	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-2	0.000001	1.000000
p4	0	attn_residual-3	3	full_attention	mixer	0.000001	0.000621	0.000620	1.000000	attn_output-3	0.002276	0.999997
p4	0	l_out-3	3	full_attention	ffn	0.000621	0.003007	0.002386	0.999996	ffn_out-3	0.004244	0.999992
p4	0	attn_residual-4	4	linear_gated_deltanet	mixer	0.003007	0.004624	0.001617	0.999990	linear_attn_out-4	0.024145	0.999717
p4	0	l_out-4	4	linear_gated_deltanet	ffn	0.004624	0.006597	0.001973	0.999979	ffn_out-4	0.026305	0.999654
p4	0	attn_residual-5	5	linear_gated_deltanet	mixer	0.006597	0.009211	0.002614	0.999958	linear_attn_out-5	0.042586	0.999096
p4	0	l_out-5	5	linear_gated_deltanet	ffn	0.009211	0.010383	0.001172	0.999947	ffn_out-5	0.026771	0.999642
p4	0	attn_residual-6	6	linear_gated_deltanet	mixer	0.010383	0.002692	-0.007691	0.999996	linear_attn_out-6	0.001781	0.999999
p4	0	l_out-6	6	linear_gated_deltanet	ffn	0.002692	0.003104	0.000412	0.999995	ffn_out-6	0.020448	0.999792
p4	0	attn_residual-7	7	full_attention	mixer	0.003104	0.012699	0.009595	0.999919	attn_output-7	0.016418	0.999865
p4	0	l_out-7	7	full_attention	ffn	0.012699	0.014721	0.002022	0.999892	ffn_out-7	0.022397	0.999759
p4	0	attn_residual-8	8	linear_gated_deltanet	mixer	0.014721	0.014436	-0.000285	0.999896	linear_attn_out-8	0.070040	0.997592
p4	0	l_out-8	8	linear_gated_deltanet	ffn	0.014436	0.013697	-0.000739	0.999907	ffn_out-8	0.036597	0.999332
p4	0	attn_residual-9	9	linear_gated_deltanet	mixer	0.013697	0.013687	-0.000010	0.999907	linear_attn_out-9	0.032225	0.999509
p4	0	l_out-9	9	linear_gated_deltanet	ffn	0.013687	0.013132	-0.000555	0.999914	ffn_out-9	0.043091	0.999075
p4	0	attn_residual-10	10	linear_gated_deltanet	mixer	0.013132	0.012551	-0.000581	0.999922	linear_attn_out-10	0.051777	0.998676
p4	0	l_out-10	10	linear_gated_deltanet	ffn	0.012551	0.011854	-0.000697	0.999930	ffn_out-10	0.034225	0.999420
p4	0	attn_residual-11	11	full_attention	mixer	0.011854	0.025844	0.013990	0.999666	attn_output-11	0.025497	0.999676
p4	0	l_out-11	11	full_attention	ffn	0.025844	0.032464	0.006620	0.999476	ffn_out-11	0.031153	0.999523
p4	0	attn_residual-12	12	linear_gated_deltanet	mixer	0.032464	0.034628	0.002164	0.999403	linear_attn_out-12	0.039146	0.999234
p4	0	l_out-12	12	linear_gated_deltanet	ffn	0.034628	0.037773	0.003145	0.999289	ffn_out-12	0.049525	0.998774
