pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998962	2614	2614	True	0.809368	1.435308	1	0.000000
1	3841	0.998207	321	321	True	0.840409	1.272531	1	0.000000
2	13477	0.998410	37550	627	False	1.373287	0.075659	2	0.091775
3	37550	0.998786	321	321	True	1.047985	0.228145	1	0.000000
4	33075	0.993866	888	888	True	1.398344	0.626764	1	0.000000
5	888	0.999063	279	279	True	0.854679	0.479078	1	0.000000
6	279	0.998892	15740	15740	True	1.003604	0.758223	1	0.000000
7	15217	0.999503	5388	5388	True	0.983864	0.628420	1	0.000000
8	5388	0.996664	13	13	True	1.159002	1.514725	1	0.000000
9	1345	0.999434	279	279	True	0.766677	2.493236	1	0.000000
10	279	0.999515	15217	15217	True	0.645998	0.944897	1	0.000000
11	12433	0.999429	369	369	True	0.545751	1.003157	1	0.000000
12	21250	0.999269	279	279	True	0.675521	2.931628	1	0.000000
13	34227	0.999472	34129	34129	True	0.493614	0.732084	1	0.000000
14	36165	0.999484	314	314	True	0.584852	0.381791	1	0.000000
15	23497	0.999381	13	13	True	0.481617	0.213230	1	0.000000
16	883	0.999555	279	279	True	0.519842	1.351883	1	0.000000
17	31108	0.999305	4649	4649	True	0.648883	4.365618	1	0.000000
18	4649	0.999406	13	13	True	0.501715	1.355129	1	0.000000
19	5638	0.999143	13	13	True	0.635885	1.246284	1	0.000000
20	11	0.998672	321	321	True	0.718544	0.800810	1	0.000000
21	4098	0.997718	4082	3808	False	0.884329	0.036892	2	0.241076
22	23122	0.995650	11	11	True	1.262607	0.080042	1	0.000000
23	11	0.997816	321	321	True	1.160146	3.866378	1	0.000000
24	15167	0.998846	3741	3741	True	0.720540	0.360298	1	0.000000
25	47410	0.998976	11	11	True	0.570421	2.380569	1	0.000000
26	11	0.999153	321	321	True	0.637845	3.227911	1	0.000000
27	9966	0.996364	1954	1954	True	0.909173	0.641779	1	0.000000
28	1452	0.999202	795	28758	False	0.615270	0.314670	2	0.016905
29	6326	0.998899	11	11	True	0.666011	1.419773	1	0.000000
30	61369	0.998837	11	11	True	0.664275	2.901825	1	0.000000
31	11	0.999514	321	321	True	0.486223	2.708129	1	0.000000
32	321	0.999296	279	279	True	0.638897	0.056930	1	0.000000
33	279	0.999315	491	491	True	0.684294	0.783517	1	0.000000
34	26984	0.998167	314	314	True	0.666180	5.731712	1	0.000000
35	314	0.999490	29144	29144	True	0.538142	0.648893	1	0.000000
36	638	0.998628	57695	57695	True	0.785088	0.010532	1	0.000000
37	37309	0.998239	290	290	True	0.836460	0.615654	1	0.000000
38	290	0.999293	14791	14791	True	0.770811	0.847440	1	0.000000
39	42903	0.998938	13	13	True	0.830089	2.353140	1	0.000000
40	3808	0.999373	279	279	True	0.647498	0.599365	1	0.000000
41	2943	0.999328	3478	2086	False	0.631193	0.115568	2	0.061824
42	94408	0.999302	795	795	True	0.707048	0.550180	1	0.000000
43	17882	0.998631	13	13	True	0.789707	1.506941	1	0.000000
44	26	0.998864	279	279	True	0.625817	0.553385	1	0.000000
45	1396	0.999038	13340	13340	True	0.697619	1.380568	1	0.000000
46	13901	0.999073	314	314	True	0.656276	0.177244	1	0.000000
47	557	0.999197	5158	5158	True	0.632644	0.408630	1	0.000000
48	47193	0.999469	11	11	True	0.477530	0.224670	1	0.000000
49	11	0.999026	1396	1396	True	0.627635	0.380222	1	0.000000
50	1396	0.998930	11316	11316	True	0.606996	1.456829	1	0.000000
51	1898	0.998881	557	557	True	0.647837	1.556593	1	0.000000
52	557	0.998933	28853	28853	True	0.691916	0.190447	1	0.000000
53	21197	0.998825	11	11	True	0.593105	2.151264	1	0.000000
54	11	0.997950	321	321	True	0.640945	1.421793	1	0.000000
55	321	0.999083	1396	1396	True	0.689279	0.580721	1	0.000000
56	279	0.999041	4307	4307	True	0.627841	0.588173	1	0.000000
57	1830	0.998139	557	557	True	0.737167	0.791128	1	0.000000
58	9202	0.998568	440	440	True	0.625705	4.269529	1	0.000000
59	440	0.999410	264	264	True	0.552133	1.649332	1	0.000000
60	264	0.999398	1562	1562	True	0.674825	0.479219	1	0.000000
61	50802	0.998668	314	314	True	0.704226	1.437773	1	0.000000
62	314	0.999136	279	279	True	0.762260	0.219078	1	0.000000
63	50614	0.998991	34129	34129	True	0.582373	0.068943	1	0.000000
64	39663	0.999231	3470	3470	True	0.619023	1.583142	1	0.000000
65	22188	0.999423	7123	7123	True	0.511974	0.486996	1	0.000000
66	7123	0.999221	13	13	True	0.600465	1.740232	1	0.000000
67	421	0.999150	998	998	True	0.683818	0.119059	1	0.000000
68	995	0.999284	978	978	True	0.542216	1.454679	1	0.000000
69	310	0.999279	381	381	True	0.606235	2.242769	1	0.000000
70	1440	0.998754	1518	1518	True	0.694612	0.962851	1	0.000000
71	1518	0.999463	279	279	True	0.654238	1.457182	1	0.000000
72	279	0.999310	1534	1534	True	0.691175	0.402974	1	0.000000
73	4722	0.999291	13	314	False	0.768255	0.245474	2	0.040968
74	1362	0.999486	381	381	True	0.562529	1.466919	1	0.000000
75	381	0.999466	11454	11454	True	0.664264	1.800945	1	0.000000
76	35883	0.999340	430	430	True	0.541307	0.534060	1	0.000000
77	13	0.998570	198	271	False	0.692734	0.024683	2	0.058044
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.993866
summary	min_cosine_pos	4
summary	mean_cosine	0.998863
summary	median_cosine	0.999109
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[2, 21, 28, 41, 73, 77]
summary	n_argmax_mismatches	6
summary	max_abs_diff	1.398344
summary	max_abs_diff_pos	4
