pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998372	2614	2614	True	1.253183	1.435308	1	0.000000
1	3841	0.998376	321	321	True	0.713274	1.272531	1	0.000000
2	13477	0.998261	37550	627	False	1.686095	0.075659	2	0.128816
3	37550	0.998393	321	321	True	1.056883	0.228145	1	0.000000
4	33075	0.993910	888	888	True	1.451425	0.626764	1	0.000000
5	888	0.999387	279	279	True	0.804014	0.479078	1	0.000000
6	279	0.999244	15740	15740	True	0.768533	0.758223	1	0.000000
7	15217	0.999544	5388	5388	True	0.850109	0.628420	1	0.000000
8	5388	0.998082	13	13	True	0.806513	1.514725	1	0.000000
9	1345	0.999552	279	279	True	0.581019	2.493236	1	0.000000
10	279	0.999651	15217	15217	True	0.529064	0.944897	1	0.000000
11	12433	0.999447	369	369	True	0.502444	1.003157	1	0.000000
12	21250	0.999472	279	279	True	0.526748	2.931628	1	0.000000
13	34227	0.999529	34129	34129	True	0.532789	0.732084	1	0.000000
14	36165	0.999414	314	314	True	0.674287	0.381791	1	0.000000
15	23497	0.999392	13	13	True	0.503329	0.213230	1	0.000000
16	883	0.999643	279	279	True	0.445669	1.351883	1	0.000000
17	31108	0.999505	4649	4649	True	0.660057	4.365618	1	0.000000
18	4649	0.999446	13	13	True	0.598855	1.355129	1	0.000000
19	5638	0.999432	13	13	True	0.509417	1.246284	1	0.000000
20	11	0.998905	321	321	True	0.659103	0.800810	1	0.000000
21	4098	0.997166	4082	3808	False	1.057504	0.036892	2	0.121593
22	23122	0.995985	11	11	True	1.209012	0.080042	1	0.000000
23	11	0.997716	321	321	True	1.140961	3.866378	1	0.000000
24	15167	0.998849	3741	3741	True	0.675256	0.360298	1	0.000000
25	47410	0.998114	11	11	True	0.676873	2.380569	1	0.000000
26	11	0.999342	321	321	True	0.613169	3.227911	1	0.000000
27	9966	0.998130	1954	1954	True	0.776237	0.641779	1	0.000000
28	1452	0.998653	795	28758	False	0.854562	0.314670	2	0.133781
29	6326	0.998653	11	11	True	0.844964	1.419773	1	0.000000
30	61369	0.998918	11	11	True	0.600462	2.901825	1	0.000000
31	11	0.999579	321	321	True	0.466560	2.708129	1	0.000000
