pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	4350	0.998868	264	264	True	0.752477	0.534529	1	0.000000
1	279	0.999409	1156	1156	True	0.503841	0.382980	1	0.000000
2	2235	0.999033	2812	2812	True	0.596955	0.105893	1	0.000000
3	324	0.998979	55965	55965	True	0.598413	1.760706	1	0.000000
4	55965	0.999496	557	557	True	0.714701	0.843843	1	0.000000
5	51624	0.999639	557	557	True	0.537187	0.200917	1	0.000000
6	20922	0.999423	11	11	True	0.611209	1.018606	1	0.000000
7	11	0.999513	279	279	True	0.557944	0.845968	1	0.000000
8	279	0.999674	491	324	False	0.495618	0.221711	2	0.019423
9	13721	0.999703	314	314	True	0.557251	0.416048	1	0.000000
10	5467	0.999505	264	264	True	0.711380	2.152769	1	0.000000
11	264	0.999714	20876	24126	False	0.522470	0.067236	2	0.018764
12	2526	0.999715	22175	22175	True	0.509174	0.143602	1	0.000000
13	20876	0.999622	310	310	True	0.470217	0.239233	1	0.000000
14	383	0.999769	279	279	True	0.502828	0.318684	1	0.000000
15	279	0.999692	13721	2235	False	0.607906	0.007174	2	0.039490
16	72103	0.999538	13	13	True	0.671891	0.371859	1	0.000000
17	6784	0.999372	13	13	True	0.594481	0.739092	1	0.000000
18	13	0.999671	561	561	True	0.536216	0.389011	1	0.000000
19	14608	0.999645	998	998	True	0.622277	0.825125	1	0.000000
20	11354	0.999749	264	264	True	0.524452	0.356840	1	0.000000
21	5392	0.999620	70676	70676	True	0.661525	1.099291	1	0.000000
22	70676	0.999584	82	82	True	0.608331	8.914567	1	0.000000
23	82	0.999680	321	11	False	0.487630	0.100639	2	0.019121
24	11	0.999713	321	321	True	0.469031	1.934661	1	0.000000
25	70704	0.999713	998	998	True	0.470144	0.073454	1	0.000000
26	3125	0.999753	7112	7112	True	0.470566	2.042027	1	0.000000
27	7112	0.999428	11	11	True	0.615572	0.629553	1	0.000000
28	883	0.999712	279	279	True	0.570981	1.427380	1	0.000000
29	42046	0.999565	11	11	True	0.562760	0.487579	1	0.000000
30	421	0.999604	995	995	True	0.535422	1.813553	1	0.000000
31	995	0.999708	5642	5642	True	0.490092	0.318188	1	0.000000
32	6791	0.999740	14012	14012	True	0.529425	0.213500	1	0.000000
33	4284	0.999625	279	279	True	0.694708	1.000902	1	0.000000
34	836	0.999596	6107	6107	True	0.617233	0.210419	1	0.000000
35	30592	0.999577	11	11	True	0.636338	2.655005	1	0.000000
36	11	0.999519	321	321	True	0.627126	3.741771	1	0.000000
37	321	0.999675	279	279	True	0.628715	1.771567	1	0.000000
38	279	0.999558	13721	13721	True	0.623277	0.795933	1	0.000000
39	16427	0.999508	7002	7002	True	0.645060	0.424192	1	0.000000
40	1301	0.999674	264	264	True	0.575961	1.083454	1	0.000000
41	264	0.999709	31708	31708	True	0.536541	1.668013	1	0.000000
42	6321	0.999617	494	494	True	0.692163	0.970190	1	0.000000
43	494	0.999673	264	264	True	0.675000	0.178726	1	0.000000
44	264	0.999734	4099	4099	True	0.578228	0.549838	1	0.000000
45	89343	0.999620	852	852	True	0.643872	1.595243	1	0.000000
46	852	0.999517	995	995	True	0.673172	2.159863	1	0.000000
47	995	0.999704	5384	5384	True	0.478532	0.148518	1	0.000000
48	978	0.999674	5384	5384	True	0.542735	0.322639	1	0.000000
49	31511	0.999257	539	539	True	0.659276	1.486927	1	0.000000
50	2046	0.999359	539	539	True	0.511973	2.124260	1	0.000000
51	25292	0.999552	1578	1578	True	0.751652	0.299139	1	0.000000
52	1578	0.999563	3998	3998	True	0.602756	2.835505	1	0.000000
53	6575	0.999294	13	13	True	0.525803	1.335203	1	0.000000
54	13	0.999619	198	561	False	0.547149	0.042578	2	0.023878
55	35254	0.999558	6661	6661	True	0.571956	1.194418	1	0.000000
56	9444	0.999697	279	279	True	0.550267	1.524630	1	0.000000
57	421	0.999566	279	279	True	0.634906	2.043315	1	0.000000
58	279	0.999615	324	324	True	0.516617	0.445967	1	0.000000
59	3000	0.999354	995	995	True	0.692235	0.482399	1	0.000000
60	995	0.999662	978	978	True	0.489623	2.366165	1	0.000000
61	978	0.999601	53838	53838	True	0.683624	0.760553	1	0.000000
62	26606	0.999282	13	11	False	0.523847	0.112692	2	0.023951
63	364	0.999477	264	264	True	0.596219	0.172985	1	0.000000
64	264	0.999344	1248	1248	True	0.667614	1.270144	1	0.000000
65	12828	0.999317	13	13	True	0.530000	0.195152	1	0.000000
66	26	0.999340	279	279	True	0.697828	0.103745	1	0.000000
67	279	0.999517	20876	20876	True	0.575423	0.710878	1	0.000000
68	51624	0.999382	995	995	True	0.718966	0.269493	1	0.000000
69	995	0.999536	978	978	True	0.544387	0.214161	1	0.000000
70	4777	0.999509	2047	20922	False	0.583253	0.099743	3	0.155130
71	8341	0.999506	279	279	True	0.653937	0.286077	1	0.000000
72	28546	0.999537	279	279	True	0.671836	1.364456	1	0.000000
73	279	0.999249	20618	20618	True	0.748060	1.639536	1	0.000000
74	30129	0.999268	310	310	True	0.612364	0.188097	1	0.000000
75	1396	0.999688	1834	1834	True	0.595159	0.457418	1	0.000000
76	11129	0.999442	13	13	True	0.538674	0.397320	1	0.000000
77	11	0.999326	321	321	True	0.569642	0.780842	1	0.000000
78	1521	0.999478	551	551	True	0.576742	0.002338	1	0.000000
79	4184	0.999364	995	995	True	0.691367	0.746838	1	0.000000
80	21105	0.998956	310	310	True	0.615549	4.247780	1	0.000000
81	310	0.999617	599	1366	False	0.517902	0.015099	2	0.007435
82	13	0.999509	198	198	True	0.533984	0.639336	1	0.000000
summary	n_positions	83
summary	n_vocab	248320
summary	min_cosine	0.998868
summary	min_cosine_pos	0
summary	mean_cosine	0.999528
summary	median_cosine	0.999565
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[8, 11, 15, 23, 54, 62, 70, 81]
summary	n_argmax_mismatches	8
summary	max_abs_diff	0.752477
summary	max_abs_diff_pos	0
