pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	21626	0.995787	9268	9268	True	1.290376	0.258600	1	0.000000
1	1830	0.998321	271	271	True	0.612779	0.057508	1	0.000000
2	11	0.999249	321	321	True	0.466293	0.279381	1	0.000000
3	1936	0.999220	220	220	True	0.575104	1.640564	1	0.000000
4	220	0.998887	16	16	True	0.402338	0.617622	1	0.000000
5	18	0.999384	11	11	True	0.578242	0.555197	1	0.000000
6	22	0.999377	11	11	True	0.558144	0.477560	1	0.000000
7	25	0.999563	198	198	True	0.514192	1.099453	1	0.000000
8	198	0.998264	12	12	True	0.754428	0.291773	1	0.000000
9	16	0.999497	13	13	True	0.448973	2.063762	1	0.000000
10	13	0.999539	197	197	True	0.606844	0.118347	1	0.000000
11	23291	0.998645	54504	258	False	0.587733	0.060661	2	0.047633
12	2491	0.999349	25	25	True	0.622355	0.152411	1	0.000000
13	380	0.999134	16	16	True	0.629915	0.496553	1	0.000000
14	21	0.999263	87	87	True	0.707135	0.310988	1	0.000000
15	87	0.999280	16	16	True	0.585111	1.443722	1	0.000000
16	17	0.999482	15	15	True	0.525490	0.278972	1	0.000000
17	15	0.999541	15	12	False	0.518915	0.052027	2	0.119400
18	25	0.999624	220	220	True	0.498570	0.701521	1	0.000000
19	220	0.999231	16	16	True	0.428874	0.857597	1	0.000000
20	16	0.999748	15	15	True	0.435070	0.595894	1	0.000000
21	11	0.999528	15	15	True	0.502891	0.644611	1	0.000000
22	17	0.999383	15	15	True	0.455204	0.389305	1	0.000000
23	19	0.999733	15	15	True	0.471965	0.515867	1	0.000000
24	15	0.999776	198	198	True	0.472438	0.688360	1	0.000000
25	7896	0.999643	198	198	True	0.606961	1.334028	1	0.000000
26	318	0.998739	16	16	True	0.526949	1.175568	1	0.000000
27	265	0.999085	51587	51587	True	0.611561	1.050278	1	0.000000
28	1310	0.999212	470	470	True	0.686677	0.357706	1	0.000000
