pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	21626	0.995721	9268	25	False	1.389621	0.258600	2	0.084316
1	1830	0.998984	271	271	True	0.517916	0.057508	1	0.000000
2	11	0.999185	321	321	True	0.529084	0.279381	1	0.000000
3	1936	0.999300	220	220	True	0.541453	1.640564	1	0.000000
4	220	0.998526	16	16	True	0.521359	0.617622	1	0.000000
5	18	0.999006	11	11	True	0.712013	0.555197	1	0.000000
6	22	0.999000	11	11	True	0.636434	0.477560	1	0.000000
7	25	0.999201	198	198	True	0.606515	1.099453	1	0.000000
8	198	0.997920	12	12	True	0.796050	0.291773	1	0.000000
9	16	0.999396	13	13	True	0.484434	2.063762	1	0.000000
10	13	0.999460	197	197	True	0.533289	0.118347	1	0.000000
11	23291	0.998303	54504	258	False	0.676600	0.060661	2	0.089877
12	2491	0.999256	25	25	True	0.622781	0.152411	1	0.000000
13	380	0.999167	16	16	True	0.570142	0.496553	1	0.000000
14	21	0.999079	87	87	True	0.731794	0.310988	1	0.000000
15	87	0.999039	16	16	True	0.703442	1.443722	1	0.000000
16	17	0.999284	15	15	True	0.594983	0.278972	1	0.000000
17	15	0.999517	15	15	True	0.559659	0.052027	1	0.000000
18	25	0.999467	220	220	True	0.544909	0.701521	1	0.000000
19	220	0.999265	16	16	True	0.472986	0.857597	1	0.000000
20	16	0.999707	15	15	True	0.474938	0.595894	1	0.000000
21	11	0.999569	15	15	True	0.467391	0.644611	1	0.000000
22	17	0.999399	15	15	True	0.522966	0.389305	1	0.000000
23	19	0.999705	15	15	True	0.459249	0.515867	1	0.000000
24	15	0.999756	198	198	True	0.492828	0.688360	1	0.000000
25	7896	0.999553	198	198	True	0.596765	1.334028	1	0.000000
26	318	0.998972	16	16	True	0.533717	1.175568	1	0.000000
27	265	0.998672	51587	51587	True	0.717848	1.050278	1	0.000000
28	1310	0.999324	470	470	True	0.671531	0.357706	1	0.000000
29	506	0.999425	220	220	True	0.627705	1.796208	1	0.000000
30	220	0.998048	16	16	True	0.693277	0.749947	1	0.000000
31	20	0.999357	15	15	True	0.688256	1.498499	1	0.000000
32	15	0.999580	15	15	True	0.543432	1.182716	1	0.000000
33	15	0.999378	7896	8	False	0.654288	0.140711	2	0.007132
34	8	0.999357	198	198	True	0.487004	3.735966	1	0.000000
35	198	0.998176	17	17	True	0.687537	4.760990	1	0.000000
36	17	0.999351	13	13	True	0.655435	7.818825	1	0.000000
37	13	0.999741	23291	23291	True	0.588029	2.535513	1	0.000000
38	5797	0.999405	382	382	True	0.623677	2.504436	1	0.000000
39	382	0.999486	380	380	True	0.724387	1.209039	1	0.000000
40	220	0.998500	16	16	True	0.850068	0.588186	1	0.000000
41	21	0.998998	15	15	True	0.828576	0.342178	1	0.000000
42	13	0.999176	15	15	True	0.638954	0.040411	1	0.000000
43	19	0.999400	87	3693	False	0.781626	0.073573	2	0.138057
44	9186	0.999340	25	25	True	0.787795	2.777091	1	0.000000
45	25	0.999612	220	220	True	0.486965	5.494579	1	0.000000
46	220	0.998433	16	16	True	0.446218	1.155735	1	0.000000
47	18	0.999445	11	11	True	0.546565	1.045065	1	0.000000
48	11	0.998409	15	15	True	0.524360	0.308435	1	0.000000
49	23	0.999424	15	15	True	0.464175	0.788309	1	0.000000
50	22	0.999589	15	15	True	0.535038	0.376511	1	0.000000
