case	n	what	input_fnv	q8k_ref_fnv	q8k_cpu_eq_ref	q8k_generic_eq_ref	q4k_w_fnv	q4k_dot_generic	q4k_dot_simd	q5k_w_fnv	q5k_dot_generic	q5k_dot_simd	q6k_w_fnv	q6k_dot_generic	q6k_dot_simd	q80_w_fnv	q80_cpu_fnv	q80_ref_eq_cpu	q80_generic_eq_cpu	q80_dot_generic	q80_dot_simd	repack_q8kx4_qs_diff	repack_q8kx4_d_diff	repack_value_equal_ref
0	256	uniform(-1,1)	f11af739f66aece1	06e08b80ea1d3aad	1	1	72677f8eae9adb25	3b53c300	3b53c200	3b7bf8903f59fb55	438d8756	438d8758	cfd3919cd11a6ee7	c19e4ee6	c19e4ee6	2995a64ef7b31986	759abbfc2d34ae7d	1	1	c11dca90	c11dca90	0	0	1
1	1024	uniform(-3,3)	d3576915b72c4c15	ebe193ac3fb35963	1	1	15cf5ced86cf2533	426a3b0e	426a3b1c	40030a9a270dd3e1	c45f3bc4	c45f3bc6	07447b811098817d	44d89ed9	44d89ed4	6bfb1b87968fc3c8	0ef9c9a66aec1339	1	1	43967c46	43967c49	0	0	1
2	2048	uniform(-0.05,0.05)	8c9e387d6deac289	be38ead09e36fc9d	1	1	b7ad525c04dfcf08	c2ca2dc2	c2ca2dc4	db0ef11383f0030c	418b3be5	418b3be6	4ea47c56f095cd65	40e635bc	40e635b6	3159eb6be83052f2	77941a2d0eeb2fd3	1	1	c122e388	c122e385	0	0	1
3	3584	uniform(-1,1), 14 blocks (ffn_down width)	2c4f5c9f6a478714	f9fb839832ebaffe	1	1	70a3642e741c4dca	c3d0dde1	c3d0dde4	790c497a6a8fc45f	c5388bf0	c5388bf0	e7d65313b86cd06e	c4433817	c4433820	02f0d75b46516b6a	244aa927403dceb8	1	1	c312acad	c312acb1	0	0	1
4	512	all zero	28c31cf8df2ec325	9a0094294483e6c5	1	1	6a343eec10763ff0	00000000	00000000	de815217c834bdfe	00000000	00000000	d8fbe8ff6fa9294e	00000000	00000000	c14e8f058056d93c	9986ba9af2021da5	1	1	00000000	00000000	0	0	1
5	256	extreme magnitude uniform(-1e30,1e30)	0b48930d22d0efc0	cfc2fe85ffb2fe8c	1	1	dee02b016780e30d	f4c34ea9	f4c34ea8	a30a10ae76f0ea66	f340a0d9	f340a0d7	b838d201db8bb2a1	f6bd5db1	f6bd5db2	94c27526010ba7f8	e4838ce08e34eaa7	1	1	ffc00000	ffc00000	0	0	1
6	768	block0 zero, block1 x1e30, block2 x1e-30	12743cc4f5b8d427	e11eb5f0dced5def	1	1	461f0150195d3d8f	f0b17308	f0b17304	e66a59c8d049f769	f1f9f173	f1f9f174	17a046fcbf564b03	728f8dc6	728f8dc6	2d75458845e4f0aa	e31c52acc6173e95	1	1	ffc00000	ffc00000	0	0	1
7	256	x0=127, xj=(j%254)-126.5: exact .5 ties at iscale=-1	3c53e78f38aebfb8	5c0627aad3179a69	1	1	ace7d7069199db90	467b857a	467b857a	257cddaff4746600	c47c0b3a	c47c0b38	34d0afdf9f126c77	46da9e2b	46da9e18	8047614a28ade1d9	69bf08e8fcea83bb	0	0	c5d0f5e3	c5d0f5e3	0	0	1
8	256	uniform(-1,1) with x5=-2.5, x9=+2.5 (|max| tie, negative first)	398e9e3ff99022e3	51c16ff26fe38a0a	1	1	23bb9646484cc04d	4041e974	4041e974	c1678038b4870853	c167ca5b	c167ca5a	659bbd1b37f52374	c45ba63f	c45ba640	4f48f9e4f109a6d2	4b0659866eecea4f	1	1	42801e3d	42801e3c	1020	4	1
9	1024	uniform(-1,1), every 17th x40	3f2eb8184857bd53	c882c58d87b4257c	1	1	5862ebe7beeccb2c	44674b5c	44674b5e	fdca96aaada388a7	c498bb9d	c498bb9f	0dc06659fbed3801	c4d42dc5	c4d42dd0	cdd51af1d3b8ae74	126a1694dd93cf47	1	1	c45469e4	c45469e6	0	0	1
