name	layer	pos	n	file	sha256
model.input_embed	-1	4	1024	pos4/model.input_embed.f32	91c6f7d1de8e6d3f264160fa5da502086bf667fc541cc1133a6382f5895bd1ca
attn_norm	0	4	1024	pos4/attn_norm-0.f32	4264c424d689a47e39c7076331efc8ab68995d379c9c0eb3342c1ee294111cb3
conv_output_silu	0	4	6144	pos4/conv_output_silu-0.f32	9e3a044e50d923d540e556c7e243e6c7f88dbf87fb44a31fad920e909533dbd6
q_conv_predelta	0	4	2048	pos4/q_conv_predelta-0.f32	3de05097a04cecdbe2592d8abf66e84839c701452ff6e3f07eeae8f9fabce98a
k_conv_predelta	0	4	2048	pos4/k_conv_predelta-0.f32	468d7e032cb362d5d99dcecb633ee41f505c257b3257272d38605d6f60889b29
v_conv_predelta	0	4	2048	pos4/v_conv_predelta-0.f32	9dc3ed42db011d2257e5bbbdbc1747db8fb4498089f2ff0022bc3b22f0a24802
a_softplus	0	4	16	pos4/a_softplus-0.f32	0dbcfaa8a64f9b109fdd0ffbbf41d3d54c37ad937373943bfd7c598fd19f8b23
gate	0	4	16	pos4/gate-0.f32	1cd2fbadbcf9328ec70e5edaa72f60b3ae75ffb09e5c259497844f7b5ff525ed
beta_sigmoid	0	4	16	pos4/beta_sigmoid-0.f32	6b488bf18c0775b9042a9fc2a5f6da8d738e5f0077aaf07642ce5437a6bbe3d5
z	0	4	2048	pos4/z-0.f32	6c4e81c91b4b8d2c3d4c33214484738faa9b9a51b141fa4a99f8ef0daea3f552
state_predelta	0	4	262144	pos4/state_predelta-0.f32	1ba421dbc090c3a520878b0a9e314bccf462ef315c0c1b49b9db2d0158aec358
attn_output	0	4	2048	pos4/attn_output-0.f32	eb2a5ff50f4c9010bff1c90d48dbe1bee200350488f9a1d182c8303fbde0faf7
new_state	0	4	262144	pos4/new_state-0.f32	3b3555aa7ec3110d4dd2974cb854e6572fdc2e83b87c685710eed5e9532e98cd
final_output	0	4	2048	pos4/final_output-0.f32	bfa54923e44b449f28939b66bb451fd4fd5ec5cf4caf83e16b7599682472abe8
linear_attn_out	0	4	1024	pos4/linear_attn_out-0.f32	27d37728d1e3667bea7c3150dc68373ecc60a946487b9cbeffeb72d9ba6a90cb
attn_residual	0	4	1024	pos4/attn_residual-0.f32	cd67f874eabec033e448b672aef0013d80eacfb1ea8683e9f2ccea8416bc378f
attn_post_norm	0	4	1024	pos4/attn_post_norm-0.f32	2b5069d28229762e1581cac7232c0678e353907f4990c5d7c4c581be44c3a052
ffn_out	0	4	1024	pos4/ffn_out-0.f32	12150ea12eb094195538f0f407c4d046574065eef38b55ba6962eae5273595d9
l_out	0	4	1024	pos4/l_out-0.f32	35cc4168ba80b00fc885bf333151bdb39c4aef5aafa5b6c7aea94fb13bfcf5a9
attn_norm	1	4	1024	pos4/attn_norm-1.f32	c880efd19d73c587dee5474ebd46826476290fab8279362dece361b5f80bfe49
conv_output_silu	1	4	6144	pos4/conv_output_silu-1.f32	828ace9dbdc682f8bc08005b44a7cc698ea9975b9a6401bdeb4bad1fa3449340
q_conv_predelta	1	4	2048	pos4/q_conv_predelta-1.f32	93f5ea1e76ed462b993d59e260a9892279d47d8649e1bcd4e0739e64809e4049
k_conv_predelta	1	4	2048	pos4/k_conv_predelta-1.f32	4abd9117ffd904ee00ed9a6baff3183053a4283a8b7f8c33e838e60e1027fd73
v_conv_predelta	1	4	2048	pos4/v_conv_predelta-1.f32	5cfe331552b40eebeeb95a4a20822b6ab40315ebabdbc27e2e6628b1f00c111a
a_softplus	1	4	16	pos4/a_softplus-1.f32	425e0060a7d0e1981e711526a72435d2f7f26fe95bdf91685ce77696b50c8091
gate	1	4	16	pos4/gate-1.f32	b8e1277ce72d467d5e06a53801e0624c090019707018e7af934518a4654be301
beta_sigmoid	1	4	16	pos4/beta_sigmoid-1.f32	8086fb2daf534badcd8e34819ddeba6b0824f28042ac3b4b13172e46bbefbe4f
z	1	4	2048	pos4/z-1.f32	fe2824925e82cd6849b0c48852951261006527e80f623d17c60a38d4ef2cc42a
state_predelta	1	4	262144	pos4/state_predelta-1.f32	c76858eb535b3238f311f9faa714fe249b5862683474d46d3727b0c6222c7cc6
attn_output	1	4	2048	pos4/attn_output-1.f32	fa40dbfbc9c476c50b6ecf05d3f89d3be306a01de64bcb408bd83db3ee6c94d2
new_state	1	4	262144	pos4/new_state-1.f32	2dd6147a603d16701e46b955fa2d084b694f3f6856794a3223acfa98a2b4d0b4
final_output	1	4	2048	pos4/final_output-1.f32	df7f6c92f97394cabdc12d34e2219ea4a0e07835fe58e4b9f41fcdaf92aaae47
linear_attn_out	1	4	1024	pos4/linear_attn_out-1.f32	cb2d6cb0f1856198fa4e8e6f88c81a42cd0395777bb525deabe728cdb77f42c8
attn_residual	1	4	1024	pos4/attn_residual-1.f32	aac32381904d7673e06569881fd3399297e2bf0a86ba49d2b5cd132f8f150ae2
attn_post_norm	1	4	1024	pos4/attn_post_norm-1.f32	35ae021a94a457da62bcd06dbdcb513a2304f3ae9fa9ae0f911a48e5fb7ff7d8
ffn_out	1	4	1024	pos4/ffn_out-1.f32	984fdac2bb8c09ecf992105b27e819d700197d68c7ac4e4200ba1fef70b6db8b
l_out	1	4	1024	pos4/l_out-1.f32	a5e3cfc6122b9486c5a5027c10495c3929079d2cf657be2824ee1fa2736fa1f1
attn_norm	2	4	1024	pos4/attn_norm-2.f32	d43189855b1befaecab32789dbaf12dc7df7da29949eb75a2e4dcbfff158318e
conv_output_silu	2	4	6144	pos4/conv_output_silu-2.f32	8bab2dfcd99b4bb71d952f032c71a3b495ea5dad473bbd255520ed92f5ddabcd
q_conv_predelta	2	4	2048	pos4/q_conv_predelta-2.f32	ec216fb0dd1b85950bd3ff6c8515ef9e73654d876aedb975927ef099fd838714
k_conv_predelta	2	4	2048	pos4/k_conv_predelta-2.f32	919b2f7d9e90b4768329964b5ba437ed8244f3346aa8f6be157d81c4bced52a9
v_conv_predelta	2	4	2048	pos4/v_conv_predelta-2.f32	8fc2474c33689ad1da5707e11b45be31b358fa05741ad4f6b3dfc7eaa3090b41
a_softplus	2	4	16	pos4/a_softplus-2.f32	97f8de1feef116e453297236e1c23d6f80b961021964e2b2b28d2214d0eec5e4
gate	2	4	16	pos4/gate-2.f32	a6b40e466b7e0be62108b492f9b9d9144fc9b8cb3a746777f04cd0fd1e457b0e
beta_sigmoid	2	4	16	pos4/beta_sigmoid-2.f32	e49fc287f33bc673bde7d71bdb86a1145b13263a2f223699d3142c15be2a3f28
z	2	4	2048	pos4/z-2.f32	ea5ff17cba20cdcfcedb3f69b3f52b009fe77e0ed00dfe7dbf09f87460fa33f6
state_predelta	2	4	262144	pos4/state_predelta-2.f32	fcbdeedaa5c6022f72f7a22b7bab9a4374e5ddb200ac02156b67a60719f7a59a
attn_output	2	4	2048	pos4/attn_output-2.f32	61b1e515b0045e0878f1ba802cf53f0673f216d0e1b80f7bd54ceea4d540255e
new_state	2	4	262144	pos4/new_state-2.f32	d3bd3c0f874bf6f593a44664dd2389a80a11023f78e513a7656ea05297492066
final_output	2	4	2048	pos4/final_output-2.f32	01b0ce49d4f437edce41ff7f8613094c5105b2bcafc47ab56339c3dc51a4b3ff
linear_attn_out	2	4	1024	pos4/linear_attn_out-2.f32	00ace8bef82c9686f2db308fa068a72a80fe9033d717a5303c938f2148ab7074
attn_residual	2	4	1024	pos4/attn_residual-2.f32	a7967e89a668db98a488ff712c8741fbef88be22a14f859d9353582c26d46d98
attn_post_norm	2	4	1024	pos4/attn_post_norm-2.f32	2421fe816b9bb9a5efdc85ecac6d776f18f8dbbceadef00c1b57bdc1ff236d5f
ffn_out	2	4	1024	pos4/ffn_out-2.f32	a95fd214b0c06ceb2be5b20b3e61186ee474abc5cff1a8687faaf5b0878b32b1
l_out	2	4	1024	pos4/l_out-2.f32	6175beb4d65be37b1f9ef62dd4ade3cc8291a80ab4cbeecce3f5db36fc25e6f2
attn_norm	3	4	1024	pos4/attn_norm-3.f32	f46599fe2bb6b72aec20b0779e869674fcef7cb0c2d43570f42fd1d65023cf4e
attn_pregate	3	4	2048	pos4/attn_pregate-3.f32	6f17c7c5ae43bbed9e480362a363628ec65891833bba447fa015b4ee3d9f241a
attn_gated	3	4	2048	pos4/attn_gated-3.f32	4d1188eed00a23256693d2a0755a2f6ccea9efe132e38c1007c876a19dd3cc86
attn_output	3	4	1024	pos4/attn_output-3.f32	5d44f9644a60c8a17dbf0045b2e9cd1abb92641981f0cafeb697dd0de0031503
attn_residual	3	4	1024	pos4/attn_residual-3.f32	b6dcb5732da66874636decb3ea0dfb96e476e4ba23a1b1300200913fcb53a424
attn_post_norm	3	4	1024	pos4/attn_post_norm-3.f32	2ff07584170bc89e0911372571041786b5a80c46a8b0ee92f6a1ab05a05c3781
ffn_out	3	4	1024	pos4/ffn_out-3.f32	1aa0f089c0d38cbf1193f725eae096a3fecec0921450d41f980840abed96e735
l_out	3	4	1024	pos4/l_out-3.f32	3fbbe9c0a5bf1df9b4829d78b3509ae63412e02b61742467c0ea36ce1b13c133
attn_norm	4	4	1024	pos4/attn_norm-4.f32	0e939c1c7996f304d757ac522576e082751c5f8045f12919b2a90a68991559a9
conv_output_silu	4	4	6144	pos4/conv_output_silu-4.f32	f9181d9964976435a122ce0cbeadac1f2044d31a67d29ff404bcfccee97ae1f6
q_conv_predelta	4	4	2048	pos4/q_conv_predelta-4.f32	9813def0b2bf9bef13965b98b93d6a0114e745b082fd7b671fc6a2da29e2aaaf
k_conv_predelta	4	4	2048	pos4/k_conv_predelta-4.f32	004aab82f20fc7fdc4edce4206b7642493b413505d10a89eb7d26cf7a654fd34
v_conv_predelta	4	4	2048	pos4/v_conv_predelta-4.f32	55d67800bb419f428434990c92d9c9194afacc0cb6b518480237f4c0be7d7728
a_softplus	4	4	16	pos4/a_softplus-4.f32	80203b803694d0da0f39edcc353ba05ec0583ea06f4f1cbd29bb93fffc41a48b
gate	4	4	16	pos4/gate-4.f32	84bee38472cca4f5009e0fe077ad01bdf93f726e2ce5b7353fccef00aa3b4d09
beta_sigmoid	4	4	16	pos4/beta_sigmoid-4.f32	2de7cb518dac60a96a506ad5cc2f1bd361533be154a40376bd7ee349e4395af8
z	4	4	2048	pos4/z-4.f32	0481a20b336632f88071aed7b0a42cffbb58c40530aae4914a16447358e7d0d5
state_predelta	4	4	262144	pos4/state_predelta-4.f32	13e9305c169fab8fd344e1ac57b104c6d85a2d5da1b34d71acf9f0b8a1f1f7ce
attn_output	4	4	2048	pos4/attn_output-4.f32	6f3f5184b9062f5196fd1a5617dc01ebbd3d9d6000e960c0608807d1811cb213
new_state	4	4	262144	pos4/new_state-4.f32	ebaafdec72155fc8dd5fd37e59017cfa7d3cd4b99dc24e9c1ff2fef1927042f9
final_output	4	4	2048	pos4/final_output-4.f32	7773b314a62f60a3bb6eeca5452a2a5e6cd4bf700b56bedb0c5e97fd47dc415d
linear_attn_out	4	4	1024	pos4/linear_attn_out-4.f32	4dd647b7c5a4194305dc4026191a6514637b0793961d81d62e69c3d627e94961
attn_residual	4	4	1024	pos4/attn_residual-4.f32	059d7a619e5f4a61304d2587a1a8d36a0dd0cdce6bd35ae3d4f07ab99f7230d6
attn_post_norm	4	4	1024	pos4/attn_post_norm-4.f32	be6c1182666633d91ef9d17d12577945146eda95b8b0a256b8f863a92f841907
ffn_out	4	4	1024	pos4/ffn_out-4.f32	5db6654387a0e0685390ec65c37c807838e2ea688f0dba6ac8ba5c23a51439f7
l_out	4	4	1024	pos4/l_out-4.f32	32a4b6b90dd7703675a4141938ab56d1c11a17c7e137d9b7279a4b71a13941ab
attn_norm	5	4	1024	pos4/attn_norm-5.f32	e79c828b3144afa87905712ae4c8bdb5ed00dcb68109f29e245b5165307374a8
conv_output_silu	5	4	6144	pos4/conv_output_silu-5.f32	52fef15ef5bd53e76a8fe29a09bb3ad16f0ea887b5be273dab556870ec364359
q_conv_predelta	5	4	2048	pos4/q_conv_predelta-5.f32	4ebba2b1d855a21a42f63945cd82961d98153f9d09b680c99a5ee65a3adedb3f
k_conv_predelta	5	4	2048	pos4/k_conv_predelta-5.f32	d246cb6d9c0b58f93994e9de4952e07e92efd20fa300d0b140c9996895574ad2
v_conv_predelta	5	4	2048	pos4/v_conv_predelta-5.f32	c088bbc33b931b7dc54130cac2a9efd653f20dde7a482d05c13ddae6ec7e5f4b
a_softplus	5	4	16	pos4/a_softplus-5.f32	b1116797fbaf95030f823f7461d49d933d8cf1f26f29954c4548d7b9c93fe993
gate	5	4	16	pos4/gate-5.f32	a0317868cff2448f6efe528d22e5fc1a0c377d8fbeca5ab6f72a38c3540c4700
beta_sigmoid	5	4	16	pos4/beta_sigmoid-5.f32	a209477654a53d49f06534e57fc9a79b9b768677d86da424ae2c5e7f7d7dd99c
z	5	4	2048	pos4/z-5.f32	68e58d838cad161b4202732337ab84120007c47422729561d50bfca63476172b
state_predelta	5	4	262144	pos4/state_predelta-5.f32	ae1002b63d1186b2d2e3df2dc2a9b5205c1c0c1880b14fb9671520d5834e46ac
attn_output	5	4	2048	pos4/attn_output-5.f32	ea46507817768baad9cab6bc79d082369983481be1d18c53a0dfa6be88b388d9
new_state	5	4	262144	pos4/new_state-5.f32	d6adee7d360cb87df5b2ee97478f3d604caf2f8558de073dc71e427f856303a9
final_output	5	4	2048	pos4/final_output-5.f32	9708e501e32fc6a71c5d7b68611b6645785d09bb4217819d9d602a28d834c25a
linear_attn_out	5	4	1024	pos4/linear_attn_out-5.f32	78aa3cff45f21b39975ce40b34018dbda2c1a474193b08d388e11ea931b32973
attn_residual	5	4	1024	pos4/attn_residual-5.f32	9ba71d30e26e1bf10fbd6aa91f0ad8430d8a381ae8ba68ec9efd0e9b88eb91f2
attn_post_norm	5	4	1024	pos4/attn_post_norm-5.f32	1e5cdf57f11ce0f5c5d955501b16ccf31a25061e8162226bc44d1bb6755400aa
