name	layer	pos	n	file	sha256
model.input_embed	-1	0	1024	pos0/model.input_embed.f32	0f2822b1d8f095dda46d1b1c56382d69fe0b941be4f54f9619610de1b68f5800
attn_norm	0	0	1024	pos0/attn_norm-0.f32	7fddf79018f18b6a8efe4d4305b8c552d45f257d584fe7cabb71ba8944bbe098
conv_output_silu	0	0	6144	pos0/conv_output_silu-0.f32	7d2ba59609dcdf23610e1c310c65079e82bbf8667c2689c181f325c8e609fdd1
q_conv_predelta	0	0	2048	pos0/q_conv_predelta-0.f32	acba38934730a1d1d713199ca051c448ec249d21caf4d074a671b075790906c1
k_conv_predelta	0	0	2048	pos0/k_conv_predelta-0.f32	96b1df95871a07201a0e2d03b534bea07028f8cfad62ad7df505077f7eecc8ff
v_conv_predelta	0	0	2048	pos0/v_conv_predelta-0.f32	72bb2d0c7a5f7fd04515142dfde17e1749c65a824e7e3a5d60a2e7aff94bb22a
a_softplus	0	0	16	pos0/a_softplus-0.f32	87f9118b34cab3bf48cf2763b32fb77d1ff501d58bca1be9fb1cb6be42c90ba3
gate	0	0	16	pos0/gate-0.f32	9e21144d59d8963eca52e687f402391a9a267721380bb53869de2a0c7a0da701
beta_sigmoid	0	0	16	pos0/beta_sigmoid-0.f32	093ec2f855ec032d5d5d5c10f06cdd05f02905b3f9a744fb3f783b6e632bb015
z	0	0	2048	pos0/z-0.f32	c21e5397cb76ff1f011c70bc9e08c0efdfda3483fffd15eef2b13a70cbc1d026
state_predelta	0	0	262144	pos0/state_predelta-0.f32	30e14955ebf1352266dc2ff8067e68104607e750abb9d3b36582b8af909fcb58
attn_output	0	0	2048	pos0/attn_output-0.f32	874e472ef18b275284061d81e9fc19bf0b739426fdb4c50de3d590eb59a5af4f
new_state	0	0	262144	pos0/new_state-0.f32	908801e7777f8beb32934529cdeedb41a4113a5834a1b4d3a47aa417afdfa4fe
final_output	0	0	2048	pos0/final_output-0.f32	4f6d16a83afe2f40f6bc498650710202492f81e8fd1f5fc5eab6bbe7d82a43e9
linear_attn_out	0	0	1024	pos0/linear_attn_out-0.f32	3fc6fa118b2c957956fae5f086bc08a762abe8092f37df03a31026828cd47c78
attn_residual	0	0	1024	pos0/attn_residual-0.f32	bc8f328167aaf6eca517817fcb43196a7522681db973e26b59b10415bffd87db
attn_post_norm	0	0	1024	pos0/attn_post_norm-0.f32	4e6ee085d8cfafea6d8734288e6db81c1dfd34e573554ca6ff57ad46cd44c787
ffn_out	0	0	1024	pos0/ffn_out-0.f32	f12a135c2545f61c58af55c7bcec83ec42eafd75883c17e68832790297aa31c5
l_out	0	0	1024	pos0/l_out-0.f32	8fdae3ba429bab3ce812992436816d1e29681eaf8fc9cc39cab7932dd521dd99
attn_norm	1	0	1024	pos0/attn_norm-1.f32	fd3a00d56350d145a475d1404a7205a77c7e17039bedbeeff15cf92701ad12ba
conv_output_silu	1	0	6144	pos0/conv_output_silu-1.f32	20eb85200bbf7ad2d5aab38df65ce43203646d2ebce7a3db8177b608312466f4
q_conv_predelta	1	0	2048	pos0/q_conv_predelta-1.f32	9acd6cc244bf527144adb7ce57f969fbc26d010cf0d5edfbd8343f52bb0feed7
k_conv_predelta	1	0	2048	pos0/k_conv_predelta-1.f32	e5a06e459acea45ce6d831504ec322c3b553c9abe78c3321b0e405844a47aa51
v_conv_predelta	1	0	2048	pos0/v_conv_predelta-1.f32	9fc137f01f107810423c0c643245e2a29aec76f2e05af38badd3992241d491de
a_softplus	1	0	16	pos0/a_softplus-1.f32	55630d08f628a96a810352d951adb8b2d60ffc21a1df6d575bf8d7af28ba8b7c
gate	1	0	16	pos0/gate-1.f32	f0455f8a6ada6064fd11c7a3ae209228dc6623b031415c92246cdc42160bacee
beta_sigmoid	1	0	16	pos0/beta_sigmoid-1.f32	84fd959afb54c8d2f8042be930fd276685dea2305edb0c3669cd11cd0c486d58
