label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.037412	0.037412	0.999300	linear_attn_out-0	0.038959	0.999241
p4	0	l_out-0	0	linear_gated_deltanet	ffn	0.037412	0.036982	-0.000430	0.999320	ffn_out-0	0.043184	0.999071
p4	0	attn_residual-1	1	linear_gated_deltanet	mixer	0.036982	0.034555	-0.002427	0.999403	linear_attn_out-1	0.039215	0.999355
p4	0	l_out-1	1	linear_gated_deltanet	ffn	0.034555	0.038121	0.003566	0.999278	ffn_out-1	0.059525	0.998228
p4	0	attn_residual-2	2	linear_gated_deltanet	mixer	0.038121	0.033594	-0.004527	0.999436	linear_attn_out-2	0.037352	0.999324
p4	0	l_out-2	2	linear_gated_deltanet	ffn	0.033594	0.032841	-0.000753	0.999473	ffn_out-2	0.068676	0.997659
p4	0	attn_residual-3	3	full_attention	mixer	0.032841	0.036200	0.003359	0.999353	attn_output-3	0.071452	0.997475
p4	0	l_out-3	3	full_attention	ffn	0.036200	0.031320	-0.004880	0.999517	ffn_out-3	0.032122	0.999507
p4	0	attn_residual-4	4	linear_gated_deltanet	mixer	0.031320	0.030786	-0.000534	0.999531	linear_attn_out-4	0.048694	0.998815
p4	0	l_out-4	4	linear_gated_deltanet	ffn	0.030786	0.028936	-0.001850	0.999590	ffn_out-4	0.059777	0.998212
p4	0	attn_residual-5	5	linear_gated_deltanet	mixer	0.028936	0.028648	-0.000288	0.999596	linear_attn_out-5	0.057462	0.998348
p4	0	l_out-5	5	linear_gated_deltanet	ffn	0.028648	0.026786	-0.001862	0.999648	ffn_out-5	0.046711	0.998915
p4	0	attn_residual-6	6	linear_gated_deltanet	mixer	0.026786	0.017577	-0.009209	0.999846	linear_attn_out-6	0.020282	0.999797
p4	0	l_out-6	6	linear_gated_deltanet	ffn	0.017577	0.017174	-0.000403	0.999853	ffn_out-6	0.043001	0.999077
p4	0	attn_residual-7	7	full_attention	mixer	0.017174	0.029692	0.012518	0.999560	attn_output-7	0.020250	0.999796
p4	0	l_out-7	7	full_attention	ffn	0.029692	0.033041	0.003349	0.999455	ffn_out-7	0.037743	0.999312
p4	0	attn_residual-8	8	linear_gated_deltanet	mixer	0.033041	0.031935	-0.001106	0.999491	linear_attn_out-8	0.095493	0.995523
p4	0	l_out-8	8	linear_gated_deltanet	ffn	0.031935	0.029689	-0.002246	0.999560	ffn_out-8	0.056214	0.998474
p4	0	attn_residual-9	9	linear_gated_deltanet	mixer	0.029689	0.029424	-0.000265	0.999568	linear_attn_out-9	0.060529	0.998676
p4	0	l_out-9	9	linear_gated_deltanet	ffn	0.029424	0.027910	-0.001514	0.999611	ffn_out-9	0.068212	0.997689
p4	0	attn_residual-10	10	linear_gated_deltanet	mixer	0.027910	0.025108	-0.002802	0.999686	linear_attn_out-10	0.072907	0.997343
p4	0	l_out-10	10	linear_gated_deltanet	ffn	0.025108	0.023193	-0.001915	0.999733	ffn_out-10	0.043539	0.999052
p4	0	attn_residual-11	11	full_attention	mixer	0.023193	0.044665	0.021472	0.999030	attn_output-11	0.035207	0.999477
p4	0	l_out-11	11	full_attention	ffn	0.044665	0.054143	0.009478	0.998560	ffn_out-11	0.039958	0.999206
p4	0	attn_residual-12	12	linear_gated_deltanet	mixer	0.054143	0.057548	0.003405	0.998368	linear_attn_out-12	0.059058	0.998278
p4	0	l_out-12	12	linear_gated_deltanet	ffn	0.057548	0.062203	0.004655	0.998089	ffn_out-12	0.073496	0.997308
p4	0	attn_residual-13	13	linear_gated_deltanet	mixer	0.062203	0.063106	0.000903	0.998031	linear_attn_out-13	0.070833	0.997705
p4	0	l_out-13	13	linear_gated_deltanet	ffn	0.063106	0.060475	-0.002631	0.998186	ffn_out-13	0.082002	0.996632
p4	0	attn_residual-14	14	linear_gated_deltanet	mixer	0.060475	0.060247	-0.000228	0.998201	linear_attn_out-14	0.088379	0.996353
p4	0	l_out-14	14	linear_gated_deltanet	ffn	0.060247	0.020192	-0.040055	0.999818	ffn_out-14	0.020741	0.999804
p4	0	attn_residual-15	15	full_attention	mixer	0.020192	0.104941	0.084749	0.994613	attn_output-15	0.010128	0.999951
p4	0	l_out-15	15	full_attention	ffn	0.104941	0.104232	-0.000709	0.994943	ffn_out-15	0.173747	0.985422
p4	0	attn_residual-16	16	linear_gated_deltanet	mixer	0.104232	0.104822	0.000590	0.994861	linear_attn_out-16	0.176832	0.985169
p4	0	l_out-16	16	linear_gated_deltanet	ffn	0.104822	0.105644	0.000822	0.994792	ffn_out-16	0.167114	0.986579
p4	0	attn_residual-17	17	linear_gated_deltanet	mixer	0.105644	0.105648	0.000004	0.994763	linear_attn_out-17	0.149139	0.988964
p4	0	l_out-17	17	linear_gated_deltanet	ffn	0.105648	0.108046	0.002398	0.994530	ffn_out-17	0.174973	0.985069
p4	0	attn_residual-18	18	linear_gated_deltanet	mixer	0.108046	0.094181	-0.013865	0.996217	linear_attn_out-18	0.088009	0.998223
p4	0	l_out-18	18	linear_gated_deltanet	ffn	0.094181	0.088948	-0.005233	0.996700	ffn_out-18	0.100043	0.995345
p4	0	attn_residual-19	19	full_attention	mixer	0.088948	0.099816	0.010868	0.995626	attn_output-19	0.078403	0.996985
p4	0	l_out-19	19	full_attention	ffn	0.099816	0.104452	0.004636	0.995163	ffn_out-19	0.142411	0.989836
p4	0	attn_residual-20	20	linear_gated_deltanet	mixer	0.104452	0.109991	0.005539	0.994172	linear_attn_out-20	0.117442	0.993652
p4	0	l_out-20	20	linear_gated_deltanet	ffn	0.109991	0.118698	0.008707	0.993099	ffn_out-20	0.172624	0.984998
p4	0	attn_residual-21	21	linear_gated_deltanet	mixer	0.118698	0.132556	0.013858	0.991368	linear_attn_out-21	0.186337	0.983111
p4	0	l_out-21	21	linear_gated_deltanet	ffn	0.132556	0.146248	0.013692	0.989423	ffn_out-21	0.217922	0.976161
p4	0	attn_residual-22	22	linear_gated_deltanet	mixer	0.146248	0.141328	-0.004920	0.990155	linear_attn_out-22	0.187350	0.982581
p4	0	l_out-22	22	linear_gated_deltanet	ffn	0.141328	0.139477	-0.001851	0.990501	ffn_out-22	0.168507	0.986123
p4	0	attn_residual-23	23	full_attention	mixer	0.139477	0.121203	-0.018274	0.992851	attn_output-23	0.076960	0.997141
p4	0	l_out-23	23	full_attention	ffn	0.121203	0.128266	0.007063	0.992050	ffn_out-23	0.136227	0.990748
p4	0	result_norm	-1	-	final_norm	0.128266	0.170050	0.041784	0.985450	-	-	-
p4	1	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.039963	0.039963	0.999204	linear_attn_out-0	0.041934	0.999122
p4	1	l_out-0	0	linear_gated_deltanet	ffn	0.039963	0.053324	0.013361	0.998590	ffn_out-0	0.063411	0.997988
p4	1	attn_residual-1	1	linear_gated_deltanet	mixer	0.053324	0.053683	0.000359	0.998566	linear_attn_out-1	0.064018	0.998125
p4	1	l_out-1	1	linear_gated_deltanet	ffn	0.053683	0.064590	0.010907	0.997977	ffn_out-1	0.076211	0.997183
p4	1	attn_residual-2	2	linear_gated_deltanet	mixer	0.064590	0.062996	-0.001594	0.998023	linear_attn_out-2	0.062945	0.998145
