label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.000001	0.000001	1.000000	linear_attn_out-0	0.000001	1.000000
p4	0	l_out-0	0	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-0	0.000001	1.000000
p4	0	attn_residual-1	1	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-1	0.000001	1.000000
p4	0	l_out-1	1	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-1	0.000001	1.000000
p4	0	attn_residual-2	2	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-2	0.000000	1.000000
p4	0	l_out-2	2	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-2	0.000001	1.000000
p4	0	attn_residual-3	3	full_attention	mixer	0.000001	0.000001	0.000000	1.000000	attn_output-3	0.000001	1.000000
p4	0	l_out-3	3	full_attention	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-3	0.000001	1.000000
p4	0	attn_residual-4	4	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-4	0.000001	1.000000
p4	0	l_out-4	4	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-4	0.000000	1.000000
p4	0	attn_residual-5	5	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-5	0.000001	1.000000
p4	0	l_out-5	5	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-5	0.000000	1.000000
p4	0	attn_residual-6	6	linear_gated_deltanet	mixer	0.000001	0.000000	-0.000001	1.000000	linear_attn_out-6	0.000000	1.000000
p4	0	l_out-6	6	linear_gated_deltanet	ffn	0.000000	0.000000	0.000000	1.000000	ffn_out-6	0.000001	1.000000
p4	0	attn_residual-7	7	full_attention	mixer	0.000000	0.000001	0.000001	1.000000	attn_output-7	0.000000	1.000000
p4	0	l_out-7	7	full_attention	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-7	0.000000	1.000000
p4	0	attn_residual-8	8	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-8	0.000001	1.000000
p4	0	l_out-8	8	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-8	0.000000	1.000000
p4	0	attn_residual-9	9	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-9	0.000000	1.000000
p4	0	l_out-9	9	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-9	0.000000	1.000000
p4	0	attn_residual-10	10	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-10	0.000003	1.000000
p4	0	l_out-10	10	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-10	0.000000	1.000000
p4	0	attn_residual-11	11	full_attention	mixer	0.000001	0.000001	0.000000	1.000000	attn_output-11	0.000000	1.000000
p4	0	l_out-11	11	full_attention	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-11	0.000000	1.000000
p4	0	attn_residual-12	12	linear_gated_deltanet	mixer	0.000001	0.000002	0.000001	1.000000	linear_attn_out-12	0.000001	1.000000
p4	0	l_out-12	12	linear_gated_deltanet	ffn	0.000002	0.000002	0.000000	1.000000	ffn_out-12	0.000000	1.000000
