pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998418	2614	2614	True	1.187189	1.435308	1	0.000000
1	3841	0.998088	321	321	True	0.820430	1.272531	1	0.000000
2	13477	0.998460	37550	37550	True	1.434902	0.075659	1	0.000000
3	37550	0.998486	321	321	True	0.981859	0.228145	1	0.000000
4	33075	0.994599	888	888	True	1.289022	0.626764	1	0.000000
5	888	0.999298	279	279	True	0.857022	0.479078	1	0.000000
6	279	0.999271	15740	15740	True	0.766262	0.758223	1	0.000000
7	15217	0.999461	5388	5388	True	0.930737	0.628420	1	0.000000
8	5388	0.998326	13	13	True	0.811185	1.514725	1	0.000000
9	1345	0.999539	279	279	True	0.579514	2.493236	1	0.000000
10	279	0.999625	15217	15217	True	0.568404	0.944897	1	0.000000
11	12433	0.999321	369	369	True	0.550719	1.003157	1	0.000000
12	21250	0.999486	279	279	True	0.481007	2.931628	1	0.000000
13	34227	0.999461	34129	34129	True	0.474533	0.732084	1	0.000000
14	36165	0.999586	314	314	True	0.525241	0.381791	1	0.000000
15	23497	0.999326	13	13	True	0.521653	0.213230	1	0.000000
16	883	0.999640	279	279	True	0.483641	1.351883	1	0.000000
17	31108	0.999518	4649	4649	True	0.586978	4.365618	1	0.000000
18	4649	0.999467	13	13	True	0.529755	1.355129	1	0.000000
19	5638	0.999444	13	13	True	0.506924	1.246284	1	0.000000
20	11	0.998882	321	321	True	0.631564	0.800810	1	0.000000
21	4098	0.996908	4082	3808	False	1.111782	0.036892	2	0.083242
22	23122	0.995800	11	11	True	1.294120	0.080042	1	0.000000
23	11	0.997847	321	321	True	1.092143	3.866378	1	0.000000
24	15167	0.998972	3741	3741	True	0.654207	0.360298	1	0.000000
25	47410	0.998781	11	11	True	0.648407	2.380569	1	0.000000
26	11	0.999282	321	321	True	0.561482	3.227911	1	0.000000
27	9966	0.998575	1954	1954	True	0.588290	0.641779	1	0.000000
28	1452	0.998569	795	28758	False	0.881810	0.314670	2	0.216549
