pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998213	2614	2614	True	1.057571	1.313619	1	0.000000
1	3841	0.998214	321	321	True	0.950426	0.996595	1	0.000000
2	13477	0.998068	627	37550	False	1.382704	0.313723	2	0.197060
3	37550	0.998591	321	321	True	0.992363	0.322447	1	0.000000
4	33075	0.996538	888	888	True	1.063350	0.531435	1	0.000000
5	888	0.999266	279	279	True	1.043085	0.480869	1	0.000000
6	279	0.999387	15740	15740	True	0.787339	0.568182	1	0.000000
7	15217	0.999477	5388	5388	True	0.972620	0.591562	1	0.000000
8	5388	0.998484	13	13	True	0.815906	1.557168	1	0.000000
9	1345	0.999528	279	279	True	0.640499	2.522507	1	0.000000
10	279	0.999636	15217	15217	True	0.552329	1.224166	1	0.000000
11	12433	0.999295	369	369	True	0.556592	0.941887	1	0.000000
12	21250	0.999475	279	279	True	0.495584	2.916555	1	0.000000
13	34227	0.999473	34129	34129	True	0.472083	0.768607	1	0.000000
14	36165	0.999528	314	314	True	0.481843	0.408729	1	0.000000
15	23497	0.999292	13	13	True	0.521829	0.206133	1	0.000000
16	883	0.999572	279	279	True	0.512274	1.289701	1	0.000000
17	31108	0.999505	4649	4649	True	0.566782	4.440285	1	0.000000
18	4649	0.999492	13	13	True	0.511178	1.291714	1	0.000000
19	5638	0.999330	13	13	True	0.558093	1.223946	1	0.000000
20	11	0.998932	321	321	True	0.617632	0.565033	1	0.000000
21	4098	0.996980	3808	3808	True	1.002635	0.138784	1	0.000000
22	23122	0.996167	11	11	True	1.348184	0.176575	1	0.000000
23	11	0.998407	321	321	True	0.804338	3.908163	1	0.000000
24	15167	0.999111	3741	3741	True	0.704619	0.312729	1	0.000000
25	47410	0.998790	11	11	True	0.584136	2.326565	1	0.000000
26	11	0.999363	321	321	True	0.512090	3.257796	1	0.000000
27	9966	0.998416	1954	1954	True	0.610937	0.714643	1	0.000000
28	1452	0.998672	795	28758	False	0.822689	0.254969	2	0.216549
29	6326	0.999288	11	11	True	0.625110	1.711275	1	0.000000
30	61369	0.998327	11	11	True	0.586565	2.985626	1	0.000000
31	11	0.999563	321	321	True	0.507258	2.678877	1	0.000000
32	321	0.999105	279	279	True	0.584808	0.094048	1	0.000000
33	279	0.999462	491	491	True	0.495440	0.771034	1	0.000000
34	26984	0.998899	314	314	True	0.648941	5.664352	1	0.000000
35	314	0.999329	29144	29144	True	0.701752	0.674121	1	0.000000
36	638	0.998621	57695	57695	True	0.699667	0.041491	1	0.000000
37	37309	0.998355	290	290	True	0.714193	0.528782	1	0.000000
38	290	0.999424	14791	14791	True	0.826404	0.856059	1	0.000000
39	42903	0.998776	13	13	True	0.859715	2.357990	1	0.000000
40	3808	0.999605	279	279	True	0.556256	0.719263	1	0.000000
41	2943	0.999435	3478	3478	True	0.516760	0.088266	1	0.000000
42	94408	0.999316	795	795	True	0.623177	0.448242	1	0.000000
