pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999342	2614	2614	True	0.696710	1.435308	1	0.000000
1	3841	0.998764	321	321	True	0.655707	1.272531	1	0.000000
2	13477	0.999007	37550	627	False	1.129599	0.075659	2	0.720429
3	37550	0.999114	321	321	True	0.768506	0.228145	1	0.000000
4	33075	0.999390	888	888	True	0.504669	0.626764	1	0.000000
5	888	0.999636	279	279	True	0.508798	0.479078	1	0.000000
6	279	0.999603	15740	15740	True	0.639174	0.758223	1	0.000000
7	15217	0.999691	5388	5388	True	0.812930	0.628420	1	0.000000
8	5388	0.999267	13	13	True	0.613203	1.514725	1	0.000000
9	1345	0.999665	279	279	True	0.598054	2.493236	1	0.000000
10	279	0.999671	15217	15217	True	0.504457	0.944897	1	0.000000
11	12433	0.999459	369	369	True	0.529017	1.003157	1	0.000000
12	21250	0.999485	279	279	True	0.475235	2.931628	1	0.000000
13	34227	0.999421	34129	34129	True	0.517381	0.732084	1	0.000000
14	36165	0.999602	314	314	True	0.479837	0.381791	1	0.000000
15	23497	0.999414	13	13	True	0.495065	0.213230	1	0.000000
16	883	0.999544	279	279	True	0.493910	1.351883	1	0.000000
17	31108	0.999520	4649	4649	True	0.569880	4.365618	1	0.000000
18	4649	0.999495	13	13	True	0.470761	1.355129	1	0.000000
19	5638	0.999368	13	13	True	0.696560	1.246284	1	0.000000
20	11	0.998928	321	321	True	0.556152	0.800810	1	0.000000
21	4098	0.999202	4082	4082	True	0.586343	0.036892	1	0.000000
22	23122	0.998969	11	4082	False	0.600922	0.080042	2	0.046906
23	11	0.999219	321	321	True	0.511046	3.866378	1	0.000000
24	15167	0.999039	3741	3741	True	0.695201	0.360298	1	0.000000
25	47410	0.999011	11	11	True	0.605635	2.380569	1	0.000000
26	11	0.999455	321	321	True	0.580924	3.227911	1	0.000000
27	9966	0.998595	1954	1954	True	0.599528	0.641779	1	0.000000
28	1452	0.999255	795	795	True	0.586735	0.314670	1	0.000000
29	6326	0.999367	11	11	True	0.580277	1.419773	1	0.000000
30	61369	0.998837	11	11	True	0.638820	2.901825	1	0.000000
31	11	0.999549	321	321	True	0.427221	2.708129	1	0.000000
32	321	0.999285	279	279	True	0.505014	0.056930	1	0.000000
33	279	0.999349	491	491	True	0.577788	0.783517	1	0.000000
34	26984	0.999002	314	314	True	0.645299	5.731712	1	0.000000
35	314	0.999583	29144	29144	True	0.491337	0.648893	1	0.000000
36	638	0.999034	57695	5331	False	0.643290	0.010532	2	0.034752
37	37309	0.999069	290	290	True	0.636457	0.615654	1	0.000000
38	290	0.999645	14791	14791	True	0.547802	0.847440	1	0.000000
39	42903	0.999440	13	13	True	0.545701	2.353140	1	0.000000
40	3808	0.999429	279	279	True	0.529074	0.599365	1	0.000000
41	2943	0.999294	3478	3478	True	0.624222	0.115568	1	0.000000
42	94408	0.999336	795	795	True	0.583664	0.550180	1	0.000000
43	17882	0.999155	13	13	True	0.563540	1.506941	1	0.000000
44	26	0.999065	279	279	True	0.510469	0.553385	1	0.000000
45	1396	0.999329	13340	13340	True	0.657791	1.380568	1	0.000000
46	13901	0.998157	314	314	True	0.661344	0.177244	1	0.000000
47	557	0.999349	5158	5158	True	0.516240	0.408630	1	0.000000
48	47193	0.999519	11	11	True	0.561512	0.224670	1	0.000000
49	11	0.999115	1396	1396	True	0.623523	0.380222	1	0.000000
50	1396	0.999357	11316	11316	True	0.476337	1.456829	1	0.000000
51	1898	0.999000	557	557	True	0.585398	1.556593	1	0.000000
52	557	0.999265	28853	28853	True	0.592853	0.190447	1	0.000000
53	21197	0.998891	11	11	True	0.619172	2.151264	1	0.000000
54	11	0.999127	321	321	True	0.515627	1.421793	1	0.000000
55	321	0.999301	1396	1396	True	0.575605	0.580721	1	0.000000
56	279	0.999233	4307	4307	True	0.560030	0.588173	1	0.000000
57	1830	0.998930	557	557	True	0.609997	0.791128	1	0.000000
58	9202	0.999184	440	440	True	0.497568	4.269529	1	0.000000
59	440	0.999414	264	264	True	0.614321	1.649332	1	0.000000
60	264	0.999438	1562	1562	True	0.596307	0.479219	1	0.000000
61	50802	0.998714	314	314	True	0.804270	1.437773	1	0.000000
62	314	0.999222	279	279	True	0.605172	0.219078	1	0.000000
63	50614	0.999045	34129	34129	True	0.574656	0.068943	1	0.000000
64	39663	0.999217	3470	3470	True	0.664415	1.583142	1	0.000000
65	22188	0.999365	7123	7123	True	0.565628	0.486996	1	0.000000
66	7123	0.999261	13	13	True	0.545115	1.740232	1	0.000000
67	421	0.999382	998	998	True	0.534510	0.119059	1	0.000000
68	995	0.999302	978	978	True	0.551343	1.454679	1	0.000000
69	310	0.999310	381	381	True	0.550819	2.242769	1	0.000000
70	1440	0.998654	1518	1518	True	0.697224	0.962851	1	0.000000
71	1518	0.999367	279	279	True	0.594104	1.457182	1	0.000000
72	279	0.999455	1534	1534	True	0.558811	0.402974	1	0.000000
73	4722	0.999567	13	13	True	0.516164	0.245474	1	0.000000
74	1362	0.999565	381	381	True	0.514666	1.466919	1	0.000000
75	381	0.999432	11454	11454	True	0.594590	1.800945	1	0.000000
76	35883	0.999405	430	430	True	0.587318	0.534060	1	0.000000
77	13	0.999275	198	198	True	0.467606	0.024683	1	0.000000
summary	n_positions	78
summary	n_vocab	248320
