pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999327	2614	2614	True	0.616724	1.313619	1	0.000000
1	3841	0.998926	321	321	True	0.669628	0.996595	1	0.000000
2	13477	0.999262	627	627	True	0.915099	0.313723	1	0.000000
3	37550	0.999115	321	321	True	0.860088	0.322447	1	0.000000
4	33075	0.999111	888	888	True	0.558467	0.531435	1	0.000000
5	888	0.999588	279	279	True	0.542394	0.480869	1	0.000000
6	279	0.999693	15740	15740	True	0.567354	0.568182	1	0.000000
7	15217	0.999635	5388	5388	True	0.902358	0.591562	1	0.000000
8	5388	0.999290	13	13	True	0.635391	1.557168	1	0.000000
9	1345	0.999669	279	279	True	0.548447	2.522507	1	0.000000
10	279	0.999656	15217	15217	True	0.521458	1.224166	1	0.000000
11	12433	0.999402	369	369	True	0.563952	0.941887	1	0.000000
12	21250	0.999501	279	279	True	0.512466	2.916555	1	0.000000
13	34227	0.999488	34129	34129	True	0.475967	0.768607	1	0.000000
14	36165	0.999541	314	314	True	0.573850	0.408729	1	0.000000
15	23497	0.999421	13	13	True	0.504679	0.206133	1	0.000000
16	883	0.999608	279	279	True	0.513905	1.289701	1	0.000000
17	31108	0.999512	4649	4649	True	0.527503	4.440285	1	0.000000
18	4649	0.999520	13	13	True	0.443995	1.291714	1	0.000000
19	5638	0.999424	13	13	True	0.593534	1.223946	1	0.000000
20	11	0.999221	321	321	True	0.533087	0.565033	1	0.000000
21	4098	0.999362	3808	4082	False	0.491880	0.138784	2	0.017393
22	23122	0.999052	11	4082	False	0.564470	0.176575	2	0.046906
23	11	0.999451	321	321	True	0.491644	3.908163	1	0.000000
24	15167	0.999154	3741	3741	True	0.599467	0.312729	1	0.000000
25	47410	0.999081	11	11	True	0.549142	2.326565	1	0.000000
26	11	0.999566	321	321	True	0.511886	3.257796	1	0.000000
27	9966	0.998571	1954	1954	True	0.585575	0.714643	1	0.000000
28	1452	0.999135	795	795	True	0.657632	0.254969	1	0.000000
29	6326	0.999368	11	11	True	0.625915	1.711275	1	0.000000
30	61369	0.999095	11	11	True	0.526474	2.985626	1	0.000000
31	11	0.999561	321	321	True	0.461984	2.678877	1	0.000000
32	321	0.999551	279	279	True	0.466079	0.094048	1	0.000000
33	279	0.999526	491	491	True	0.461805	0.771034	1	0.000000
