pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	784	0.995729	1407	1407	True	1.923379	2.091211	1	0.000000
1	1407	0.996307	476	476	True	1.704055	4.664885	1	0.000000
2	476	0.996404	12143	12143	True	1.026193	0.082539	1	0.000000
3	49416	0.998699	476	476	True	1.079639	2.288965	1	0.000000
4	476	0.998157	17945	17945	True	0.856172	0.302311	1	0.000000
5	17945	0.999138	26	26	True	0.718742	7.328242	1	0.000000
6	26	0.998549	271	271	True	0.910610	0.642654	1	0.000000
7	271	0.997437	2490	2490	True	0.891787	2.516626	1	0.000000
8	2490	0.999247	19892	57833	False	0.747694	0.038839	2	0.343777
9	4356	0.999131	279	279	True	0.549345	2.686886	1	0.000000
10	1204	0.999085	1599	1599	True	0.575449	5.668797	1	0.000000
11	3428	0.998803	1754	1754	True	0.699184	0.340050	1	0.000000
12	1754	0.999459	3299	3299	True	0.487076	0.088924	1	0.000000
13	3299	0.999323	7701	7701	True	0.568181	1.960686	1	0.000000
14	7701	0.999198	303	303	True	0.617274	3.373558	1	0.000000
15	11	0.999084	321	321	True	0.643927	0.414911	1	0.000000
16	29890	0.999321	1105	1105	True	0.692792	1.478172	1	0.000000
17	1105	0.999150	321	321	True	0.728633	0.251007	1	0.000000
18	13	0.999301	198	198	True	0.705429	6.050314	1	0.000000
19	198	0.996819	2490	2490	True	0.926482	3.810047	1	0.000000
20	9299	0.998805	5003	5003	True	0.919436	3.678846	1	0.000000
21	5003	0.999358	1698	1698	True	0.580358	1.046503	1	0.000000
22	3299	0.998845	3079	3079	True	0.767620	0.857492	1	0.000000
23	25146	0.999080	5216	5216	True	0.845618	0.473862	1	0.000000
24	7008	0.998779	25	25	True	0.680024	7.359289	1	0.000000
25	25	0.998802	594	594	True	0.925527	5.390564	1	0.000000
26	594	0.997960	485	485	True	0.926090	8.376686	1	0.000000
27	485	0.996600	8	8	True	0.905577	4.038052	1	0.000000
28	8	0.997986	1411	1411	True	1.016859	5.851873	1	0.000000
29	1411	0.998912	10215	10215	True	0.981955	5.106166	1	0.000000
30	10215	0.997214	3353	3353	True	1.072994	3.170389	1	0.000000
31	3353	0.998279	11	11	True	0.853513	5.578444	1	0.000000
32	11	0.999048	21609	21609	True	0.737468	1.043362	1	0.000000
33	21609	0.998886	29	29	True	0.779072	8.281424	1	0.000000
34	29	0.998857	313	313	True	0.823398	9.529404	1	0.000000
35	313	0.998580	198	198	True	0.873592	10.550919	1	0.000000
36	198	0.997600	262	262	True	1.126993	9.394947	1	0.000000
37	262	0.998836	1042	1042	True	0.989969	0.947878	1	0.000000
38	1042	0.999224	5041	5041	True	0.793675	1.985580	1	0.000000
39	5041	0.999264	3299	3299	True	0.615172	0.208473	1	0.000000
40	14159	0.999220	25	25	True	0.669973	0.423534	1	0.000000
41	283	0.999081	10215	10215	True	0.831108	6.130090	1	0.000000
42	10215	0.998016	476	476	True	0.907652	4.461174	1	0.000000
43	476	0.997622	902	902	True	0.896735	6.821423	1	0.000000
44	902	0.995370	2061	2061	True	1.191303	8.524797	1	0.000000
45	2061	0.998374	198	198	True	0.822752	1.692600	1	0.000000
46	198	0.997759	262	262	True	0.836410	1.511925	1	0.000000
47	262	0.998749	1042	1042	True	0.955415	1.089254	1	0.000000
48	364	0.999393	3299	3299	True	0.800930	1.187805	1	0.000000
49	3299	0.999089	303	303	True	0.665405	6.534294	1	0.000000
50	303	0.999010	1414	1414	True	0.818558	5.356787	1	0.000000
51	1414	0.998927	5121	5121	True	0.736613	2.470755	1	0.000000
52	5121	0.998062	83201	83201	True	1.193806	3.385155	1	0.000000
53	83201	0.997433	363	363	True	1.121959	4.680830	1	0.000000
54	363	0.998683	313	313	True	0.803750	8.755667	1	0.000000
55	313	0.998082	198	198	True	0.955954	9.774750	1	0.000000
56	198	0.998193	285	285	True	0.814930	8.967871	1	0.000000
57	285	0.998660	1042	413	False	0.874879	0.138132	2	0.036299
58	1042	0.999201	3299	3299	True	0.770435	0.939583	1	0.000000
59	1328	0.998276	283	283	True	0.985829	2.465536	1	0.000000
60	283	0.999102	3299	3299	True	0.836207	2.945412	1	0.000000
61	3299	0.999100	2312	2312	True	0.766144	2.541161	1	0.000000
62	15937	0.997591	973	973	True	1.047542	0.857908	1	0.000000
63	37072	0.996826	482	482	True	1.169658	0.796772	1	0.000000
64	21729	0.997670	66	66	True	1.249959	2.401215	1	0.000000
65	66	0.998453	91	91	True	1.232688	1.354631	1	0.000000
66	25	0.998877	1122	1122	True	1.042264	2.866655	1	0.000000
67	1122	0.998258	91	91	True	1.052254	3.639458	1	0.000000
68	91	0.999038	272	272	True	0.917192	1.942490	1	0.000000
69	729	0.998172	66	66	True	1.006486	2.901674	1	0.000000
70	66	0.998992	2011	2011	True	0.871590	6.943120	1	0.000000
71	2011	0.998229	48551	48551	True	0.970252	0.143108	1	0.000000
72	8158	0.998309	63569	63569	True	0.975671	0.523443	1	0.000000
73	63569	0.998161	13039	13039	True	0.908984	1.372337	1	0.000000
74	5822	0.998443	951	951	True	0.889415	3.954924	1	0.000000
75	951	0.997374	89923	89923	True	0.907558	0.304668	1	0.000000
76	89923	0.998489	2061	2061	True	0.744957	3.533848	1	0.000000
77	2061	0.998423	198	198	True	0.841956	6.193468	1	0.000000
78	198	0.998168	285	285	True	0.874509	8.389685	1	0.000000
79	285	0.998837	14159	14159	True	0.678941	0.229485	1	0.000000
80	413	0.998848	1042	1042	True	0.746255	1.000383	1	0.000000
81	1328	0.998733	2011	2011	True	0.909230	1.039181	1	0.000000
82	2011	0.998233	14683	14683	True	0.846611	5.351433	1	0.000000
83	14683	0.997777	363	363	True	1.194669	7.041157	1	0.000000
84	363	0.998451	313	313	True	0.782993	3.728827	1	0.000000
85	313	0.998110	198	198	True	0.810692	3.728552	1	0.000000
86	198	0.997039	309	309	True	0.771255	7.210554	1	0.000000
87	309	0.998908	2962	2962	True	0.715267	4.559942	1	0.000000
88	2962	0.998544	26	26	True	0.964137	4.397749	1	0.000000
89	26	0.998444	198	198	True	0.836211	3.522367	1	0.000000
90	198	0.998472	285	285	True	0.879264	11.347271	1	0.000000
91	285	0.997798	333	333	True	0.949476	7.697052	1	0.000000
92	333	0.998817	198	198	True	0.741045	4.316961	1	0.000000
93	198	0.998530	285	285	True	0.821104	5.980667	1	0.000000
94	285	0.998959	14159	14159	True	0.791036	1.807606	1	0.000000
95	348	0.998039	43365	43365	True	1.023203	5.622295	1	0.000000
96	43365	0.998919	23361	23361	True	0.796426	2.580418	1	0.000000
97	23361	0.997309	4702	4702	True	0.985487	4.294287	1	0.000000
98	4702	0.998363	553	553	True	0.953895	5.646719	1	0.000000
99	553	0.998375	269	269	True	0.863770	4.889626	1	0.000000
100	269	0.997389	17152	17152	True	0.844719	2.381769	1	0.000000
101	17152	0.997518	7	7	True	1.465256	2.374752	1	0.000000
102	7	0.998275	15	15	True	0.771977	4.189863	1	0.000000
103	15	0.997947	8	8	True	1.038401	6.994434	1	0.000000
104	8	0.998695	1373	1373	True	0.776812	3.221270	1	0.000000
105	1373	0.999224	220	220	True	0.822377	5.671389	1	0.000000
106	220	0.997745	16	16	True	0.773554	9.343672	1	0.000000
107	16	0.998285	26	26	True	1.033926	4.969587	1	0.000000
108	26	0.998727	198	198	True	0.793206	8.126493	1	0.000000
109	198	0.997705	262	262	True	1.042520	5.530535	1	0.000000
110	262	0.997691	333	333	True	1.042468	9.773363	1	0.000000
111	333	0.997950	198	198	True	1.039739	3.634340	1	0.000000
112	198	0.997973	262	262	True	0.695367	3.624836	1	0.000000
113	262	0.998949	14159	14159	True	0.802686	0.816160	1	0.000000
114	14159	0.998652	198	198	True	0.901856	3.560781	1	0.000000
115	198	0.998643	92	92	True	0.907727	8.399792	1	0.000000
116	92	0.998438	271	271	True	1.163400	5.529955	1	0.000000
summary	n_positions	117
summary	n_vocab	248320
summary	min_cosine	0.99537
summary	min_cosine_pos	44
summary	mean_cosine	0.998371
summary	median_cosine	0.998489
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[8, 57]
summary	n_argmax_mismatches	2
summary	max_abs_diff	1.923379
summary	max_abs_diff_pos	0
