pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	784	0.998782	1407	1407	True	0.895289	2.091211	1	0.000000
1	1407	0.997575	476	476	True	1.289663	4.664885	1	0.000000
2	476	0.998507	12143	12143	True	0.776673	0.082539	1	0.000000
3	49416	0.998995	476	476	True	0.927092	2.288965	1	0.000000
4	476	0.998483	17945	17945	True	0.774711	0.302311	1	0.000000
5	17945	0.999293	26	26	True	0.733808	7.328242	1	0.000000
6	26	0.998852	271	271	True	0.759427	0.642654	1	0.000000
7	271	0.997412	2490	2490	True	0.855704	2.516626	1	0.000000
8	2490	0.999532	19892	57833	False	0.622359	0.038839	2	0.006212
9	4356	0.998847	279	279	True	0.618754	2.686886	1	0.000000
10	1204	0.999296	1599	1599	True	0.550653	5.668797	1	0.000000
11	3428	0.999123	1754	1754	True	0.718897	0.340050	1	0.000000
12	1754	0.999398	3299	3299	True	0.513054	0.088924	1	0.000000
13	3299	0.999206	7701	7701	True	0.684513	1.960686	1	0.000000
14	7701	0.999288	303	303	True	0.621862	3.373558	1	0.000000
15	11	0.999008	321	321	True	0.728082	0.414911	1	0.000000
16	29890	0.999363	1105	1105	True	0.588075	1.478172	1	0.000000
17	1105	0.999198	321	321	True	0.756894	0.251007	1	0.000000
18	13	0.999312	198	198	True	0.604009	6.050314	1	0.000000
19	198	0.998021	2490	2490	True	0.818883	3.810047	1	0.000000
20	9299	0.998858	5003	5003	True	0.948493	3.678846	1	0.000000
21	5003	0.999255	1698	1698	True	0.600347	1.046503	1	0.000000
22	3299	0.998939	3079	3079	True	0.768672	0.857492	1	0.000000
23	25146	0.999336	5216	5216	True	0.672239	0.473862	1	0.000000
24	7008	0.998937	25	25	True	0.660875	7.359289	1	0.000000
25	25	0.998900	594	594	True	0.785426	5.390564	1	0.000000
26	594	0.998386	485	485	True	0.750049	8.376686	1	0.000000
27	485	0.998295	8	8	True	0.727164	4.038052	1	0.000000
28	8	0.998497	1411	1411	True	0.885967	5.851873	1	0.000000
29	1411	0.999030	10215	10215	True	0.848919	5.106166	1	0.000000
30	10215	0.998219	3353	3353	True	0.784312	3.170389	1	0.000000
31	3353	0.998379	11	11	True	0.830802	5.578444	1	0.000000
32	11	0.999287	21609	21609	True	0.639377	1.043362	1	0.000000
33	21609	0.999117	29	29	True	0.713434	8.281424	1	0.000000
34	29	0.998739	313	313	True	0.931015	9.529404	1	0.000000
35	313	0.998642	198	198	True	0.931504	10.550919	1	0.000000
36	198	0.998443	262	262	True	0.889308	9.394947	1	0.000000
37	262	0.999262	1042	1042	True	0.625528	0.947878	1	0.000000
38	1042	0.999172	5041	5041	True	0.813598	1.985580	1	0.000000
39	5041	0.999256	3299	3299	True	0.707048	0.208473	1	0.000000
40	14159	0.999131	25	25	True	0.738549	0.423534	1	0.000000
41	283	0.999224	10215	10215	True	0.701800	6.130090	1	0.000000
42	10215	0.998263	476	476	True	0.785373	4.461174	1	0.000000
43	476	0.996952	902	902	True	0.908972	6.821423	1	0.000000
44	902	0.997300	2061	2061	True	0.954324	8.524797	1	0.000000
45	2061	0.997306	198	198	True	1.042831	1.692600	1	0.000000
46	198	0.997733	262	262	True	0.648105	1.511925	1	0.000000
47	262	0.999106	1042	1042	True	0.784189	1.089254	1	0.000000
48	364	0.999287	3299	3299	True	0.787381	1.187805	1	0.000000
49	3299	0.998495	303	303	True	0.850435	6.534294	1	0.000000
50	303	0.999054	1414	1414	True	0.823385	5.356787	1	0.000000
51	1414	0.998840	5121	5121	True	0.810789	2.470755	1	0.000000
52	5121	0.997702	83201	83201	True	1.179694	3.385155	1	0.000000
53	83201	0.998044	363	363	True	0.900578	4.680830	1	0.000000
54	363	0.998891	313	313	True	0.806206	8.755667	1	0.000000
55	313	0.998557	198	198	True	0.773603	9.774750	1	0.000000
56	198	0.997977	285	285	True	0.967379	8.967871	1	0.000000
57	285	0.998798	1042	1042	True	0.740804	0.138132	1	0.000000
58	1042	0.999323	3299	3299	True	0.675982	0.939583	1	0.000000
59	1328	0.998759	283	283	True	0.858370	2.465536	1	0.000000
60	283	0.999028	3299	3299	True	0.981986	2.945412	1	0.000000
61	3299	0.999047	2312	2312	True	0.776277	2.541161	1	0.000000
62	15937	0.998240	973	973	True	0.893099	0.857908	1	0.000000
63	37072	0.997772	482	482	True	1.015420	0.796772	1	0.000000
64	21729	0.993047	66	66	True	2.161965	2.401215	1	0.000000
65	66	0.997375	91	91	True	2.209243	1.354631	1	0.000000
66	25	0.998931	1122	1122	True	0.938835	2.866655	1	0.000000
67	1122	0.996905	91	91	True	2.022830	3.639458	1	0.000000
68	91	0.999147	272	272	True	0.797038	1.942490	1	0.000000
69	729	0.998288	66	66	True	1.122982	2.901674	1	0.000000
70	66	0.998890	2011	2011	True	0.866193	6.943120	1	0.000000
71	2011	0.998186	48551	83201	False	0.957711	0.143108	2	0.262104
72	8158	0.998558	63569	63569	True	0.750550	0.523443	1	0.000000
73	63569	0.998456	13039	13039	True	0.879793	1.372337	1	0.000000
74	5822	0.998658	951	951	True	0.804397	3.954924	1	0.000000
75	951	0.998386	89923	89923	True	0.755766	0.304668	1	0.000000
76	89923	0.998710	2061	2061	True	0.725154	3.533848	1	0.000000
77	2061	0.998661	198	198	True	0.697171	6.193468	1	0.000000
78	198	0.998019	285	285	True	0.800436	8.389685	1	0.000000
79	285	0.999040	14159	14159	True	0.628445	0.229485	1	0.000000
80	413	0.998777	1042	1042	True	0.849063	1.000383	1	0.000000
81	1328	0.998991	2011	2011	True	0.681873	1.039181	1	0.000000
82	2011	0.998880	14683	14683	True	0.632577	5.351433	1	0.000000
83	14683	0.998467	363	363	True	0.832888	7.041157	1	0.000000
84	363	0.998964	313	313	True	0.684795	3.728827	1	0.000000
85	313	0.997257	198	198	True	1.090510	3.728552	1	0.000000
86	198	0.996638	309	309	True	0.879832	7.210554	1	0.000000
87	309	0.999078	2962	2962	True	0.642346	4.559942	1	0.000000
88	2962	0.998728	26	26	True	1.019405	4.397749	1	0.000000
89	26	0.998764	198	198	True	0.751784	3.522367	1	0.000000
90	198	0.998248	285	285	True	0.862758	11.347271	1	0.000000
91	285	0.998355	333	333	True	0.805273	7.697052	1	0.000000
92	333	0.998392	198	198	True	0.782983	4.316961	1	0.000000
93	198	0.997869	285	285	True	0.694985	5.980667	1	0.000000
94	285	0.998992	14159	14159	True	0.671819	1.807606	1	0.000000
95	348	0.998714	43365	43365	True	0.721954	5.622295	1	0.000000
96	43365	0.999051	23361	23361	True	0.736700	2.580418	1	0.000000
97	23361	0.997560	4702	4702	True	0.954448	4.294287	1	0.000000
98	4702	0.998322	553	553	True	0.985042	5.646719	1	0.000000
99	553	0.997610	269	269	True	0.945521	4.889626	1	0.000000
100	269	0.997456	17152	17152	True	0.826987	2.381769	1	0.000000
101	17152	0.997995	7	7	True	0.935940	2.374752	1	0.000000
102	7	0.998350	15	15	True	0.757244	4.189863	1	0.000000
103	15	0.998532	8	8	True	0.868070	6.994434	1	0.000000
104	8	0.998960	1373	1373	True	0.753681	3.221270	1	0.000000
105	1373	0.999410	220	220	True	0.674987	5.671389	1	0.000000
106	220	0.997969	16	16	True	0.839796	9.343672	1	0.000000
107	16	0.997733	26	26	True	1.095426	4.969587	1	0.000000
108	26	0.998469	198	198	True	0.914983	8.126493	1	0.000000
109	198	0.998005	262	262	True	0.877835	5.530535	1	0.000000
110	262	0.997590	333	333	True	1.137245	9.773363	1	0.000000
111	333	0.998196	198	198	True	0.747904	3.634340	1	0.000000
112	198	0.998290	262	262	True	0.623950	3.624836	1	0.000000
113	262	0.998986	14159	14159	True	0.836911	0.816160	1	0.000000
114	14159	0.998943	198	198	True	0.786623	3.560781	1	0.000000
115	198	0.998746	92	92	True	0.913125	8.399792	1	0.000000
116	92	0.998871	271	271	True	0.947687	5.529955	1	0.000000
summary	n_positions	117
summary	n_vocab	248320
summary	min_cosine	0.993047
summary	min_cosine_pos	64
summary	mean_cosine	0.998519
summary	median_cosine	0.998728
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[8, 71]
summary	n_argmax_mismatches	2
summary	max_abs_diff	2.209243
summary	max_abs_diff_pos	65
