pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	784	0.998820	1407	1407	True	1.050934	2.316332	1	0.000000
1	1407	0.997358	476	476	True	1.312846	4.721315	1	0.000000
2	476	0.998614	12143	12143	True	0.839503	0.493330	1	0.000000
3	49416	0.998955	476	476	True	0.851056	2.178936	1	0.000000
4	476	0.998512	17945	17945	True	0.720348	0.238644	1	0.000000
5	17945	0.999193	26	26	True	0.741286	7.194341	1	0.000000
6	26	0.998591	271	271	True	0.897189	0.701370	1	0.000000
7	271	0.997532	2490	2490	True	0.885376	2.386562	1	0.000000
8	2490	0.999579	4109	57833	False	0.660146	0.031734	3	0.123335
9	4356	0.998646	279	279	True	0.653227	2.600637	1	0.000000
10	1204	0.999195	1599	1599	True	0.643461	5.650665	1	0.000000
11	3428	0.999378	1754	1754	True	0.549658	0.445749	1	0.000000
12	1754	0.999471	3299	3299	True	0.477600	0.198605	1	0.000000
13	3299	0.999181	7701	7701	True	0.663703	2.003746	1	0.000000
14	7701	0.999296	303	303	True	0.629179	3.197811	1	0.000000
15	11	0.999162	321	321	True	0.615170	0.526619	1	0.000000
16	29890	0.999410	1105	1105	True	0.628520	1.538166	1	0.000000
17	1105	0.999110	321	321	True	0.809878	0.273626	1	0.000000
18	13	0.999109	198	198	True	0.818361	6.050371	1	0.000000
19	198	0.998239	2490	2490	True	0.775146	3.666149	1	0.000000
20	9299	0.998670	5003	5003	True	0.903740	3.835024	1	0.000000
21	5003	0.999363	1698	1698	True	0.585148	0.958576	1	0.000000
22	3299	0.998889	3079	3079	True	0.812369	0.902534	1	0.000000
23	25146	0.999385	5216	5216	True	0.644036	0.546169	1	0.000000
24	7008	0.998869	25	25	True	0.667248	7.298128	1	0.000000
25	25	0.999086	594	594	True	0.747855	5.250811	1	0.000000
26	594	0.998740	485	485	True	0.631488	8.333651	1	0.000000
27	485	0.998173	8	8	True	0.700409	3.920710	1	0.000000
28	8	0.998556	1411	1411	True	0.805839	5.882761	1	0.000000
29	1411	0.999104	10215	10215	True	0.792234	4.869530	1	0.000000
30	10215	0.998259	3353	3353	True	0.781587	3.435493	1	0.000000
31	3353	0.997543	11	11	True	1.014038	5.471354	1	0.000000
32	11	0.999203	21609	21609	True	0.697797	0.989014	1	0.000000
33	21609	0.999079	29	29	True	0.710353	8.446550	1	0.000000
34	29	0.999005	313	313	True	0.749317	9.911774	1	0.000000
35	313	0.998348	198	198	True	0.953360	10.546272	1	0.000000
36	198	0.997722	262	262	True	0.950222	9.164951	1	0.000000
37	262	0.998878	1042	1042	True	0.919937	0.844357	1	0.000000
38	1042	0.999001	5041	5041	True	0.819632	2.246031	1	0.000000
39	5041	0.999196	3299	3299	True	0.714352	0.207853	1	0.000000
40	14159	0.999052	25	25	True	0.675790	0.364384	1	0.000000
41	283	0.999294	10215	10215	True	0.658734	6.081541	1	0.000000
42	10215	0.998384	476	476	True	0.828033	4.459497	1	0.000000
43	476	0.997043	902	902	True	0.930053	7.119526	1	0.000000
44	902	0.997971	2061	2061	True	0.844390	8.367970	1	0.000000
45	2061	0.997857	198	198	True	0.985231	1.539364	1	0.000000
46	198	0.997677	262	262	True	0.698653	1.525597	1	0.000000
47	262	0.999016	1042	1042	True	0.731658	0.891102	1	0.000000
48	364	0.999270	3299	3299	True	0.778918	0.875675	1	0.000000
49	3299	0.998508	303	303	True	0.925745	6.450935	1	0.000000
50	303	0.999069	1414	1414	True	0.848742	5.337259	1	0.000000
51	1414	0.999030	5121	5121	True	0.725846	2.121819	1	0.000000
52	5121	0.998095	83201	83201	True	0.960361	3.414024	1	0.000000
53	83201	0.997943	363	363	True	0.942787	4.738201	1	0.000000
54	363	0.998806	313	313	True	0.827929	8.833122	1	0.000000
55	313	0.998362	198	198	True	0.735533	9.445539	1	0.000000
56	198	0.998128	285	285	True	0.943011	9.036573	1	0.000000
57	285	0.998106	1042	1042	True	1.020496	0.058376	1	0.000000
58	1042	0.999149	3299	3299	True	0.673930	0.923754	1	0.000000
59	1328	0.998588	283	283	True	0.748707	2.760986	1	0.000000
60	283	0.999075	3299	3299	True	0.775813	3.013084	1	0.000000
61	3299	0.998796	2312	2312	True	0.748074	2.308935	1	0.000000
62	15937	0.998158	973	973	True	0.757648	0.739931	1	0.000000
63	37072	0.997984	482	482	True	0.934080	0.669659	1	0.000000
64	21729	0.995296	66	66	True	1.730262	2.452686	1	0.000000
65	66	0.998123	91	91	True	1.418000	1.807247	1	0.000000
66	25	0.999011	1122	1122	True	0.904815	2.911877	1	0.000000
67	1122	0.998004	91	91	True	1.382039	3.888290	1	0.000000
68	91	0.999222	272	272	True	0.967557	2.117487	1	0.000000
69	729	0.998387	66	66	True	0.917977	3.051636	1	0.000000
70	66	0.999110	2011	2011	True	0.901001	6.906322	1	0.000000
71	2011	0.998499	48551	83201	False	0.826612	0.021311	2	0.262104
72	8158	0.998638	63569	63569	True	0.774018	0.647526	1	0.000000
73	63569	0.998267	13039	13039	True	0.746187	1.386124	1	0.000000
74	5822	0.998555	951	951	True	0.804093	4.049896	1	0.000000
75	951	0.997883	3773	89923	False	0.873608	0.073910	2	0.266382
76	89923	0.998465	2061	2061	True	0.734204	3.560711	1	0.000000
77	2061	0.998258	198	198	True	0.835534	6.033527	1	0.000000
78	198	0.997824	285	285	True	0.789165	8.328966	1	0.000000
79	285	0.998876	14159	14159	True	0.842000	0.277740	1	0.000000
80	413	0.998964	1042	1042	True	0.684198	0.885271	1	0.000000
81	1328	0.998987	2011	2011	True	0.650871	0.820820	1	0.000000
82	2011	0.998594	14683	14683	True	0.826905	5.327450	1	0.000000
83	14683	0.998800	363	363	True	0.680476	6.652405	1	0.000000
84	363	0.998914	313	313	True	0.648480	3.729475	1	0.000000
85	313	0.997584	198	198	True	0.847988	3.755123	1	0.000000
86	198	0.997897	309	309	True	0.791899	7.303959	1	0.000000
87	309	0.999272	2962	2962	True	0.582936	4.177427	1	0.000000
88	2962	0.998755	26	26	True	0.983944	3.977293	1	0.000000
89	26	0.998664	198	198	True	0.740904	3.622787	1	0.000000
90	198	0.998835	285	285	True	0.651331	11.000984	1	0.000000
91	285	0.998270	333	333	True	0.762211	7.766907	1	0.000000
92	333	0.998196	198	198	True	0.773322	4.352627	1	0.000000
93	198	0.998366	285	285	True	0.672726	5.719929	1	0.000000
94	285	0.998842	14159	14159	True	0.754866	1.904949	1	0.000000
95	348	0.998727	43365	43365	True	0.778101	5.497349	1	0.000000
96	43365	0.999133	23361	23361	True	0.728302	2.344477	1	0.000000
97	23361	0.998026	4702	4702	True	0.890501	4.378117	1	0.000000
98	4702	0.998336	553	553	True	0.795055	5.528519	1	0.000000
99	553	0.997826	269	269	True	0.967183	4.532701	1	0.000000
100	269	0.997741	17152	17152	True	0.846604	2.402039	1	0.000000
101	17152	0.998020	7	7	True	0.774007	2.283770	1	0.000000
102	7	0.998590	15	15	True	0.774278	4.157564	1	0.000000
103	15	0.998530	8	8	True	1.011879	6.332626	1	0.000000
104	8	0.998793	1373	1373	True	0.861639	3.451521	1	0.000000
105	1373	0.999209	220	220	True	0.916031	6.316499	1	0.000000
106	220	0.998462	16	16	True	0.738220	9.370735	1	0.000000
107	16	0.998936	26	26	True	0.728299	5.113386	1	0.000000
108	26	0.998792	198	198	True	0.744529	8.239105	1	0.000000
