pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	21626	0.995997	9268	25	False	1.495392	0.170220	2	0.198638
1	1830	0.998825	271	271	True	0.720364	0.083836	1	0.000000
2	11	0.999352	321	321	True	0.496900	0.312815	1	0.000000
3	1936	0.998897	220	220	True	0.650955	1.603956	1	0.000000
4	220	0.998527	16	16	True	0.447440	0.715017	1	0.000000
5	18	0.999047	11	11	True	0.653397	0.561340	1	0.000000
6	22	0.999192	11	11	True	0.575959	0.499027	1	0.000000
7	25	0.999392	198	198	True	0.594083	1.124000	1	0.000000
8	198	0.998042	12	12	True	0.740743	0.291454	1	0.000000
9	16	0.999073	13	13	True	0.699810	1.909843	1	0.000000
10	13	0.999319	197	197	True	0.611810	0.116533	1	0.000000
11	23291	0.998679	258	258	True	0.714881	0.084108	1	0.000000
12	2491	0.999381	25	25	True	0.510031	0.134953	1	0.000000
13	380	0.998847	16	16	True	0.599939	0.467635	1	0.000000
14	21	0.999188	87	87	True	0.776000	0.251889	1	0.000000
15	87	0.997783	16	16	True	0.970851	1.447792	1	0.000000
16	17	0.998975	15	15	True	0.676795	0.290529	1	0.000000
17	15	0.999350	12	12	True	0.652418	0.113167	1	0.000000
18	25	0.999312	220	220	True	0.587955	0.783861	1	0.000000
19	220	0.999277	16	16	True	0.474522	0.827623	1	0.000000
20	16	0.999551	15	15	True	0.575963	0.598893	1	0.000000
21	11	0.999645	15	15	True	0.608323	0.648764	1	0.000000
22	17	0.999291	15	15	True	0.485734	0.433636	1	0.000000
23	19	0.999656	15	15	True	0.460361	0.463583	1	0.000000
24	15	0.999771	198	198	True	0.485701	0.756103	1	0.000000
25	7896	0.999626	198	198	True	0.537473	1.394966	1	0.000000
26	318	0.998962	16	16	True	0.555670	1.081573	1	0.000000
27	265	0.998983	51587	51587	True	0.609652	0.999224	1	0.000000
28	1310	0.999236	470	470	True	0.729221	0.032345	1	0.000000
29	506	0.999481	220	220	True	0.591898	1.819609	1	0.000000
30	220	0.995828	16	16	True	0.635271	0.716124	1	0.000000
31	20	0.999473	15	15	True	0.581059	1.672125	1	0.000000
32	15	0.999522	15	15	True	0.606563	1.132090	1	0.000000
33	15	0.999542	7896	7896	True	0.629724	0.046938	1	0.000000
34	8	0.999212	198	198	True	0.512482	3.587730	1	0.000000
35	198	0.998712	17	17	True	0.608879	4.863402	1	0.000000
36	17	0.999345	13	13	True	0.561772	7.654631	1	0.000000
37	13	0.999761	23291	23291	True	0.502663	2.594192	1	0.000000
38	5797	0.999253	382	382	True	0.702676	2.105308	1	0.000000
39	382	0.999435	380	380	True	0.876663	0.987608	1	0.000000
40	220	0.997972	16	16	True	0.979360	0.621408	1	0.000000
41	21	0.998069	15	15	True	1.120761	0.423973	1	0.000000
42	13	0.998846	20	15	False	0.722947	0.024481	2	0.033148
43	19	0.999254	3693	3693	True	0.808800	0.058773	1	0.000000
44	9186	0.999234	25	25	True	0.842595	2.665213	1	0.000000
45	25	0.999569	220	220	True	0.517628	5.466770	1	0.000000
46	220	0.998564	16	16	True	0.443069	1.113022	1	0.000000
47	18	0.999526	11	11	True	0.486823	1.058367	1	0.000000
48	11	0.997030	15	15	True	0.678369	0.279440	1	0.000000
49	23	0.999385	15	15	True	0.526631	0.722340	1	0.000000
