pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.995365	6972	6972	True	1.345827	0.192072	1	0.000000
1	91	0.961309	16	16	True	4.114042	0.421884	1	0.000000
2	316	0.973410	91	3330	False	3.891595	0.239050	2	0.861171
3	4747	0.981265	91	91	True	2.349122	0.538010	1	0.000000
4	91	0.976518	16	29	False	2.365325	0.234961	4	1.671467
5	29	0.985978	198	198	True	2.091582	0.489189	1	0.000000
6	8678	0.996164	91	59348	False	1.343143	0.945776	3	0.074310
7	198	0.992285	27	27	True	1.487981	0.914984	1	0.000000
8	2523	0.998624	513	513	True	0.804032	3.113283	1	0.000000
9	513	0.999274	264	264	True	0.805423	0.024513	1	0.000000
10	264	0.999508	10631	10631	True	0.582480	1.883479	1	0.000000
11	61446	0.998930	11	11	True	0.816285	0.445267	1	0.000000
12	17313	0.999142	13	13	True	0.810030	0.194555	1	0.000000
13	852	0.998558	628	628	True	0.695451	0.169619	1	0.000000
14	10926	0.998341	279	279	True	0.778377	0.585375	1	0.000000
15	303	0.999050	264	264	True	0.698562	0.574234	1	0.000000
16	13983	0.999255	1414	1414	True	0.671580	2.384502	1	0.000000
17	6163	0.998741	13	13	True	0.740492	0.640884	1	0.000000
18	15294	0.993874	316	316	True	1.199564	2.853352	1	0.000000
19	91	0.979056	316	316	True	1.985579	4.098257	1	0.000000
20	316	0.990532	4747	6018	False	2.002796	0.755405	2	0.276590
21	6018	0.989973	91	91	True	1.635145	5.816034	1	0.000000
22	91	0.989926	29	29	True	1.743064	3.243656	1	0.000000
23	29	0.993353	198	198	True	1.371390	1.467293	1	0.000000
24	198	0.989132	27	27	True	1.877036	0.118130	1	0.000000
25	27	0.983612	316	316	True	1.941107	1.465914	1	0.000000
26	91	0.992084	316	316	True	1.284849	1.137238	1	0.000000
27	316	0.995381	4747	4747	True	1.154640	6.382648	1	0.000000
28	4747	0.993248	91	91	True	1.182856	5.985881	1	0.000000
29	91	0.990944	29	29	True	1.558221	4.082533	1	0.000000
30	29	0.994384	8678	8678	True	1.195923	1.168810	1	0.000000
31	846	0.996348	198	198	True	1.246419	4.763466	1	0.000000
32	198	0.998490	27	3710	False	0.686473	0.023788	2	0.081791
33	4888	0.996744	4099	4099	True	0.908699	0.333936	1	0.000000
34	19666	0.998309	67	67	True	0.781730	2.348824	1	0.000000
35	67	0.997921	1336	1336	True	1.208552	4.653120	1	0.000000
36	1336	0.999333	25844	25844	True	0.876381	0.309515	1	0.000000
37	25844	0.998984	369	369	True	0.963211	0.931379	1	0.000000
38	47965	0.999523	1040	1040	True	0.546880	2.954643	1	0.000000
39	1040	0.999683	15530	15530	True	0.564491	0.193401	1	0.000000
40	29977	0.999544	42572	42572	True	0.660949	3.610588	1	0.000000
41	42572	0.999576	73639	73639	True	0.700090	2.421923	1	0.000000
42	73639	0.999364	13	13	True	0.616086	0.743259	1	0.000000
43	321	0.999561	369	369	True	0.681663	0.067595	1	0.000000
44	682	0.999306	264	264	True	0.576143	1.370365	1	0.000000
45	264	0.999534	3619	3619	True	0.566828	0.277053	1	0.000000
46	19177	0.999056	786	786	True	0.822303	2.235857	1	0.000000
47	14058	0.999489	13	13	True	0.627035	0.265825	1	0.000000
48	383	0.999372	279	279	True	0.591558	0.022619	1	0.000000
49	1844	0.999082	314	314	True	0.512991	0.434143	1	0.000000
50	13	0.999413	3437	3437	True	0.543828	0.835850	1	0.000000
51	2091	0.999480	411	411	True	0.524316	0.073427	1	0.000000
52	424	0.999749	264	5902	False	0.479782	0.029835	2	0.010218
53	44531	0.999124	30	30	True	0.611113	3.087418	1	0.000000
54	11	0.999097	466	466	True	0.674896	0.269670	1	0.000000
55	321	0.999207	1092	1092	True	0.496598	1.099747	1	0.000000
56	1092	0.999388	1220	1220	True	0.529071	1.330553	1	0.000000
57	1220	0.999588	353	353	True	0.525609	4.455872	1	0.000000
58	353	0.999251	635	635	True	0.695497	6.351120	1	0.000000
59	2222	0.999060	30	30	True	0.540394	1.952440	1	0.000000
60	883	0.998966	424	424	True	0.743507	0.104290	1	0.000000
61	1204	0.999261	353	353	True	0.565255	1.039253	1	0.000000
62	353	0.999235	1044	1044	True	0.634058	0.110699	1	0.000000
63	5227	0.999246	424	424	True	0.698507	1.770636	1	0.000000
64	424	0.999082	30	30	True	0.965987	2.750935	1	0.000000
