name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	4	1024x1x1x1	4096	pos4/model.input_embed.f32	91c6f7d1de8e6d3f264160fa5da502086bf667fc541cc1133a6382f5895bd1ca
attn_norm-0	0	4	1024x1x1x1	4096	pos4/attn_norm-0.f32	4264c424d689a47e39c7076331efc8ab68995d379c9c0eb3342c1ee294111cb3
conv_output_silu-0	0	4	6144x1x1x1	24576	pos4/conv_output_silu-0.f32	6d0bdb8456a15259c6b42feaeae169490923ef5f1e8c8a36dcdcaa09d599d4c1
q_conv_predelta-0	0	4	128x16x1x1	8192	pos4/q_conv_predelta-0.f32	1422483001a031fb905b527fa95446d89610499771570d02562f6cb3438fbef0
k_conv_predelta-0	0	4	128x16x1x1	8192	pos4/k_conv_predelta-0.f32	7ff4d3bc092b183284377dd861b6af4c59c4e782bd26a330e1c8fc5cf749353b
v_conv_predelta-0	0	4	128x16x1x1	8192	pos4/v_conv_predelta-0.f32	c2b9dbe922f3724082758cb76e2ae62eba49c5d130a1947d20c5e64daaddd6ac
a_softplus-0	0	4	16x1x1x1	64	pos4/a_softplus-0.f32	a1220648000ec9350dbf88580edca4ec59ed6eddc8e18f9f6357ebd60bde23be
gate-0	0	4	16x1x1x1	64	pos4/gate-0.f32	ef5360901e41202848246b190f047e533b84861bfd13199d4cd10da6184fb6e9
beta_sigmoid-0	0	4	1x16x1x1	64	pos4/beta_sigmoid-0.f32	ef752fe3d0fd6b9ced48bce23ce5409d85c67b76db2a538b157deb57fd5b4eab
state_predelta-0	0	4	128x128x16x1	1048576	pos4/state_predelta-0.f32	fd89c7ff7b4723ee007ae781586d59a802f547f5547e1def66ce3741caa8de5f
new_state-0	0	4	128x128x16x1	1048576	pos4/new_state-0.f32	57009b74b4840bfa83e85107ba0f929511ddee18ffcb17641e3052e714a5ce75
attn_output-0	0	4	128x16x1x1	8192	pos4/attn_output-0.f32	4d98f94b8ce45b17221b1858020b25bd04a654110dec4f953f1d0fbeba703206
z-0	0	4	2048x1x1x1	8192	pos4/z-0.f32	6e2f07e8bf5dea091ed302cb53e70e3cdf89edece498098e83d67ff3fbf0d60b
final_output-0	0	4	2048x1x1x1	8192	pos4/final_output-0.f32	5a11fc4a5b991e5748158087eaa61410c39c803c51fb7524c360ebcf7f1db6e5
linear_attn_out-0	0	4	1024x1x1x1	4096	pos4/linear_attn_out-0.f32	07747627c8844b6f0079e3213beb3d00f9e0988edf3f27469cfc0d4fa54a8188
attn_residual-0	0	4	1024x1x1x1	4096	pos4/attn_residual-0.f32	27bc72f16eed32f35a9f1f021a85c8d356d91810feeb3ae17e0d3f2a733aa222
attn_post_norm-0	0	4	1024x1x1x1	4096	pos4/attn_post_norm-0.f32	298ff21ad4c123db524004fdb4e5a1ae1462131026a629a7c870508bc2726499
ffn_out-0	0	4	1024x1x1x1	4096	pos4/ffn_out-0.f32	1320fa6f7085eaafa1bf3c62c83a9c1a9d58ee18be39ac37f7b0f00cdd60ce9a
