name	layer	pos	n	file	sha256
model.input_embed	-1	0	1024	pos0/model.input_embed.f32	0f2822b1d8f095dda46d1b1c56382d69fe0b941be4f54f9619610de1b68f5800
attn_norm	0	0	1024	pos0/attn_norm-0.f32	7fddf79018f18b6a8efe4d4305b8c552d45f257d584fe7cabb71ba8944bbe098
conv_output_silu	0	0	6144	pos0/conv_output_silu-0.f32	f94d409979483cd92264af6619eb79dd63a8e6fc95012c54d0b57cc975120855
q_conv_predelta	0	0	2048	pos0/q_conv_predelta-0.f32	38dccc6b258b2ea0ce771561fe7b87716a7916823675e460b5ca9c0a081f9762
k_conv_predelta	0	0	2048	pos0/k_conv_predelta-0.f32	c90c107a0f68e5b6ed28a53c1c993a9275ef443e45039df7c0e95db3069b122d
v_conv_predelta	0	0	2048	pos0/v_conv_predelta-0.f32	e2f7f88d15ec93804f7baa4b6232c2a3870c24797d7906b30d944fda731baa51
a_softplus	0	0	16	pos0/a_softplus-0.f32	2229796881643deb29ba25c707f9eef4c0cc2f3d2652cc61567979a4d556856f
gate	0	0	16	pos0/gate-0.f32	440ee61e64433b597dc5f8341fda56c6463aa70b726d782c0cfeb14fd802fe9d
beta_sigmoid	0	0	16	pos0/beta_sigmoid-0.f32	95da28504656615d2cbf38d9eb7646cc50ab0d9f950e69dc80566e23348378b9
z	0	0	2048	pos0/z-0.f32	7b8a0a135f73b66d317c02fa58bce31a96c81d454628fd22686aeb0ec5ee29ed
state_predelta	0	0	262144	pos0/state_predelta-0.f32	30e14955ebf1352266dc2ff8067e68104607e750abb9d3b36582b8af909fcb58
attn_output	0	0	2048	pos0/attn_output-0.f32	6e6b054456bd7eb244b68232781d79336cc17de556f05a8e235577e36ea1461d
new_state	0	0	262144	pos0/new_state-0.f32	478865dd67e284841b39980855198097f8000c727c894cf98e2d7568951cb91d
final_output	0	0	2048	pos0/final_output-0.f32	a55fd5400c61bee3576bb1a7c35c5f2cecfb2b159ff0f65bef89fc18c3e30757
linear_attn_out	0	0	1024	pos0/linear_attn_out-0.f32	03a4f1ac33b8032c68cce279305e82ca801eef975052a99075b6b610e7c33869
attn_residual	0	0	1024	pos0/attn_residual-0.f32	9e41964a625afbc37bbd1497741ba6632729edf1a7e842fe83e2573df166a7dd
attn_post_norm	0	0	1024	pos0/attn_post_norm-0.f32	b9bd0283757db67596b83725d539453acbfd301c3c9254dd2e5fee8425a22c33
ffn_out	0	0	1024	pos0/ffn_out-0.f32	2b9aafa7d6b111e3fb724b8e31f8236253e6da2b468b2e9eb20142d30b04ed71
l_out	0	0	1024	pos0/l_out-0.f32	ed40c1edefb72f2d24da76ef73e090825b4703c5825bb598d4d1675b7e217bc5
attn_norm	1	0	1024	pos0/attn_norm-1.f32	f6460f66f59fe87c62dfea5d954ea5ac88e91e9b56089775b842b1245125c4c0
conv_output_silu	1	0	6144	pos0/conv_output_silu-1.f32	c1f0778908c0e2816cbe7b5629cedf05301c8581f537fa9337cff1c991481124
q_conv_predelta	1	0	2048	pos0/q_conv_predelta-1.f32	3329955115b85efa579ac10022b4d2bc0348acaf940e6bffa94c02caa54f481c
k_conv_predelta	1	0	2048	pos0/k_conv_predelta-1.f32	2ee052ba444c307275ffc211854b58e3dc9927192448cc4e0abc7796ebdfbb6b
v_conv_predelta	1	0	2048	pos0/v_conv_predelta-1.f32	00ad41df2a356fa37d72b2be967e201ecb4347d447495b5e70058e420ec9d119
a_softplus	1	0	16	pos0/a_softplus-1.f32	bef4d5c17935d6943bbfe3ea4e8dd8b7612d9b645beadb1d5b068ab4e7bad615
gate	1	0	16	pos0/gate-1.f32	f48a1e65d4a40534ef1d3ab08cefc484025ad41ecb81ee206fa05d6e44ce0149
beta_sigmoid	1	0	16	pos0/beta_sigmoid-1.f32	219f0d7c88414ac447fa6a3302f030cb217ed485af7efeac95c6fd2c5c9e4799
z	1	0	2048	pos0/z-1.f32	1a09c63fe64e581b53224354913af179148d81900a9ab0515c0c038710cf76e5
