label	pos	layer	type	output	weights	qtypes	engine	rel_l2_vs_ref	cos_vs_ref
p4	0	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	llama	0.005586	0.999984
p4	0	0	linear_gated_deltanet	z-0	attn_gate.weight	Q4_K	apr	0.005586	0.999984
p4	0	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	llama	0.038323	0.999266
p4	0	0	linear_gated_deltanet	linear_attn_out-0	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	llama	0.027673	0.999626
p4	0	0	linear_gated_deltanet	ffn_out-0	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q6_K	apr	0.007697	0.999970
p4	0	3	full_attention	attn_output-3	attn_output.weight	Q4_K	llama	0.033233	0.999452
p4	0	3	full_attention	attn_output-3	attn_output.weight	Q4_K	apr	0.037995	0.999279
p4	0	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.031686	0.999510
p4	0	3	full_attention	ffn_out-3	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.032559	0.999473
p4	0	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	llama	0.009764	0.999953
p4	0	9	linear_gated_deltanet	z-9	attn_gate.weight	Q4_K	apr	0.009782	0.999959
p4	0	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	llama	0.016736	0.999860
p4	0	9	linear_gated_deltanet	linear_attn_out-9	ssm_out.weight	Q5_K	apr	0.000000	1.000000
p4	0	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.027770	0.999615
p4	0	9	linear_gated_deltanet	ffn_out-9	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.028224	0.999602
p4	0	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	llama	0.006307	0.999980
p4	0	12	linear_gated_deltanet	z-12	attn_gate.weight	Q4_K	apr	0.007019	0.999977
p4	0	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	llama	0.030400	0.999538
p4	0	12	linear_gated_deltanet	linear_attn_out-12	ssm_out.weight	Q5_K	apr	0.000001	1.000000
p4	0	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	llama	0.017432	0.999848
p4	0	12	linear_gated_deltanet	ffn_out-12	ffn_gate.weight,ffn_up.weight,ffn_down.weight	Q4_K,Q4_K,Q4_K	apr	0.017052	0.999855
p4	0	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	llama	0.011056	0.999941
p4	0	16	linear_gated_deltanet	z-16	attn_gate.weight	Q4_K	apr	0.010513	0.999945
p4	0	16	linear_gated_deltanet	linear_attn_out-16	ssm_out.weight	Q5_K	llama	0.039933	0.999208
