label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.037412	0.037412	0.999300	linear_attn_out-0	0.038959	0.999241
p4	0	l_out-0	0	linear_gated_deltanet	ffn	0.037412	0.036982	-0.000430	0.999320	ffn_out-0	0.043184	0.999071
p4	0	attn_residual-1	1	linear_gated_deltanet	mixer	0.036982	0.034555	-0.002427	0.999403	linear_attn_out-1	0.039215	0.999355
p4	0	l_out-1	1	linear_gated_deltanet	ffn	0.034555	0.038121	0.003566	0.999278	ffn_out-1	0.059525	0.998228
p4	0	attn_residual-2	2	linear_gated_deltanet	mixer	0.038121	0.033594	-0.004527	0.999436	linear_attn_out-2	0.037352	0.999324
p4	0	l_out-2	2	linear_gated_deltanet	ffn	0.033594	0.032841	-0.000753	0.999473	ffn_out-2	0.068676	0.997659
p4	0	attn_residual-3	3	full_attention	mixer	0.032841	0.036217	0.003376	0.999352	attn_output-3	0.071541	0.997468
p4	0	l_out-3	3	full_attention	ffn	0.036217	0.031249	-0.004968	0.999517	ffn_out-3	0.032008	0.999501
p4	0	attn_residual-4	4	linear_gated_deltanet	mixer	0.031249	0.030776	-0.000473	0.999529	linear_attn_out-4	0.050923	0.998719
p4	0	l_out-4	4	linear_gated_deltanet	ffn	0.030776	0.028555	-0.002221	0.999597	ffn_out-4	0.059293	0.998241
p4	0	attn_residual-5	5	linear_gated_deltanet	mixer	0.028555	0.028393	-0.000162	0.999600	linear_attn_out-5	0.056424	0.998407
p4	0	l_out-5	5	linear_gated_deltanet	ffn	0.028393	0.026574	-0.001819	0.999650	ffn_out-5	0.048148	0.998846
p4	0	attn_residual-6	6	linear_gated_deltanet	mixer	0.026574	0.017464	-0.009110	0.999848	linear_attn_out-6	0.020290	0.999795
p4	0	l_out-6	6	linear_gated_deltanet	ffn	0.017464	0.016967	-0.000497	0.999856	ffn_out-6	0.042096	0.999114
p4	0	attn_residual-7	7	full_attention	mixer	0.016967	0.029954	0.012987	0.999551	attn_output-7	0.022060	0.999758
p4	0	l_out-7	7	full_attention	ffn	0.029954	0.033566	0.003612	0.999437	ffn_out-7	0.034762	0.999400
p4	0	attn_residual-8	8	linear_gated_deltanet	mixer	0.033566	0.032453	-0.001113	0.999473	linear_attn_out-8	0.093568	0.995634
p4	0	l_out-8	8	linear_gated_deltanet	ffn	0.032453	0.030207	-0.002246	0.999544	ffn_out-8	0.058849	0.998339
p4	0	attn_residual-9	9	linear_gated_deltanet	mixer	0.030207	0.030009	-0.000198	0.999550	linear_attn_out-9	0.054758	0.998818
p4	0	l_out-9	9	linear_gated_deltanet	ffn	0.030009	0.028705	-0.001304	0.999588	ffn_out-9	0.065053	0.997884
p4	0	attn_residual-10	10	linear_gated_deltanet	mixer	0.028705	0.026217	-0.002488	0.999656	linear_attn_out-10	0.071713	0.997451
p4	0	l_out-10	10	linear_gated_deltanet	ffn	0.026217	0.024368	-0.001849	0.999703	ffn_out-10	0.045860	0.998953
p4	0	attn_residual-11	11	full_attention	mixer	0.024368	0.044492	0.020124	0.999031	attn_output-11	0.032632	0.999547
p4	0	l_out-11	11	full_attention	ffn	0.044492	0.053902	0.009410	0.998556	ffn_out-11	0.038426	0.999283
p4	0	attn_residual-12	12	linear_gated_deltanet	mixer	0.053902	0.057165	0.003263	0.998372	linear_attn_out-12	0.057897	0.998338
p4	0	l_out-12	12	linear_gated_deltanet	ffn	0.057165	0.061910	0.004745	0.998090	ffn_out-12	0.075468	0.997151
p4	0	attn_residual-13	13	linear_gated_deltanet	mixer	0.061910	0.062549	0.000639	0.998050	linear_attn_out-13	0.074379	0.997251
p4	0	l_out-13	13	linear_gated_deltanet	ffn	0.062549	0.059386	-0.003163	0.998239	ffn_out-13	0.076742	0.997061
p4	0	attn_residual-14	14	linear_gated_deltanet	mixer	0.059386	0.058963	-0.000423	0.998266	linear_attn_out-14	0.072329	0.997421
p4	0	l_out-14	14	linear_gated_deltanet	ffn	0.058963	0.019758	-0.039205	0.999817	ffn_out-14	0.020322	0.999805
p4	0	attn_residual-15	15	full_attention	mixer	0.019758	0.104796	0.085038	0.994619	attn_output-15	0.009914	0.999951
p4	0	l_out-15	15	full_attention	ffn	0.104796	0.101587	-0.003209	0.995173	ffn_out-15	0.166615	0.986696
p4	0	attn_residual-16	16	linear_gated_deltanet	mixer	0.101587	0.101504	-0.000083	0.995188	linear_attn_out-16	0.169259	0.987592
p4	0	l_out-16	16	linear_gated_deltanet	ffn	0.101504	0.103236	0.001732	0.995019	ffn_out-16	0.168738	0.986238
p4	0	attn_residual-17	17	linear_gated_deltanet	mixer	0.103236	0.103251	0.000015	0.995008	linear_attn_out-17	0.156362	0.988563
p4	0	l_out-17	17	linear_gated_deltanet	ffn	0.103251	0.105648	0.002397	0.994768	ffn_out-17	0.170747	0.985766
p4	0	attn_residual-18	18	linear_gated_deltanet	mixer	0.105648	0.091996	-0.013652	0.996382	linear_attn_out-18	0.078451	0.998328
p4	0	l_out-18	18	linear_gated_deltanet	ffn	0.091996	0.083935	-0.008061	0.996967	ffn_out-18	0.094656	0.995559
p4	0	attn_residual-19	19	full_attention	mixer	0.083935	0.095169	0.011234	0.995981	attn_output-19	0.065046	0.997912
p4	0	l_out-19	19	full_attention	ffn	0.095169	0.099657	0.004488	0.995542	ffn_out-19	0.137724	0.990478
p4	0	attn_residual-20	20	linear_gated_deltanet	mixer	0.099657	0.102496	0.002839	0.995105	linear_attn_out-20	0.097851	0.995201
p4	0	l_out-20	20	linear_gated_deltanet	ffn	0.102496	0.109328	0.006832	0.994310	ffn_out-20	0.152651	0.988318
p4	0	attn_residual-21	21	linear_gated_deltanet	mixer	0.109328	0.120958	0.011630	0.992991	linear_attn_out-21	0.162536	0.987496
p4	0	l_out-21	21	linear_gated_deltanet	ffn	0.120958	0.129790	0.008832	0.991821	ffn_out-21	0.190270	0.981751
p4	0	attn_residual-22	22	linear_gated_deltanet	mixer	0.129790	0.122555	-0.007235	0.992609	linear_attn_out-22	0.165215	0.986295
p4	0	l_out-22	22	linear_gated_deltanet	ffn	0.122555	0.121558	-0.000997	0.992794	ffn_out-22	0.154749	0.988586
p4	0	attn_residual-23	23	full_attention	mixer	0.121558	0.102083	-0.019475	0.994959	attn_output-23	0.061673	0.998183
p4	0	l_out-23	23	full_attention	ffn	0.102083	0.110754	0.008671	0.994118	ffn_out-23	0.117434	0.993662
p4	0	result_norm	-1	-	final_norm	0.110754	0.147827	0.037073	0.989044	-	-	-
p4	1	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.039963	0.039963	0.999204	linear_attn_out-0	0.041934	0.999122
p4	1	l_out-0	0	linear_gated_deltanet	ffn	0.039963	0.053324	0.013361	0.998590	ffn_out-0	0.063411	0.997988
p4	1	attn_residual-1	1	linear_gated_deltanet	mixer	0.053324	0.053683	0.000359	0.998566	linear_attn_out-1	0.064018	0.998125
p4	1	l_out-1	1	linear_gated_deltanet	ffn	0.053683	0.064590	0.010907	0.997977	ffn_out-1	0.076211	0.997183
p4	1	attn_residual-2	2	linear_gated_deltanet	mixer	0.064590	0.062996	-0.001594	0.998023	linear_attn_out-2	0.062945	0.998145
