name	op	type	ne_at_first_sight
model.input_embed	GET_ROWS	f32	1024x1x1x1
norm-0	RMS_NORM	f32	1024x1x1x1
attn_norm-0	MUL	f32	1024x1x1x1
cache_r_l0 (reshaped)	RESHAPE	f32	18432x1x1x1
cache_r_l0 (reshaped) (view)	VIEW	f32	18432x1x1x1
cache_r_l0 (reshaped) (view) (view)	SCALE	f32	18432x1x1x1
 (view)	VIEW	i32	1x1x1x1
conv_states-0	GET_ROWS	f32	18432x1x1x1
node_9	GET_ROWS	f32	18432x0x1x1
cache_r_l0 (view)	VIEW	f32	18432x0x1x1
cache_r_l0 (view) (copy of )	CPY	f32	18432x0x1x1
conv_states_reshaped-0	RESHAPE	f32	3x6144x1x1
node_13	MUL_MAT	f32	6144x1x1x1
linear_attn_qkv_mixed-0	RESHAPE	f32	6144x1x1x1
qkv_mixed_transposed-0	TRANSPOSE	f32	1x6144x1x1
conv_input-0	CONCAT	f32	4x6144x1x1
conv_state_last-0	VIEW	f32	3x6144x1x1
conv_state_update-0	VIEW	f32	18432x1x1x1
conv_state_update-0 (copy of conv_state_last-0)	CPY	f32	18432x1x1x1
cache_s_l0 (reshaped)	RESHAPE	f32	262144x1x1x1
cache_s_l0 (reshaped) (view)	VIEW	f32	262144x1x1x1
cache_s_l0 (reshaped) (view) (view)	SCALE	f32	262144x1x1x1
node_23	GET_ROWS	f32	262144x1x1x1
node_24	GET_ROWS	f32	262144x0x1x1
cache_s_l0 (view)	VIEW	f32	262144x0x1x1
cache_s_l0 (view) (copy of )	CPY	f32	262144x0x1x1
conv_output_raw-0	SSM_CONV	f32	6144x1x1x1
conv_output_silu-0	SILU	f32	6144x1x1x1
q_conv-0	VIEW	f32	128x16x1x1
node_30	RMS_NORM	f32	128x16x1x1
q_conv_predelta-0	SCALE	f32	128x16x1x1
k_conv-0	VIEW	f32	128x16x1x1
node_33	RMS_NORM	f32	128x16x1x1
k_conv_predelta-0	SCALE	f32	128x16x1x1
v_conv_predelta-0	VIEW	f32	128x16x1x1
node_36	MUL_MAT	f32	16x1x1x1
alpha-0	RESHAPE	f32	16x1x1x1
node_38	ADD	f32	16x1x1x1
a_softplus-0	SOFTPLUS	f32	16x1x1x1
gate-0	MUL	f32	16x1x1x1
gate-0 (reshaped)	RESHAPE	f32	1x16x1x1
node_42	MUL_MAT	f32	16x1x1x1
