label	pos	token_id	tensor	layer	layer_type	llama_l2	apr_l2	cos	max_abs_diff	rel_l2	status	note
orig	4	33075	model.input_embed	-1	-	0.581084	0.581084	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
orig	4	33075	attn_norm-0	0	linear_gated_deltanet	39.976763	39.976763	1.000000	0.000000	0.000000	measured	
orig	4	33075	conv_output_silu-0	0	linear_gated_deltanet	8.980871	8.976318	0.999994	0.005455	0.003376	measured	
orig	4	33075	q_conv_predelta-0	0	linear_gated_deltanet	3.999992	3.999992	0.999984	0.005054	0.005648	measured	
orig	4	33075	k_conv_predelta-0	0	linear_gated_deltanet	3.999961	3.999961	0.999981	0.004557	0.006095	measured	
orig	4	33075	v_conv_predelta-0	0	linear_gated_deltanet	6.266846	6.265131	0.999999	0.002656	0.001091	measured	
orig	4	33075	a_softplus-0	0	linear_gated_deltanet	12.665071	12.664976	1.000000	0.000592	0.000048	measured	
orig	4	33075	gate-0	0	linear_gated_deltanet	5.821327	5.820856	1.000000	0.000766	0.000132	measured	
orig	4	33075	beta_sigmoid-0	0	linear_gated_deltanet	1.724259	1.724242	1.000000	0.000062	0.000060	measured	
orig	4	33075	state_predelta-0	0	linear_gated_deltanet	4.894909	4.891319	0.999992	0.004240	0.004118	measured	apr [h][j][i] transposed to [h][i][j]: cos=0.002887 max_abs=1.006770e+00 rel_l2=1.411653
orig	4	33075	new_state-0	0	linear_gated_deltanet	5.240117	5.236677	0.999993	0.005249	0.003793	measured	apr [h][j][i] transposed to [h][i][j]: cos=0.003851 max_abs=1.136021e+00 rel_l2=1.411024
orig	4	33075	attn_output-0	0	linear_gated_deltanet	0.108728	0.108685	0.999999	0.000068	0.001509	measured	
orig	4	33075	z-0	0	linear_gated_deltanet	40.724086	40.724087	1.000000	0.000002	0.000000	measured	
orig	4	33075	final_output-0	0	linear_gated_deltanet	5.285454	5.285855	0.999997	0.002730	0.002259	measured	
orig	4	33075	linear_attn_out-0	0	linear_gated_deltanet	1.499101	1.500449	0.999413	0.004960	0.034282	measured	
orig	4	33075	attn_residual-0	0	linear_gated_deltanet	1.517869	1.518774	0.999427	0.004960	0.033858	measured	
