label	pos	token_id	tensor	layer	layer_type	llama_l2	apr_l2	cos	max_abs_diff	rel_l2	status	note
p4	0	27	model.input_embed	-1	-	0.684652	0.684652	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	0	27	attn_norm-0	0	linear_gated_deltanet	39.371527	39.371527	1.000000	0.000000	0.000000	measured	
p4	0	27	conv_output_silu-0	0	linear_gated_deltanet	6.474948	6.473240	0.999994	0.005226	0.003547	measured	
p4	0	27	q_conv_predelta-0	0	linear_gated_deltanet	3.999995	3.999995	0.999992	0.003711	0.004085	measured	
p4	0	27	k_conv_predelta-0	0	linear_gated_deltanet	3.999880	3.999880	0.999979	0.008459	0.006480	measured	
p4	0	27	v_conv_predelta-0	0	linear_gated_deltanet	3.468642	3.468002	0.999999	0.003274	0.001472	measured	
p4	0	27	a_softplus-0	0	linear_gated_deltanet	11.600340	11.600346	1.000000	0.000347	0.000039	measured	
p4	0	27	gate-0	0	linear_gated_deltanet	6.722622	6.722553	1.000000	0.000162	0.000031	measured	
p4	0	27	beta_sigmoid-0	0	linear_gated_deltanet	2.798006	2.798024	1.000000	0.000024	0.000019	measured	
p4	0	27	state_predelta-0	0	linear_gated_deltanet	0.000000	0.000000	nan	0.000000	nan	measured	apr [h][j][i] transposed to [h][i][j]: cos=nan max_abs=0.000000e+00 rel_l2=nan
p4	0	27	new_state-0	0	linear_gated_deltanet	2.119529	2.119362	0.999987	0.002599	0.005057	measured	apr [h][j][i] transposed to [h][i][j]: cos=0.002383 max_abs=4.511825e-01 rel_l2=1.412472
p4	0	27	attn_output-0	0	linear_gated_deltanet	0.025128	0.025136	0.999998	0.000022	0.001941	measured	
p4	0	27	z-0	0	linear_gated_deltanet	40.030019	40.030019	1.000000	0.000000	0.000000	measured	
p4	0	27	final_output-0	0	linear_gated_deltanet	4.036852	4.037325	0.999994	0.003468	0.003361	measured	
p4	0	27	linear_attn_out-0	0	linear_gated_deltanet	0.994760	0.994167	0.999241	0.007822	0.038959	measured	
p4	0	27	attn_residual-0	0	linear_gated_deltanet	1.035879	1.036252	0.999300	0.007822	0.037412	measured	
p4	0	27	attn_post_norm-0	0	linear_gated_deltanet	33.099268	33.076452	0.999269	0.167626	0.038231	measured	
p4	0	27	ffn_out-0	0	linear_gated_deltanet	1.422030	1.416698	0.999071	0.007252	0.043184	measured	
p4	0	27	l_out-0	0	linear_gated_deltanet	1.865567	1.859264	0.999320	0.007140	0.036982	measured	
p4	0	27	attn_norm-1	1	linear_gated_deltanet	46.003744	46.008334	0.999325	0.183133	0.036751	measured	
