name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	4	1024x1x1x1	4096	pos4/model.input_embed.f32	91c6f7d1de8e6d3f264160fa5da502086bf667fc541cc1133a6382f5895bd1ca
attn_norm-0	0	4	1024x1x1x1	4096	pos4/attn_norm-0.f32	4264c424d689a47e39c7076331efc8ab68995d379c9c0eb3342c1ee294111cb3
conv_output_silu-0	0	4	6144x1x1x1	24576	pos4/conv_output_silu-0.f32	5f3f797ea4018368ab1757c92e26b89a27d2bfdf4f9c0605bbef87743d075f7f
q_conv_predelta-0	0	4	128x16x1x1	8192	pos4/q_conv_predelta-0.f32	8cb2a7194ba1a1b12a2471ed4393814b6af448a6eac6726fa11cfa9cea389cc3
k_conv_predelta-0	0	4	128x16x1x1	8192	pos4/k_conv_predelta-0.f32	0eb48d3449f03527932fe0a2be3c83958b8d537687cedc6395e461b377969848
v_conv_predelta-0	0	4	128x16x1x1	8192	pos4/v_conv_predelta-0.f32	9c56fbfd4d26d8a57b0576d4be2b5c5c656d9ff216910c94acd8f81b9fd96930
a_softplus-0	0	4	16x1x1x1	64	pos4/a_softplus-0.f32	0194e3a7fef03309178649e7ca60b2998ce74134f747a415f5d6a2cd91a7885e
gate-0	0	4	16x1x1x1	64	pos4/gate-0.f32	a86f4443c238d2ef69a76041b371f2244f49895a34a4581a8f35ffa36855d6ce
beta_sigmoid-0	0	4	1x16x1x1	64	pos4/beta_sigmoid-0.f32	754370e890d4468ccb191eb634e6426409cead6f5a9c4019175dd21e04725238
state_predelta-0	0	4	128x128x16x1	1048576	pos4/state_predelta-0.f32	f4b4719f3f54761fb6e4f02f949ac1f8b66fc971de04a93d978c4c2904a0ec32
new_state-0	0	4	128x128x16x1	1048576	pos4/new_state-0.f32	8ba755c9f041a50d4f211e7b529d23b3b5fccc46e6e68e3747444d9023c68d64
attn_output-0	0	4	128x16x1x1	8192	pos4/attn_output-0.f32	6511db7a7a947ca2e5309a36f408375633589d97907cf345bcf9d6fbcda2415f
z-0	0	4	2048x1x1x1	8192	pos4/z-0.f32	87aff93f8eccef9e50c7d13ba006c1638bec67f844d33aaaed0764a283906c73
final_output-0	0	4	2048x1x1x1	8192	pos4/final_output-0.f32	57af9d9177165b9994a3d893c76a57819bf858913849df25b67879a53c04b12c
linear_attn_out-0	0	4	1024x1x1x1	4096	pos4/linear_attn_out-0.f32	3b54384a8066121869d13d63eb5c3a1b243d8c2ed0fb640de37cda33cf329991
attn_residual-0	0	4	1024x1x1x1	4096	pos4/attn_residual-0.f32	00df27f2a0a7825bd5d6a1bdaed777f8b38e23e7f041d0d0fe81be1cd577eb75
attn_post_norm-0	0	4	1024x1x1x1	4096	pos4/attn_post_norm-0.f32	33c7f0520ca7d63dc1480e8c20f2d6be8711a052cc336ac9df98a84c09f1359a
ffn_out-0	0	4	1024x1x1x1	4096	pos4/ffn_out-0.f32	5d63c91caaddb8f3bb0eccd89ead46eed30254a4dae791f81267498453a8d31e
