name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	0	1024x1x1x1	4096	pos0/model.input_embed.f32	0f2822b1d8f095dda46d1b1c56382d69fe0b941be4f54f9619610de1b68f5800
attn_norm-0	0	0	1024x1x1x1	4096	pos0/attn_norm-0.f32	7fddf79018f18b6a8efe4d4305b8c552d45f257d584fe7cabb71ba8944bbe098
conv_output_silu-0	0	0	6144x1x1x1	24576	pos0/conv_output_silu-0.f32	ca48269ee73e01341d09fcbf0439b69f74bd515209d47033aa0ea3e5bedf0d24
q_conv_predelta-0	0	0	128x16x1x1	8192	pos0/q_conv_predelta-0.f32	8c63b6717875d4530277f9e8ffafee914af0dd03e408a6a9661313c67a6a3b83
k_conv_predelta-0	0	0	128x16x1x1	8192	pos0/k_conv_predelta-0.f32	bcd195962e44a88729c4b33399afe5292481074936469fc44614bcc49d33dcb7
v_conv_predelta-0	0	0	128x16x1x1	8192	pos0/v_conv_predelta-0.f32	c510c99146cd82b31ef7e1c12f2b0582fe01a05e941ed58e48f57ad2cb8820f8
a_softplus-0	0	0	16x1x1x1	64	pos0/a_softplus-0.f32	0efab8fad096f563f3df9c2cd781e4c6946dd7c93731c613e791faf9e9ca143a
gate-0	0	0	16x1x1x1	64	pos0/gate-0.f32	931a8aed00a95dc4df2bebc287df831aac900c6d6f9a772f136723e78a5d3d5c
beta_sigmoid-0	0	0	1x16x1x1	64	pos0/beta_sigmoid-0.f32	5c836c5c0c94ad8e7aa87596a0084ac143038548fe7468a3cb62d6c8ee93e673
state_predelta-0	0	0	128x128x16x1	1048576	pos0/state_predelta-0.f32	30e14955ebf1352266dc2ff8067e68104607e750abb9d3b36582b8af909fcb58
new_state-0	0	0	128x128x16x1	1048576	pos0/new_state-0.f32	99d37fceeeb6cfc80199967703c7e91cd1425cb85fdbb1106257ea046474d5f6
attn_output-0	0	0	128x16x1x1	8192	pos0/attn_output-0.f32	b0597dbdd6f4c8c8de6877c8a2f6e1f2d5e553218de5ef0210fa5880192c90ae
z-0	0	0	2048x1x1x1	8192	pos0/z-0.f32	b4a0c1b51dcbd22ccf6dc05f889ca997af4a6b4299a0d34c5991cd2f8f01cc2f
final_output-0	0	0	2048x1x1x1	8192	pos0/final_output-0.f32	f52cec6767e469998aa0b27c91a2b6843b9042cd9f4109699b17205c0b9c0955
linear_attn_out-0	0	0	1024x1x1x1	4096	pos0/linear_attn_out-0.f32	ec6c8e2a4f6d2ef88a9716950b23898bb0f13bf0a0832bd2c1622ec551f826fc
attn_residual-0	0	0	1024x1x1x1	4096	pos0/attn_residual-0.f32	b5235c129dee5b84c01a99e0326465699c44472171197460125b9b4ed5219ae2
attn_post_norm-0	0	0	1024x1x1x1	4096	pos0/attn_post_norm-0.f32	f9ac33ef462c035adc254e8c342692f2a164808ad176e53a6119fa18f3208228
ffn_out-0	0	0	1024x1x1x1	4096	pos0/ffn_out-0.f32	b4e616205d66073c5dfa7e6038f7eae5b3209a05b2517a125016747dcf08fa5b
l_out-0	0	0	1024x1x1x1	4096	pos0/l_out-0.f32	b5fe9449f40f731435e9f9564ea8cddde69391bbf1ec23aeb00ae0bcac1731be
attn_norm-1	1	0	1024x1x1x1	4096	pos0/attn_norm-1.f32	0145711621d0c8522f615d821d7352fca7ff4414aa7fd1bd53f10ba2c1abb1e5
conv_output_silu-1	1	0	6144x1x1x1	24576	pos0/conv_output_silu-1.f32	8b93f4298fdffe20957a9bde0341ac8cab50aa9d49ba2b6085986ecc8bdd27d7
