name	layer	pos	n	file
model.input_embed	-1	4	1024	pos4/model.input_embed.f32
attn_norm	0	4	1024	pos4/attn_norm-0.f32
conv_output_silu	0	4	6144	pos4/conv_output_silu-0.f32
q_conv_predelta	0	4	2048	pos4/q_conv_predelta-0.f32
k_conv_predelta	0	4	2048	pos4/k_conv_predelta-0.f32
v_conv_predelta	0	4	2048	pos4/v_conv_predelta-0.f32
a_softplus	0	4	16	pos4/a_softplus-0.f32
gate	0	4	16	pos4/gate-0.f32
beta_sigmoid	0	4	16	pos4/beta_sigmoid-0.f32
z	0	4	2048	pos4/z-0.f32
state_predelta	0	4	262144	pos4/state_predelta-0.f32
attn_output	0	4	2048	pos4/attn_output-0.f32
new_state	0	4	262144	pos4/new_state-0.f32
final_output	0	4	2048	pos4/final_output-0.f32
linear_attn_out	0	4	1024	pos4/linear_attn_out-0.f32
attn_residual	0	4	1024	pos4/attn_residual-0.f32
attn_post_norm	0	4	1024	pos4/attn_post_norm-0.f32
ffn_out	0	4	1024	pos4/ffn_out-0.f32
l_out	0	4	1024	pos4/l_out-0.f32
attn_norm	1	4	1024	pos4/attn_norm-1.f32
conv_output_silu	1	4	6144	pos4/conv_output_silu-1.f32
q_conv_predelta	1	4	2048	pos4/q_conv_predelta-1.f32
k_conv_predelta	1	4	2048	pos4/k_conv_predelta-1.f32
v_conv_predelta	1	4	2048	pos4/v_conv_predelta-1.f32
a_softplus	1	4	16	pos4/a_softplus-1.f32
gate	1	4	16	pos4/gate-1.f32
beta_sigmoid	1	4	16	pos4/beta_sigmoid-1.f32
z	1	4	2048	pos4/z-1.f32
state_predelta	1	4	262144	pos4/state_predelta-1.f32
attn_output	1	4	2048	pos4/attn_output-1.f32
new_state	1	4	262144	pos4/new_state-1.f32
final_output	1	4	2048	pos4/final_output-1.f32
linear_attn_out	1	4	1024	pos4/linear_attn_out-1.f32
attn_residual	1	4	1024	pos4/attn_residual-1.f32
attn_post_norm	1	4	1024	pos4/attn_post_norm-1.f32
ffn_out	1	4	1024	pos4/ffn_out-1.f32
l_out	1	4	1024	pos4/l_out-1.f32
attn_norm	2	4	1024	pos4/attn_norm-2.f32
conv_output_silu	2	4	6144	pos4/conv_output_silu-2.f32
q_conv_predelta	2	4	2048	pos4/q_conv_predelta-2.f32
k_conv_predelta	2	4	2048	pos4/k_conv_predelta-2.f32
v_conv_predelta	2	4	2048	pos4/v_conv_predelta-2.f32
a_softplus	2	4	16	pos4/a_softplus-2.f32
gate	2	4	16	pos4/gate-2.f32
beta_sigmoid	2	4	16	pos4/beta_sigmoid-2.f32
z	2	4	2048	pos4/z-2.f32
state_predelta	2	4	262144	pos4/state_predelta-2.f32
attn_output	2	4	2048	pos4/attn_output-2.f32
new_state	2	4	262144	pos4/new_state-2.f32
final_output	2	4	2048	pos4/final_output-2.f32
linear_attn_out	2	4	1024	pos4/linear_attn_out-2.f32
attn_residual	2	4	1024	pos4/attn_residual-2.f32
attn_post_norm	2	4	1024	pos4/attn_post_norm-2.f32
ffn_out	2	4	1024	pos4/ffn_out-2.f32
l_out	2	4	1024	pos4/l_out-2.f32
attn_norm	3	4	1024	pos4/attn_norm-3.f32
attn_pregate	3	4	2048	pos4/attn_pregate-3.f32
attn_gated	3	4	2048	pos4/attn_gated-3.f32
attn_output	3	4	1024	pos4/attn_output-3.f32
attn_residual	3	4	1024	pos4/attn_residual-3.f32
attn_post_norm	3	4	1024	pos4/attn_post_norm-3.f32
ffn_out	3	4	1024	pos4/ffn_out-3.f32
l_out	3	4	1024	pos4/l_out-3.f32
attn_norm	4	4	1024	pos4/attn_norm-4.f32
conv_output_silu	4	4	6144	pos4/conv_output_silu-4.f32
q_conv_predelta	4	4	2048	pos4/q_conv_predelta-4.f32
k_conv_predelta	4	4	2048	pos4/k_conv_predelta-4.f32
v_conv_predelta	4	4	2048	pos4/v_conv_predelta-4.f32
a_softplus	4	4	16	pos4/a_softplus-4.f32
gate	4	4	16	pos4/gate-4.f32
beta_sigmoid	4	4	16	pos4/beta_sigmoid-4.f32
z	4	4	2048	pos4/z-4.f32
state_predelta	4	4	262144	pos4/state_predelta-4.f32
attn_output	4	4	2048	pos4/attn_output-4.f32
new_state	4	4	262144	pos4/new_state-4.f32
final_output	4	4	2048	pos4/final_output-4.f32
linear_attn_out	4	4	1024	pos4/linear_attn_out-4.f32
attn_residual	4	4	1024	pos4/attn_residual-4.f32
attn_post_norm	4	4	1024	pos4/attn_post_norm-4.f32
ffn_out	4	4	1024	pos4/ffn_out-4.f32
l_out	4	4	1024	pos4/l_out-4.f32
attn_norm	5	4	1024	pos4/attn_norm-5.f32
conv_output_silu	5	4	6144	pos4/conv_output_silu-5.f32
q_conv_predelta	5	4	2048	pos4/q_conv_predelta-5.f32
k_conv_predelta	5	4	2048	pos4/k_conv_predelta-5.f32
v_conv_predelta	5	4	2048	pos4/v_conv_predelta-5.f32
a_softplus	5	4	16	pos4/a_softplus-5.f32
gate	5	4	16	pos4/gate-5.f32
beta_sigmoid	5	4	16	pos4/beta_sigmoid-5.f32
z	5	4	2048	pos4/z-5.f32
state_predelta	5	4	262144	pos4/state_predelta-5.f32
attn_output	5	4	2048	pos4/attn_output-5.f32
new_state	5	4	262144	pos4/new_state-5.f32
final_output	5	4	2048	pos4/final_output-5.f32
linear_attn_out	5	4	1024	pos4/linear_attn_out-5.f32
attn_residual	5	4	1024	pos4/attn_residual-5.f32
attn_post_norm	5	4	1024	pos4/attn_post_norm-5.f32
ffn_out	5	4	1024	pos4/ffn_out-5.f32
l_out	5	4	1024	pos4/l_out-5.f32
attn_norm	6	4	1024	pos4/attn_norm-6.f32
conv_output_silu	6	4	6144	pos4/conv_output_silu-6.f32
q_conv_predelta	6	4	2048	pos4/q_conv_predelta-6.f32
k_conv_predelta	6	4	2048	pos4/k_conv_predelta-6.f32
v_conv_predelta	6	4	2048	pos4/v_conv_predelta-6.f32
a_softplus	6	4	16	pos4/a_softplus-6.f32
gate	6	4	16	pos4/gate-6.f32
beta_sigmoid	6	4	16	pos4/beta_sigmoid-6.f32
z	6	4	2048	pos4/z-6.f32
state_predelta	6	4	262144	pos4/state_predelta-6.f32
attn_output	6	4	2048	pos4/attn_output-6.f32
new_state	6	4	262144	pos4/new_state-6.f32
final_output	6	4	2048	pos4/final_output-6.f32
linear_attn_out	6	4	1024	pos4/linear_attn_out-6.f32
attn_residual	6	4	1024	pos4/attn_residual-6.f32
attn_post_norm	6	4	1024	pos4/attn_post_norm-6.f32
ffn_out	6	4	1024	pos4/ffn_out-6.f32
l_out	6	4	1024	pos4/l_out-6.f32
attn_norm	7	4	1024	pos4/attn_norm-7.f32
attn_pregate	7	4	2048	pos4/attn_pregate-7.f32
attn_gated	7	4	2048	pos4/attn_gated-7.f32
attn_output	7	4	1024	pos4/attn_output-7.f32
attn_residual	7	4	1024	pos4/attn_residual-7.f32
attn_post_norm	7	4	1024	pos4/attn_post_norm-7.f32
ffn_out	7	4	1024	pos4/ffn_out-7.f32
l_out	7	4	1024	pos4/l_out-7.f32
attn_norm	8	4	1024	pos4/attn_norm-8.f32
conv_output_silu	8	4	6144	pos4/conv_output_silu-8.f32
q_conv_predelta	8	4	2048	pos4/q_conv_predelta-8.f32
k_conv_predelta	8	4	2048	pos4/k_conv_predelta-8.f32
v_conv_predelta	8	4	2048	pos4/v_conv_predelta-8.f32
a_softplus	8	4	16	pos4/a_softplus-8.f32
gate	8	4	16	pos4/gate-8.f32
beta_sigmoid	8	4	16	pos4/beta_sigmoid-8.f32
z	8	4	2048	pos4/z-8.f32
state_predelta	8	4	262144	pos4/state_predelta-8.f32
attn_output	8	4	2048	pos4/attn_output-8.f32
new_state	8	4	262144	pos4/new_state-8.f32
final_output	8	4	2048	pos4/final_output-8.f32
linear_attn_out	8	4	1024	pos4/linear_attn_out-8.f32
attn_residual	8	4	1024	pos4/attn_residual-8.f32
attn_post_norm	8	4	1024	pos4/attn_post_norm-8.f32
ffn_out	8	4	1024	pos4/ffn_out-8.f32
l_out	8	4	1024	pos4/l_out-8.f32
attn_norm	9	4	1024	pos4/attn_norm-9.f32
conv_output_silu	9	4	6144	pos4/conv_output_silu-9.f32
q_conv_predelta	9	4	2048	pos4/q_conv_predelta-9.f32
k_conv_predelta	9	4	2048	pos4/k_conv_predelta-9.f32
