name	layer	pos	n	file
model.input_embed	-1	0	1024	pos0/model.input_embed.f32
attn_norm	0	0	1024	pos0/attn_norm-0.f32
conv_output_silu	0	0	6144	pos0/conv_output_silu-0.f32
q_conv_predelta	0	0	2048	pos0/q_conv_predelta-0.f32
k_conv_predelta	0	0	2048	pos0/k_conv_predelta-0.f32
v_conv_predelta	0	0	2048	pos0/v_conv_predelta-0.f32
a_softplus	0	0	16	pos0/a_softplus-0.f32
gate	0	0	16	pos0/gate-0.f32
beta_sigmoid	0	0	16	pos0/beta_sigmoid-0.f32
z	0	0	2048	pos0/z-0.f32
state_predelta	0	0	262144	pos0/state_predelta-0.f32
attn_output	0	0	2048	pos0/attn_output-0.f32
new_state	0	0	262144	pos0/new_state-0.f32
final_output	0	0	2048	pos0/final_output-0.f32
linear_attn_out	0	0	1024	pos0/linear_attn_out-0.f32
attn_residual	0	0	1024	pos0/attn_residual-0.f32
attn_post_norm	0	0	1024	pos0/attn_post_norm-0.f32
ffn_out	0	0	1024	pos0/ffn_out-0.f32
l_out	0	0	1024	pos0/l_out-0.f32
attn_norm	1	0	1024	pos0/attn_norm-1.f32
conv_output_silu	1	0	6144	pos0/conv_output_silu-1.f32
q_conv_predelta	1	0	2048	pos0/q_conv_predelta-1.f32
k_conv_predelta	1	0	2048	pos0/k_conv_predelta-1.f32
v_conv_predelta	1	0	2048	pos0/v_conv_predelta-1.f32
a_softplus	1	0	16	pos0/a_softplus-1.f32
gate	1	0	16	pos0/gate-1.f32
beta_sigmoid	1	0	16	pos0/beta_sigmoid-1.f32
z	1	0	2048	pos0/z-1.f32
state_predelta	1	0	262144	pos0/state_predelta-1.f32
attn_output	1	0	2048	pos0/attn_output-1.f32
new_state	1	0	262144	pos0/new_state-1.f32
final_output	1	0	2048	pos0/final_output-1.f32
linear_attn_out	1	0	1024	pos0/linear_attn_out-1.f32
attn_residual	1	0	1024	pos0/attn_residual-1.f32
attn_post_norm	1	0	1024	pos0/attn_post_norm-1.f32
ffn_out	1	0	1024	pos0/ffn_out-1.f32
l_out	1	0	1024	pos0/l_out-1.f32
attn_norm	2	0	1024	pos0/attn_norm-2.f32
conv_output_silu	2	0	6144	pos0/conv_output_silu-2.f32
q_conv_predelta	2	0	2048	pos0/q_conv_predelta-2.f32
k_conv_predelta	2	0	2048	pos0/k_conv_predelta-2.f32
v_conv_predelta	2	0	2048	pos0/v_conv_predelta-2.f32
a_softplus	2	0	16	pos0/a_softplus-2.f32
gate	2	0	16	pos0/gate-2.f32
beta_sigmoid	2	0	16	pos0/beta_sigmoid-2.f32
z	2	0	2048	pos0/z-2.f32
state_predelta	2	0	262144	pos0/state_predelta-2.f32
attn_output	2	0	2048	pos0/attn_output-2.f32
new_state	2	0	262144	pos0/new_state-2.f32
final_output	2	0	2048	pos0/final_output-2.f32
linear_attn_out	2	0	1024	pos0/linear_attn_out-2.f32
attn_residual	2	0	1024	pos0/attn_residual-2.f32
attn_post_norm	2	0	1024	pos0/attn_post_norm-2.f32
ffn_out	2	0	1024	pos0/ffn_out-2.f32
l_out	2	0	1024	pos0/l_out-2.f32
attn_norm	3	0	1024	pos0/attn_norm-3.f32
attn_pregate	3	0	2048	pos0/attn_pregate-3.f32
attn_gated	3	0	2048	pos0/attn_gated-3.f32
attn_output	3	0	1024	pos0/attn_output-3.f32
attn_residual	3	0	1024	pos0/attn_residual-3.f32
attn_post_norm	3	0	1024	pos0/attn_post_norm-3.f32
ffn_out	3	0	1024	pos0/ffn_out-3.f32
l_out	3	0	1024	pos0/l_out-3.f32
attn_norm	4	0	1024	pos0/attn_norm-4.f32
conv_output_silu	4	0	6144	pos0/conv_output_silu-4.f32
q_conv_predelta	4	0	2048	pos0/q_conv_predelta-4.f32
k_conv_predelta	4	0	2048	pos0/k_conv_predelta-4.f32
v_conv_predelta	4	0	2048	pos0/v_conv_predelta-4.f32
a_softplus	4	0	16	pos0/a_softplus-4.f32
gate	4	0	16	pos0/gate-4.f32
beta_sigmoid	4	0	16	pos0/beta_sigmoid-4.f32
z	4	0	2048	pos0/z-4.f32
state_predelta	4	0	262144	pos0/state_predelta-4.f32
attn_output	4	0	2048	pos0/attn_output-4.f32
new_state	4	0	262144	pos0/new_state-4.f32
final_output	4	0	2048	pos0/final_output-4.f32
linear_attn_out	4	0	1024	pos0/linear_attn_out-4.f32
attn_residual	4	0	1024	pos0/attn_residual-4.f32
attn_post_norm	4	0	1024	pos0/attn_post_norm-4.f32
ffn_out	4	0	1024	pos0/ffn_out-4.f32
l_out	4	0	1024	pos0/l_out-4.f32
attn_norm	5	0	1024	pos0/attn_norm-5.f32
conv_output_silu	5	0	6144	pos0/conv_output_silu-5.f32
q_conv_predelta	5	0	2048	pos0/q_conv_predelta-5.f32
k_conv_predelta	5	0	2048	pos0/k_conv_predelta-5.f32
v_conv_predelta	5	0	2048	pos0/v_conv_predelta-5.f32
a_softplus	5	0	16	pos0/a_softplus-5.f32
gate	5	0	16	pos0/gate-5.f32
beta_sigmoid	5	0	16	pos0/beta_sigmoid-5.f32
z	5	0	2048	pos0/z-5.f32
state_predelta	5	0	262144	pos0/state_predelta-5.f32
attn_output	5	0	2048	pos0/attn_output-5.f32
new_state	5	0	262144	pos0/new_state-5.f32
final_output	5	0	2048	pos0/final_output-5.f32
linear_attn_out	5	0	1024	pos0/linear_attn_out-5.f32
attn_residual	5	0	1024	pos0/attn_residual-5.f32
attn_post_norm	5	0	1024	pos0/attn_post_norm-5.f32
ffn_out	5	0	1024	pos0/ffn_out-5.f32
l_out	5	0	1024	pos0/l_out-5.f32
attn_norm	6	0	1024	pos0/attn_norm-6.f32
conv_output_silu	6	0	6144	pos0/conv_output_silu-6.f32
q_conv_predelta	6	0	2048	pos0/q_conv_predelta-6.f32
k_conv_predelta	6	0	2048	pos0/k_conv_predelta-6.f32
v_conv_predelta	6	0	2048	pos0/v_conv_predelta-6.f32
a_softplus	6	0	16	pos0/a_softplus-6.f32
gate	6	0	16	pos0/gate-6.f32
beta_sigmoid	6	0	16	pos0/beta_sigmoid-6.f32
z	6	0	2048	pos0/z-6.f32
state_predelta	6	0	262144	pos0/state_predelta-6.f32
attn_output	6	0	2048	pos0/attn_output-6.f32
new_state	6	0	262144	pos0/new_state-6.f32
final_output	6	0	2048	pos0/final_output-6.f32
linear_attn_out	6	0	1024	pos0/linear_attn_out-6.f32
attn_residual	6	0	1024	pos0/attn_residual-6.f32
attn_post_norm	6	0	1024	pos0/attn_post_norm-6.f32
ffn_out	6	0	1024	pos0/ffn_out-6.f32
l_out	6	0	1024	pos0/l_out-6.f32
attn_norm	7	0	1024	pos0/attn_norm-7.f32
attn_pregate	7	0	2048	pos0/attn_pregate-7.f32
attn_gated	7	0	2048	pos0/attn_gated-7.f32
attn_output	7	0	1024	pos0/attn_output-7.f32
attn_residual	7	0	1024	pos0/attn_residual-7.f32
attn_post_norm	7	0	1024	pos0/attn_post_norm-7.f32
ffn_out	7	0	1024	pos0/ffn_out-7.f32
l_out	7	0	1024	pos0/l_out-7.f32
attn_norm	8	0	1024	pos0/attn_norm-8.f32
conv_output_silu	8	0	6144	pos0/conv_output_silu-8.f32
q_conv_predelta	8	0	2048	pos0/q_conv_predelta-8.f32
k_conv_predelta	8	0	2048	pos0/k_conv_predelta-8.f32
v_conv_predelta	8	0	2048	pos0/v_conv_predelta-8.f32
a_softplus	8	0	16	pos0/a_softplus-8.f32
gate	8	0	16	pos0/gate-8.f32
beta_sigmoid	8	0	16	pos0/beta_sigmoid-8.f32
z	8	0	2048	pos0/z-8.f32
state_predelta	8	0	262144	pos0/state_predelta-8.f32
attn_output	8	0	2048	pos0/attn_output-8.f32
new_state	8	0	262144	pos0/new_state-8.f32
final_output	8	0	2048	pos0/final_output-8.f32
linear_attn_out	8	0	1024	pos0/linear_attn_out-8.f32
attn_residual	8	0	1024	pos0/attn_residual-8.f32
attn_post_norm	8	0	1024	pos0/attn_post_norm-8.f32
ffn_out	8	0	1024	pos0/ffn_out-8.f32
l_out	8	0	1024	pos0/l_out-8.f32
attn_norm	9	0	1024	pos0/attn_norm-9.f32
conv_output_silu	9	0	6144	pos0/conv_output_silu-9.f32
q_conv_predelta	9	0	2048	pos0/q_conv_predelta-9.f32
k_conv_predelta	9	0	2048	pos0/k_conv_predelta-9.f32
v_conv_predelta	9	0	2048	pos0/v_conv_predelta-9.f32
a_softplus	9	0	16	pos0/a_softplus-9.f32
gate	9	0	16	pos0/gate-9.f32
beta_sigmoid	9	0	16	pos0/beta_sigmoid-9.f32
z	9	0	2048	pos0/z-9.f32
state_predelta	9	0	262144	pos0/state_predelta-9.f32
attn_output	9	0	2048	pos0/attn_output-9.f32
new_state	9	0	262144	pos0/new_state-9.f32
final_output	9	0	2048	pos0/final_output-9.f32
linear_attn_out	9	0	1024	pos0/linear_attn_out-9.f32
attn_residual	9	0	1024	pos0/attn_residual-9.f32
attn_post_norm	9	0	1024	pos0/attn_post_norm-9.f32
ffn_out	9	0	1024	pos0/ffn_out-9.f32
l_out	9	0	1024	pos0/l_out-9.f32
attn_norm	10	0	1024	pos0/attn_norm-10.f32
conv_output_silu	10	0	6144	pos0/conv_output_silu-10.f32
q_conv_predelta	10	0	2048	pos0/q_conv_predelta-10.f32
k_conv_predelta	10	0	2048	pos0/k_conv_predelta-10.f32
