label	pos	layer	kernel	qtype	n	K(llama_in)==llama_out_bits	K(apr_in)==apr_out_bits	in_rel_l2	K_out_rel_l2	amplification	out_rel_l2_dumps
p4	0	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
p4	0	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.482e-07	1.007e-06	4.1	1.007e-06
p4	0	1	attn_norm->z	Q4_K	2048	2048	2048	5.596e-07	2.948e-07	0.5	2.948e-07
p4	0	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.184e-07	7.160e-07	1.4	7.160e-07
p4	0	2	attn_norm->z	Q4_K	2048	2048	2048	5.533e-07	2.500e-07	0.5	2.500e-07
p4	0	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.410e-07	4.281e-07	1.3	4.281e-07
p4	0	4	attn_norm->z	Q4_K	2048	2048	2048	4.692e-07	1.316e-07	0.3	1.316e-07
p4	0	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.191e-07	5.228e-07	1.6	5.228e-07
p4	0	5	attn_norm->z	Q4_K	2048	2048	2048	4.925e-07	1.611e-07	0.3	1.611e-07
p4	0	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.712e-07	9.534e-07	2.6	9.534e-07
p4	0	6	attn_norm->z	Q4_K	2048	2048	2048	5.268e-07	1.079e-07	0.2	1.079e-07
p4	0	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.903e-07	3.665e-07	1.9	3.665e-07
p4	0	8	attn_norm->z	Q4_K	2048	2048	2048	5.918e-07	7.246e-04	1224.3	7.246e-04
p4	0	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.456e-03	1.117e-02	3.2	1.117e-02
p4	0	9	attn_norm->z	Q4_K	2048	2048	2048	1.397e-03	5.012e-03	3.6	5.012e-03
p4	0	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.224e-02	1.522e-02	1.2	1.522e-02
p4	0	10	attn_norm->z	Q4_K	2048	2048	2048	2.065e-03	3.619e-03	1.8	3.619e-03
p4	0	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.628e-02	2.543e-02	1.6	2.543e-02
p4	0	12	attn_norm->z	Q4_K	2048	2048	2048	2.191e-02	1.367e-02	0.6	1.367e-02
p4	0	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.705e-02	3.315e-02	1.2	3.315e-02
p4	0	13	attn_norm->z	Q4_K	2048	2048	2048	2.704e-02	1.926e-02	0.7	1.926e-02
p4	0	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.477e-02	4.129e-02	1.2	4.129e-02
p4	0	14	attn_norm->z	Q4_K	2048	2048	2048	2.526e-02	1.617e-02	0.6	1.617e-02
p4	0	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.418e-02	5.131e-02	1.2	5.131e-02
p4	0	16	attn_norm->z	Q4_K	2048	2048	2048	3.734e-02	3.150e-02	0.8	3.150e-02
p4	0	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.082e-02	7.400e-02	1.5	7.400e-02
p4	0	17	attn_norm->z	Q4_K	2048	2048	2048	3.988e-02	3.387e-02	0.8	3.387e-02
p4	0	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.793e-02	8.998e-02	1.3	8.998e-02
p4	0	18	attn_norm->z	Q4_K	2048	2048	2048	4.317e-02	3.419e-02	0.8	3.419e-02
p4	0	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.931e-02	4.083e-02	0.8	4.083e-02
p4	0	20	attn_norm->z	Q4_K	2048	2048	2048	4.642e-02	4.124e-02	0.9	4.124e-02
p4	0	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.586e-02	6.981e-02	1.2	6.981e-02
p4	0	21	attn_norm->z	Q4_K	2048	2048	2048	5.740e-02	5.698e-02	1.0	5.698e-02
p4	0	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.018e-01	1.123e-01	1.1	1.123e-01
p4	0	22	attn_norm->z	Q4_K	2048	2048	2048	7.180e-02	5.398e-02	0.8	5.398e-02
p4	0	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.803e-02	1.010e-01	1.0	1.010e-01
p4	1	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
p4	1	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.651e-07	1.433e-06	8.7	1.433e-06
p4	1	1	attn_norm->z	Q4_K	2048	2048	2048	1.207e-06	4.964e-07	0.4	4.964e-07
p4	1	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.410e-07	5.370e-07	0.6	5.370e-07
p4	1	2	attn_norm->z	Q4_K	2048	2048	2048	1.006e-06	1.819e-07	0.2	1.819e-07
p4	1	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.074e-07	6.836e-07	2.2	6.836e-07
p4	1	4	attn_norm->z	Q4_K	2048	2048	2048	1.341e-02	1.102e-02	0.8	1.102e-02
p4	1	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.451e-02	3.581e-02	1.5	3.581e-02
p4	1	5	attn_norm->z	Q4_K	2048	2048	2048	2.136e-02	1.551e-02	0.7	1.551e-02
p4	1	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.514e-02	5.585e-02	2.2	5.585e-02
p4	1	6	attn_norm->z	Q4_K	2048	2048	2048	3.061e-02	1.768e-02	0.6	1.768e-02
p4	1	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.944e-02	4.030e-02	1.0	4.030e-02
p4	1	8	attn_norm->z	Q4_K	2048	2048	2048	4.765e-02	2.242e-02	0.5	2.242e-02
p4	1	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.529e-02	5.579e-02	1.6	5.579e-02
p4	1	9	attn_norm->z	Q4_K	2048	2048	2048	5.496e-02	2.416e-02	0.4	2.416e-02
p4	1	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.807e-02	5.645e-02	1.2	5.645e-02
p4	1	10	attn_norm->z	Q4_K	2048	2048	2048	6.132e-02	2.448e-02	0.4	2.448e-02
p4	1	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.224e-02	7.511e-02	1.0	7.511e-02
p4	1	12	attn_norm->z	Q4_K	2048	2048	2048	7.330e-02	2.958e-02	0.4	2.958e-02
p4	1	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.389e-02	1.011e-01	1.4	1.011e-01
p4	1	13	attn_norm->z	Q4_K	2048	2048	2048	7.836e-02	4.457e-02	0.6	4.457e-02
p4	1	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.653e-02	1.009e-01	1.0	1.009e-01
p4	1	14	attn_norm->z	Q4_K	2048	2048	2048	8.212e-02	4.371e-02	0.5	4.371e-02
p4	1	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.552e-02	9.955e-02	1.3	9.955e-02
p4	1	16	attn_norm->z	Q4_K	2048	2048	2048	7.971e-02	5.284e-02	0.7	5.284e-02
p4	1	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.435e-02	6.632e-02	1.2	6.632e-02
p4	1	17	attn_norm->z	Q4_K	2048	2048	2048	7.850e-02	5.017e-02	0.6	5.017e-02
p4	1	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.147e-02	1.193e-01	1.5	1.193e-01
p4	1	18	attn_norm->z	Q4_K	2048	2048	2048	8.410e-02	5.387e-02	0.6	5.387e-02
p4	1	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.883e-02	1.150e-01	1.2	1.150e-01
p4	1	20	attn_norm->z	Q4_K	2048	2048	2048	1.005e-01	6.398e-02	0.6	6.398e-02
p4	1	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.154e-01	1.197e-01	1.0	1.197e-01
