layer	n	llama_in:ggml_silu==llama_dump	llama_in:apr_silu==llama_dump	apr_in:apr_silu==apr_dump	apr_in:ggml_silu==apr_dump	llama_first4	apr_silu(llama_in)_first4	ggml_silu(llama_in)_first4
0	6144	6144	5636	6144	5636	0.0151475985,-0.000458114344,0.00156917621,0.422838897	0.0151475985,-0.000458114344,0.00156917621,0.422838867	0.0151475985,-0.000458114344,0.00156917621,0.422838897
1	6144	6144	5719	6144	5707	-0.00559159182,0.00330801494,-0.158168972,-0.231207356	-0.00559159182,0.00330801494,-0.158168986,-0.231207356	-0.00559159182,0.00330801494,-0.158168972,-0.231207356
2	6144	6144	5618	6144	5615	-0.0495844781,0.0192501824,0.0923690274,-0.00149168645	-0.0495844781,0.0192501824,0.0923690274,-0.00149168645	-0.0495844781,0.0192501824,0.0923690274,-0.00149168645
4	6144	6144	5389	6144	5434	0.00287973788,-0.0302877408,0.0316320397,-0.116305888	0.00287973788,-0.0302877408,0.0316320397,-0.116305888	0.00287973788,-0.0302877408,0.0316320397,-0.116305888
5	6144	6144	5423	6144	5449	-0.0831810236,-0.101966873,-0.0301261842,-0.219639778	-0.0831810236,-0.101966888,-0.0301261842,-0.219639778	-0.0831810236,-0.101966873,-0.0301261842,-0.219639778
6	6144	6144	5659	6144	5641	-0.0118301194,0.135970637,0.0484864824,-0.0683801174	-0.0118301194,0.135970637,0.0484864786,-0.06838011	-0.0118301194,0.135970637,0.0484864824,-0.0683801174
8	6144	6144	5618	6144	5593	0.0841539279,-0.00981122814,-0.00118449458,-0.0881424546	0.0841539279,-0.00981122814,-0.00118449458,-0.0881424546	0.0841539279,-0.00981122814,-0.00118449458,-0.0881424546
9	6144	6144	5678	6144	5690	0.00550174899,-0.123704694,-0.244472265,-0.0464881621	0.00550174899,-0.123704694,-0.24447225,-0.0464881547	0.00550174899,-0.123704694,-0.244472265,-0.0464881621
10	6144	6144	5734	6144	5709	0.00398805318,0.00613736687,0.0104613258,-0.0788519904	0.00398805318,0.00613736687,0.0104613258,-0.0788519904	0.00398805318,0.00613736687,0.0104613258,-0.0788519904
12	6144	6144	5454	6144	5493	-0.0227191634,-0.104206994,0.0182637479,0.0374702476	-0.0227191634,-0.104206994,0.0182637479,0.0374702476	-0.0227191634,-0.104206994,0.0182637479,0.0374702476
13	6144	6144	5602	6144	5610	-0.0101590352,0.108969547,0.0324024186,-0.00662516477	-0.0101590352,0.108969547,0.0324024186,-0.00662516477	-0.0101590352,0.108969547,0.0324024186,-0.00662516477
14	6144	6144	5529	6144	5523	-0.205845341,-0.0156004308,-0.138333037,-0.213234365	-0.205845341,-0.0156004308,-0.138333037,-0.213234365	-0.205845341,-0.0156004308,-0.138333037,-0.213234365
16	6144	6144	5243	6144	5174	0.0330873653,0.0797003433,0.161502317,-0.245250002	0.0330873653,0.0797003359,0.161502331,-0.245249987	0.0330873653,0.0797003433,0.161502317,-0.245250002
17	6144	6144	4966	6144	4955	-0.246370107,-0.190535277,-0.127059102,0.000431360677	-0.246370092,-0.190535277,-0.127059117,0.000431360677	-0.246370107,-0.190535277,-0.127059102,0.000431360677
18	6144	6144	4867	6144	4809	-0.259165525,-0.235831425,-0.0348478816,-0.27643773	-0.259165525,-0.235831425,-0.0348478816,-0.27643773	-0.259165525,-0.235831425,-0.0348478816,-0.27643773
20	6144	6144	4726	6144	4747	0.147016689,-0.107801974,-0.052446533,0.08597105	0.147016689,-0.107801974,-0.0524465255,0.0859710425	0.147016689,-0.107801974,-0.052446533,0.08597105
21	6144	6144	4725	6144	4732	-0.250014693,-0.193475887,0.03266716,-0.260980308	-0.250014663,-0.193475887,0.03266716,-0.260980308	-0.250014693,-0.193475887,0.03266716,-0.260980308
22	6144	6144	5062	6144	5049	-0.156384513,-0.2709409,-0.00690966612,0.024832312	-0.156384528,-0.2709409,-0.00690966612,0.024832312	-0.156384513,-0.2709409,-0.00690966612,0.024832312
