label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	0	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.000001	0.000001	1.000000	linear_attn_out-0	0.000001	1.000000
p4	0	l_out-0	0	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-0	0.000000	1.000000
p4	0	attn_residual-1	1	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-1	0.000001	1.000000
p4	0	l_out-1	1	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-1	0.000000	1.000000
p4	0	attn_residual-2	2	linear_gated_deltanet	mixer	0.000001	0.000001	0.000000	1.000000	linear_attn_out-2	0.000000	1.000000
p4	0	l_out-2	2	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-2	0.000000	1.000000
p4	0	attn_residual-3	3	full_attention	mixer	0.000001	0.000001	0.000000	1.000000	attn_output-3	0.000001	1.000000
p4	0	l_out-3	3	full_attention	ffn	0.000001	0.000000	-0.000001	1.000000	ffn_out-3	0.000000	1.000000
p4	0	attn_residual-4	4	linear_gated_deltanet	mixer	0.000000	0.000000	0.000000	1.000000	linear_attn_out-4	0.000001	1.000000
p4	0	l_out-4	4	linear_gated_deltanet	ffn	0.000000	0.000000	0.000000	1.000000	ffn_out-4	0.000000	1.000000
p4	0	attn_residual-5	5	linear_gated_deltanet	mixer	0.000000	0.000001	0.000001	1.000000	linear_attn_out-5	0.000001	1.000000
p4	0	l_out-5	5	linear_gated_deltanet	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-5	0.000000	1.000000
p4	0	attn_residual-6	6	linear_gated_deltanet	mixer	0.000001	0.000000	-0.000001	1.000000	linear_attn_out-6	0.000000	1.000000
p4	0	l_out-6	6	linear_gated_deltanet	ffn	0.000000	0.000000	0.000000	1.000000	ffn_out-6	0.000001	1.000000
p4	0	attn_residual-7	7	full_attention	mixer	0.000000	0.000001	0.000001	1.000000	attn_output-7	0.000000	1.000000
p4	0	l_out-7	7	full_attention	ffn	0.000001	0.000001	0.000000	1.000000	ffn_out-7	0.000000	1.000000
p4	0	attn_residual-8	8	linear_gated_deltanet	mixer	0.000001	0.000585	0.000584	1.000000	linear_attn_out-8	0.011169	0.999939
p4	0	l_out-8	8	linear_gated_deltanet	ffn	0.000585	0.001335	0.000750	0.999999	ffn_out-8	0.011704	0.999932
p4	0	attn_residual-9	9	linear_gated_deltanet	mixer	0.001335	0.001532	0.000197	0.999999	linear_attn_out-9	0.015223	0.999886
p4	0	l_out-9	9	linear_gated_deltanet	ffn	0.001532	0.001957	0.000425	0.999998	ffn_out-9	0.015595	0.999878
p4	0	attn_residual-10	10	linear_gated_deltanet	mixer	0.001957	0.003315	0.001358	0.999995	linear_attn_out-10	0.025428	0.999681
p4	0	l_out-10	10	linear_gated_deltanet	ffn	0.003315	0.003629	0.000314	0.999993	ffn_out-10	0.020899	0.999782
p4	0	attn_residual-11	11	full_attention	mixer	0.003629	0.016150	0.012521	0.999870	attn_output-11	0.021645	0.999768
