pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.998306	2614	2614	True	0.957760	1.268937	1	0.000000
1	3841	0.997675	321	321	True	0.891437	0.844052	1	0.000000
2	13477	0.998287	627	37550	False	1.442282	0.538606	2	0.197060
3	37550	0.998429	321	321	True	1.108870	0.095097	1	0.000000
4	33075	0.994626	888	888	True	1.185140	0.573793	1	0.000000
5	888	0.999265	279	279	True	0.980358	0.447659	1	0.000000
6	279	0.999416	15740	15740	True	0.734352	0.562495	1	0.000000
7	15217	0.999407	5388	5388	True	1.006050	0.505071	1	0.000000
8	5388	0.998650	13	13	True	0.836636	1.486877	1	0.000000
9	1345	0.999507	279	279	True	0.641678	2.345150	1	0.000000
10	279	0.999665	15217	15217	True	0.549472	1.075686	1	0.000000
11	12433	0.999230	369	369	True	0.559857	0.972281	1	0.000000
12	21250	0.999351	279	279	True	0.653819	2.946262	1	0.000000
13	34227	0.999386	34129	34129	True	0.493322	0.894373	1	0.000000
14	36165	0.999466	314	314	True	0.528485	0.224792	1	0.000000
15	23497	0.999188	13	13	True	0.580542	0.284571	1	0.000000
16	883	0.999615	279	279	True	0.485052	1.324366	1	0.000000
17	31108	0.999515	4649	4649	True	0.582644	4.254642	1	0.000000
18	4649	0.999446	13	13	True	0.517030	1.361080	1	0.000000
19	5638	0.999356	13	13	True	0.664825	1.242521	1	0.000000
20	11	0.998983	321	321	True	0.575436	0.601484	1	0.000000
21	4098	0.997915	3808	3808	True	0.852735	0.047510	1	0.000000
22	23122	0.997029	11	11	True	1.080167	0.068985	1	0.000000
23	11	0.998310	321	321	True	0.941153	3.960773	1	0.000000
24	15167	0.999159	3741	3741	True	0.566262	0.395866	1	0.000000
25	47410	0.998903	11	11	True	0.619423	2.575598	1	0.000000
26	11	0.999374	321	321	True	0.552847	3.184061	1	0.000000
27	9966	0.998140	1954	1954	True	0.673747	0.559313	1	0.000000
28	1452	0.998164	795	28758	False	0.904695	0.219327	2	0.216549
29	6326	0.999376	11	11	True	0.689524	1.586199	1	0.000000
30	61369	0.999118	11	11	True	0.528745	3.086218	1	0.000000
31	11	0.999582	321	321	True	0.470036	2.659625	1	0.000000
32	321	0.999281	279	279	True	0.636062	0.003461	1	0.000000
33	279	0.999413	491	491	True	0.649871	0.705774	1	0.000000
