pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999363	2614	2614	True	0.551347	1.268937	1	0.000000
1	3841	0.998801	321	321	True	0.708111	0.844052	1	0.000000
2	13477	0.998660	627	37550	False	1.296777	0.538606	2	0.085622
3	37550	0.999033	321	321	True	0.772788	0.095097	1	0.000000
4	33075	0.999221	888	888	True	0.557725	0.573793	1	0.000000
5	888	0.999550	279	279	True	0.593271	0.447659	1	0.000000
6	279	0.999484	15740	15740	True	0.722931	0.562495	1	0.000000
7	15217	0.999661	5388	5388	True	0.769789	0.505071	1	0.000000
8	5388	0.999160	13	13	True	0.592945	1.486877	1	0.000000
9	1345	0.999666	279	279	True	0.482250	2.345150	1	0.000000
10	279	0.999555	15217	15217	True	0.613713	1.075686	1	0.000000
11	12433	0.999202	369	369	True	0.574798	0.972281	1	0.000000
12	21250	0.999433	279	279	True	0.602164	2.946262	1	0.000000
13	34227	0.999491	34129	34129	True	0.452439	0.894373	1	0.000000
14	36165	0.999168	314	314	True	0.612066	0.224792	1	0.000000
15	23497	0.999386	13	13	True	0.505519	0.284571	1	0.000000
16	883	0.999632	279	279	True	0.488568	1.324366	1	0.000000
17	31108	0.999580	4649	4649	True	0.512819	4.254642	1	0.000000
18	4649	0.999355	13	13	True	0.580932	1.361080	1	0.000000
19	5638	0.999434	13	13	True	0.565247	1.242521	1	0.000000
20	11	0.999154	321	321	True	0.572483	0.601484	1	0.000000
21	4098	0.999320	3808	3808	True	0.491798	0.047510	1	0.000000
22	23122	0.999071	11	11	True	0.564103	0.068985	1	0.000000
23	11	0.999373	321	321	True	0.537283	3.960773	1	0.000000
24	15167	0.999184	3741	3741	True	0.571335	0.395866	1	0.000000
25	47410	0.999188	11	11	True	0.586715	2.575598	1	0.000000
26	11	0.999559	321	321	True	0.522528	3.184061	1	0.000000
27	9966	0.998858	1954	1954	True	0.504477	0.559313	1	0.000000
28	1452	0.999347	795	795	True	0.570037	0.219327	1	0.000000
29	6326	0.999224	11	11	True	0.636228	1.586199	1	0.000000
30	61369	0.997685	11	11	True	0.696927	3.086218	1	0.000000
31	11	0.999538	321	321	True	0.488900	2.659625	1	0.000000
32	321	0.999483	279	279	True	0.508535	0.003461	1	0.000000
33	279	0.999378	491	491	True	0.520364	0.705774	1	0.000000
34	26984	0.999114	314	314	True	0.527411	5.711441	1	0.000000
35	314	0.999484	29144	29144	True	0.583757	0.498816	1	0.000000
36	638	0.999053	57695	57695	True	0.634277	0.082584	1	0.000000
37	37309	0.998908	290	290	True	0.625743	0.527246	1	0.000000
38	290	0.999668	14791	14791	True	0.518911	0.897193	1	0.000000
39	42903	0.999391	13	13	True	0.543531	2.403467	1	0.000000
40	3808	0.999495	279	279	True	0.530523	0.709667	1	0.000000
41	2943	0.999447	3478	3478	True	0.509732	0.088477	1	0.000000
42	94408	0.999595	795	795	True	0.448163	0.619682	1	0.000000
43	17882	0.999246	13	13	True	0.512425	1.537853	1	0.000000
44	26	0.999333	279	279	True	0.533273	0.733370	1	0.000000
45	1396	0.998982	13340	13340	True	0.813277	1.454701	1	0.000000
46	13901	0.998345	314	314	True	0.742093	0.166388	1	0.000000
47	557	0.999441	5158	5158	True	0.454542	0.346426	1	0.000000
48	47193	0.999086	11	11	True	0.609909	0.193302	1	0.000000
49	11	0.999262	1396	1396	True	0.601904	0.312996	1	0.000000
50	1396	0.998698	11316	11316	True	0.624234	1.428858	1	0.000000
51	1898	0.998954	557	557	True	0.619690	1.553385	1	0.000000
52	557	0.998749	28853	28853	True	0.658372	0.383495	1	0.000000
53	21197	0.999194	11	11	True	0.513555	2.349535	1	0.000000
54	11	0.999222	321	321	True	0.492668	1.323093	1	0.000000
55	321	0.998905	1396	1396	True	0.586774	0.660906	1	0.000000
56	279	0.999259	4307	4307	True	0.606474	0.732954	1	0.000000
57	1830	0.999098	557	557	True	0.547207	0.913984	1	0.000000
58	9202	0.999122	440	440	True	0.570602	4.194492	1	0.000000
59	440	0.999450	264	264	True	0.535226	1.790039	1	0.000000
60	264	0.999482	1562	1562	True	0.566039	0.414511	1	0.000000
61	50802	0.999202	314	314	True	0.575180	1.591698	1	0.000000
62	314	0.999430	279	279	True	0.515016	0.235317	1	0.000000
63	50614	0.999297	34129	34129	True	0.508237	0.110952	1	0.000000
64	39663	0.999195	3470	3470	True	0.820979	1.762848	1	0.000000
65	22188	0.998979	7123	7123	True	0.682666	0.701460	1	0.000000
66	7123	0.999125	13	13	True	0.551950	1.642151	1	0.000000
67	421	0.999313	998	998	True	0.624773	0.255692	1	0.000000
68	995	0.999267	978	978	True	0.581731	1.577387	1	0.000000
69	310	0.999317	381	381	True	0.604756	2.110310	1	0.000000
70	1440	0.999117	1518	1518	True	0.616364	1.107395	1	0.000000
71	1518	0.999481	279	279	True	0.570763	1.305916	1	0.000000
72	279	0.999294	1534	1534	True	0.695675	0.277332	1	0.000000
73	4722	0.999459	13	13	True	0.605971	0.345818	1	0.000000
74	1362	0.999422	381	381	True	0.600844	1.532063	1	0.000000
75	381	0.999586	11454	11454	True	0.574439	1.829817	1	0.000000
76	35883	0.999396	430	430	True	0.566168	0.692074	1	0.000000
77	13	0.999365	271	198	False	0.434337	0.010229	2	0.038027
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.997685
summary	min_cosine_pos	30
summary	mean_cosine	0.999249
summary	median_cosine	0.999305
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[2, 77]
summary	n_argmax_mismatches	2
summary	max_abs_diff	1.296777
summary	max_abs_diff_pos	2
