pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	784	0.997800	1407	1407	True	1.333495	1.802197	1	0.000000
1	1407	0.998138	476	476	True	1.180561	4.920080	1	0.000000
2	476	0.998488	12143	12143	True	0.735034	0.562145	1	0.000000
3	49416	0.999008	476	476	True	0.753603	2.157814	1	0.000000
4	476	0.998354	17945	17945	True	0.838670	0.470293	1	0.000000
5	17945	0.999070	26	26	True	0.867553	7.532927	1	0.000000
6	26	0.999082	271	271	True	0.856138	0.566189	1	0.000000
7	271	0.997764	2490	2490	True	0.918868	2.738365	1	0.000000
8	2490	0.999408	57833	57833	True	0.744931	0.105812	1	0.000000
9	4356	0.999176	279	279	True	0.589403	2.567986	1	0.000000
10	1204	0.998993	1599	1599	True	0.606616	5.788113	1	0.000000
11	3428	0.999260	1754	1754	True	0.560088	0.292850	1	0.000000
12	1754	0.999378	3299	3299	True	0.507771	0.061808	1	0.000000
13	3299	0.999085	7701	7701	True	0.725117	1.850462	1	0.000000
14	7701	0.999169	303	303	True	0.650669	3.356358	1	0.000000
15	11	0.998876	321	321	True	0.643436	0.475843	1	0.000000
16	29890	0.999572	1105	1105	True	0.565277	1.646339	1	0.000000
17	1105	0.999147	321	321	True	0.727463	0.334692	1	0.000000
18	13	0.999187	198	198	True	0.711833	5.881275	1	0.000000
19	198	0.997582	2490	2490	True	0.959989	3.831697	1	0.000000
20	9299	0.999064	5003	5003	True	0.792274	3.531120	1	0.000000
21	5003	0.999192	1698	1698	True	0.611143	0.971247	1	0.000000
22	3299	0.999090	3079	3079	True	0.653043	0.791653	1	0.000000
23	25146	0.999153	5216	5216	True	0.755507	0.649096	1	0.000000
24	7008	0.998281	25	25	True	0.782187	7.484005	1	0.000000
25	25	0.998802	594	594	True	0.832036	5.537678	1	0.000000
26	594	0.998435	485	485	True	0.721002	8.411139	1	0.000000
27	485	0.998040	8	8	True	0.761779	4.004787	1	0.000000
28	8	0.997980	1411	1411	True	0.990325	5.688381	1	0.000000
29	1411	0.999122	10215	10215	True	0.844585	4.673512	1	0.000000
30	10215	0.998692	3353	3353	True	0.672994	3.353937	1	0.000000
31	3353	0.998036	11	11	True	1.097663	5.727127	1	0.000000
32	11	0.999184	21609	21609	True	0.775954	0.851151	1	0.000000
33	21609	0.999070	29	29	True	0.829414	8.333767	1	0.000000
34	29	0.998896	313	313	True	0.768254	9.710321	1	0.000000
35	313	0.998908	198	198	True	0.788476	10.762125	1	0.000000
36	198	0.998540	262	262	True	0.852745	9.319971	1	0.000000
37	262	0.999123	1042	1042	True	0.781992	1.089060	1	0.000000
38	1042	0.999331	5041	5041	True	0.759992	2.023800	1	0.000000
39	5041	0.999146	3299	3299	True	0.868866	0.278076	1	0.000000
40	14159	0.999050	25	25	True	0.660773	0.361156	1	0.000000
41	283	0.999192	10215	10215	True	0.788555	6.102695	1	0.000000
42	10215	0.998163	476	476	True	0.842682	4.557734	1	0.000000
43	476	0.997695	902	902	True	0.912890	7.099195	1	0.000000
44	902	0.997312	2061	2061	True	1.103253	8.335865	1	0.000000
45	2061	0.998371	198	198	True	0.767196	1.842173	1	0.000000
46	198	0.997024	262	262	True	0.769236	1.610775	1	0.000000
47	262	0.999052	1042	1042	True	0.831715	0.900991	1	0.000000
48	364	0.999235	3299	3299	True	0.854590	1.016773	1	0.000000
49	3299	0.998415	303	303	True	0.950510	6.440695	1	0.000000
50	303	0.998996	1414	1414	True	0.920125	5.063011	1	0.000000
51	1414	0.998738	5121	5121	True	0.856802	2.355207	1	0.000000
52	5121	0.997348	83201	83201	True	1.095024	3.189905	1	0.000000
53	83201	0.997960	363	363	True	0.873414	4.574183	1	0.000000
54	363	0.998506	313	313	True	1.010159	8.913967	1	0.000000
55	313	0.998101	198	198	True	1.001132	9.786732	1	0.000000
56	198	0.998573	285	285	True	0.662260	9.265623	1	0.000000
57	285	0.998992	1042	1042	True	0.683043	0.094721	1	0.000000
58	1042	0.999270	3299	3299	True	0.671005	0.853615	1	0.000000
59	1328	0.998198	283	283	True	0.900810	2.798178	1	0.000000
60	283	0.998959	3299	3299	True	0.914054	2.961243	1	0.000000
61	3299	0.998838	2312	2312	True	0.836476	2.458452	1	0.000000
62	15937	0.998308	973	973	True	0.919223	0.885721	1	0.000000
63	37072	0.998034	482	482	True	0.959984	1.209467	1	0.000000
64	21729	0.998938	66	66	True	0.730655	2.321016	1	0.000000
65	66	0.998867	91	91	True	0.985712	1.564032	1	0.000000
66	25	0.999216	1122	1122	True	0.874519	2.829779	1	0.000000
67	1122	0.998906	91	91	True	0.769843	3.969162	1	0.000000
68	91	0.999208	272	272	True	0.746818	2.120956	1	0.000000
69	729	0.998650	66	66	True	0.780275	2.685089	1	0.000000
70	66	0.999209	2011	2011	True	0.695417	7.129160	1	0.000000
71	2011	0.998867	48551	48551	True	0.678811	0.024363	1	0.000000
72	8158	0.998704	63569	63569	True	0.790321	0.536388	1	0.000000
73	63569	0.997920	13039	13039	True	0.798108	1.430027	1	0.000000
74	5822	0.998705	951	951	True	0.780796	3.864424	1	0.000000
75	951	0.998016	89923	89923	True	0.905873	0.467693	1	0.000000
76	89923	0.998681	2061	2061	True	0.673272	3.577009	1	0.000000
77	2061	0.998459	198	198	True	0.796612	6.129545	1	0.000000
78	198	0.998629	285	285	True	0.663354	8.573599	1	0.000000
79	285	0.998945	14159	14159	True	0.674890	0.384109	1	0.000000
80	413	0.998736	1042	1042	True	0.730883	0.851831	1	0.000000
81	1328	0.998927	2011	2011	True	0.764256	1.083036	1	0.000000
82	2011	0.998423	14683	14683	True	0.754684	5.378649	1	0.000000
83	14683	0.998690	363	363	True	0.719602	6.773155	1	0.000000
84	363	0.998827	313	313	True	0.759931	4.029486	1	0.000000
85	313	0.998431	198	198	True	0.839115	3.606478	1	0.000000
86	198	0.998614	309	309	True	0.662083	7.161444	1	0.000000
