pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.995284	87	6972	False	1.355890	0.050667	2	0.092492
1	91	0.965119	8678	16	False	4.198368	0.215542	2	0.141383
2	316	0.982522	91	3330	False	3.112435	0.393979	2	0.861171
3	4747	0.986873	91	91	True	2.129159	0.285385	1	0.000000
4	91	0.986052	29	29	True	2.003489	0.319860	1	0.000000
5	29	0.988105	198	198	True	1.967830	0.338240	1	0.000000
6	8678	0.996367	91	59348	False	1.442103	0.684963	3	0.074310
7	198	0.994006	27	27	True	1.231953	1.022400	1	0.000000
8	2523	0.998490	513	513	True	0.951527	3.144424	1	0.000000
9	513	0.999197	264	264	True	1.025615	0.134672	1	0.000000
10	264	0.999509	10631	10631	True	0.658333	1.482847	1	0.000000
11	61446	0.999357	11	11	True	0.630949	0.340261	1	0.000000
12	17313	0.999303	13	13	True	0.672266	0.123886	1	0.000000
13	852	0.999093	628	628	True	0.698933	0.185287	1	0.000000
14	10926	0.998940	279	279	True	0.579867	0.320271	1	0.000000
15	303	0.999218	264	264	True	0.580682	0.526106	1	0.000000
16	13983	0.999127	1414	1414	True	0.734394	2.420572	1	0.000000
17	6163	0.998519	13	13	True	0.689057	0.538858	1	0.000000
18	15294	0.991990	316	316	True	1.420003	3.435087	1	0.000000
19	91	0.989016	316	316	True	1.712123	4.248890	1	0.000000
20	316	0.991555	4747	6018	False	1.818157	0.851765	2	0.276590
21	6018	0.985039	91	91	True	2.072799	5.256283	1	0.000000
22	91	0.989525	29	29	True	1.649643	3.008883	1	0.000000
23	29	0.993882	198	198	True	1.181966	1.513468	1	0.000000
24	198	0.990687	27	27	True	1.613218	0.176693	1	0.000000
25	27	0.989970	316	316	True	1.680023	1.544184	1	0.000000
26	91	0.990513	316	316	True	1.469760	1.234802	1	0.000000
27	316	0.995167	4747	4747	True	1.117847	6.387783	1	0.000000
28	4747	0.993657	91	91	True	1.257745	5.901804	1	0.000000
29	91	0.992523	29	29	True	1.419785	4.246975	1	0.000000
30	29	0.996445	8678	8678	True	1.062743	1.263115	1	0.000000
31	846	0.996685	198	198	True	1.237778	4.613583	1	0.000000
32	198	0.998489	27	3710	False	0.726269	0.266768	2	0.081791
33	4888	0.997558	4099	4099	True	0.829333	0.593904	1	0.000000
34	19666	0.998037	67	67	True	0.721000	2.392404	1	0.000000
35	67	0.997220	1336	1336	True	1.274479	3.753537	1	0.000000
36	1336	0.999232	25844	25844	True	0.829525	0.717550	1	0.000000
37	25844	0.998909	369	369	True	0.922095	1.027708	1	0.000000
38	47965	0.999527	1040	1040	True	0.541030	2.933276	1	0.000000
39	1040	0.999751	15530	15530	True	0.486657	0.226417	1	0.000000
40	29977	0.999516	42572	42572	True	0.688672	3.657007	1	0.000000
41	42572	0.999522	73639	73639	True	0.804623	2.146461	1	0.000000
42	73639	0.999284	13	13	True	0.879755	0.713385	1	0.000000
43	321	0.999383	369	369	True	0.594791	0.142793	1	0.000000
44	682	0.999293	264	264	True	0.570402	1.403257	1	0.000000
45	264	0.999500	3619	3619	True	0.594437	0.186508	1	0.000000
46	19177	0.999386	786	786	True	0.609593	2.209716	1	0.000000
47	14058	0.999324	13	13	True	0.707658	0.212553	1	0.000000
48	383	0.999497	279	279	True	0.555578	0.080954	1	0.000000
49	1844	0.998991	314	314	True	0.649693	0.378542	1	0.000000
