label	pos	token_id	tensor	layer	layer_type	llama_l2	apr_l2	cos	max_abs_diff	rel_l2	status	note
p4	0	27	model.input_embed	-1	-	0.684652	0.684652	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	0	27	attn_norm-0	0	linear_gated_deltanet	39.371527	39.371527	1.000000	0.000000	0.000000	measured	
p4	0	27	conv_output_silu-0	0	linear_gated_deltanet	6.474948	6.474948	1.000000	0.000000	0.000000	measured	
p4	0	27	q_conv_predelta-0	0	linear_gated_deltanet	3.999995	3.999995	1.000000	0.000000	0.000000	measured	
p4	0	27	k_conv_predelta-0	0	linear_gated_deltanet	3.999880	3.999880	1.000000	0.000000	0.000000	measured	
p4	0	27	v_conv_predelta-0	0	linear_gated_deltanet	3.468642	3.468642	1.000000	0.000000	0.000000	measured	
p4	0	27	a_softplus-0	0	linear_gated_deltanet	11.600341	11.600341	1.000000	0.000000	0.000000	measured	
p4	0	27	gate-0	0	linear_gated_deltanet	6.722622	6.722622	1.000000	0.000000	0.000000	measured	
p4	0	27	beta_sigmoid-0	0	linear_gated_deltanet	2.798006	2.798006	1.000000	0.000000	0.000000	measured	
p4	0	27	state_predelta-0	0	linear_gated_deltanet	0.000000	0.000000	nan	0.000000	nan	measured	apr [h][j][i] transposed to [h][i][j]: cos=nan max_abs=0.000000e+00 rel_l2=nan
p4	0	27	new_state-0	0	linear_gated_deltanet	2.119529	2.119529	1.000000	0.000000	0.000000	measured	apr [h][j][i] transposed to [h][i][j]: cos=0.002382 max_abs=4.511856e-01 rel_l2=1.412528
p4	0	27	attn_output-0	0	linear_gated_deltanet	0.025128	0.025128	1.000000	0.000000	0.000000	measured	
p4	0	27	z-0	0	linear_gated_deltanet	40.030019	40.030019	1.000000	0.000000	0.000000	measured	
p4	0	27	final_output-0	0	linear_gated_deltanet	4.036852	4.036853	1.000000	0.000001	0.000000	measured	
p4	0	27	linear_attn_out-0	0	linear_gated_deltanet	0.994760	0.994760	1.000000	0.000000	0.000001	measured	
p4	0	27	attn_residual-0	0	linear_gated_deltanet	1.035879	1.035880	1.000000	0.000000	0.000001	measured	
p4	0	27	attn_post_norm-0	0	linear_gated_deltanet	33.099266	33.099265	1.000000	0.000003	0.000001	measured	
p4	0	27	ffn_out-0	0	linear_gated_deltanet	1.422030	1.422030	1.000000	0.000000	0.000000	measured	
p4	0	27	l_out-0	0	linear_gated_deltanet	1.865567	1.865567	1.000000	0.000000	0.000001	measured	
p4	0	27	attn_norm-1	1	linear_gated_deltanet	46.003745	46.003748	1.000000	0.000003	0.000001	measured	
