weight	qtype	elem	x_value	in_rel_l2	out_rel_l2	amplification	out_bit_equal	n_out
blk.0.attn_qkv.weight	13	0	0.804404795	1.513902e-09	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	1	0.729148924	1.513902e-09	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	2	1.48186445	3.027805e-09	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	3	-1.96639264	3.027805e-09	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	100	0.0918755159	1.892378e-10	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	511	-0	3.559167e-47	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	1023	-1.62552917	3.027805e-09	0.000000e+00	0.000	6144	6144
blk.0.attn_qkv.weight	13	723	-4.75267267	1.211122e-08	1.144546e-07	9.450	2075	6144
blk.0.attn_qkv.weight	13	17	0	3.559167e-47	0.000000e+00	0.000	6144	6144
blk.0.attn_gate.weight	12	0	0.804404795	1.513902e-09	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	1	0.729148924	1.513902e-09	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	2	1.48186445	3.027805e-09	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	3	-1.96639264	3.027805e-09	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	100	0.0918755159	1.892378e-10	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	511	-0	3.559167e-47	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	1023	-1.62552917	3.027805e-09	0.000000e+00	0.000	2048	2048
blk.0.attn_gate.weight	12	723	-4.75267267	1.211122e-08	1.503232e-07	12.412	691	2048
blk.0.attn_gate.weight	12	17	0	3.559167e-47	0.000000e+00	0.000	2048	2048
