op	kind	n	seed	in_fnv	g_fnv	out_fnv	max_bits	sum_bits	out_first4_bits
silu	0	1	0x30910000	0x01bef93f96708b7d	0x27e6ca602ba5079e	0x7c20ee5aedbfbbb2	0xff800000	0x0000000000000000	4017ccfc
silu	0	3	0x30910001	0x99e7563dc261383c	0x5a59a1f52303acf5	0xd3531a167641e07b	0xff800000	0x0000000000000000	be8d52de,be8d1950,be2af5d6
silu	0	4	0x30910002	0x5c52d6be3bdf4764	0x92b051d59f9c00bd	0x00bb07c112a467d2	0xff800000	0x0000000000000000	be849335,bd10e5a5,be8e9272,bd032e2e
silu	0	5	0x30910003	0xbfeddae22f3020e7	0x1abf9b3fc99fd2bc	0xed49f49f33249e21	0xff800000	0x0000000000000000	408f88aa,bddaa1e2,40fd8a62,40fe5b9e
silu	0	255	0x30910004	0xb56e5a64241a7d59	0x8774f62dffdbe33a	0xb3f015011a24662c	0xff800000	0x0000000000000000	bc1852d8,4011356f,3d8120bd,be06a31c
silu	0	256	0x30910005	0x3510870ebdf3a9b9	0x621aaffbd347e775	0x1435e0e3e45124db	0xff800000	0x0000000000000000	40f584e7,bda09549,40b74e19,be71522b
silu	0	6144	0x30910006	0x81eb06c0a225ed4a	0x92e301f8979de122	0x5ad38e7746a66697	0xff800000	0x0000000000000000	3f5829f5,40826c3f,be1ba0a0,40a5a21d
silu	1	1	0x30910007	0xf138d2dcaff0048d	0x6b5cb001e8ea18d3	0x2366ec68e8fa6677	0xff800000	0x0000000000000000	b07565dc
silu	1	3	0x30910008	0xe1163d467817ae08	0x99443551eb824982	0xcdd9a48dab732c5e	0xff800000	0x0000000000000000	42010baf,b695e39b,3fde595b
silu	1	4	0x30910009	0x9df1ff57d9b34232	0x748b0d69edf05947	0xdc63bb8c0218ec76	0xff800000	0x0000000000000000	ace8ec0f,420f8cbf,af009863,bb147fec
silu	1	5	0x3091000a	0x2cc025463a8d99eb	0x18d926e7a54edb50	0x69c2f88624570df8	0xff800000	0x0000000000000000	be890bf5,4204704d,414a26c0,41ce6fe9
silu	1	255	0x3091000b	0x0ccb0b0b618a2811	0x4cd2ac6841988cfa	0x97e982c18b55b002	0xff800000	0x0000000000000000	3fcece9b,ac4df2da,413f4437,b94b36de
silu	1	256	0x3091000c	0xe83644d0c79395d8	0xf99a7c7233c8ffe3	0x5a165fb09d21d6ec	0xff800000	0x0000000000000000	41c4ff74,b09bb1eb,41bd3cec,ab3560cc
silu	1	6144	0x3091000d	0xa7e1779577d6df58	0xd58a8d17522758f3	0x198f545c63a81d24	0xff800000	0x0000000000000000	4183c9cf,aa57849b,41f66fd8,afaea2fe
silu	2	1	0x3091000e	0x4d25767f9dce13f5	0x78891fcaeaf9a01c	0x4d25767f9dce13f5	0xff800000	0x0000000000000000	00000000
silu	2	3	0x3091000f	0x5cfb6f931f257684	0x90adfa37ea246a10	0xfcf61b9b755b3315	0xff800000	0x0000000000000000	00000000,80000000,00000000
silu	2	4	0x30910010	0x53f4d5ee5ec9f3d5	0x120223348660a9ae	0xd2f5f0ef13853465	0xff800000	0x0000000000000000	00000000,80000000,00000000,80000000
silu	2	5	0x30910011	0x30274970bb7935fc	0x5a167ad9ed552e3f	0x4d2f2315a7bebfed	0xff800000	0x0000000000000000	00000000,80000000,00000000,80000000
silu	2	255	0x30910012	0xd88a4240020920e6	0x2766e47382b1b0ab	0xc0bbc1fd5190cb85	0xff800000	0x0000000000000000	00000000,80000000,00000000,80000000
silu	2	256	0x30910013	0xc607456aa775af9b	0xb5eb7d1ba8a605dc	0xe02e8cf551a2f33d	0xff800000	0x0000000000000000	00000000,80000000,00000000,80000000
silu	2	6144	0x30910014	0x347cca9ed043f412	0x8c4781c30075dba5	0x45067eb06136e126	0xff800000	0x0000000000000000	00000000,80000000,00000000,80000000
silu	4	1	0x30910015	0x968b70ba7d765acd	0x5c1700ad07423dbc	0x968b70ba7d765acd	0xff800000	0x0000000000000000	43391b09
silu	4	3	0x30910016	0x85b3abd38b2f3329	0x3d9294c9339e8e5a	0xf90007d838260e84	0xff800000	0x0000000000000000	42831e84,426e22f0,80000000
silu	4	4	0x30910017	0x89ea11973e529455	0xb0cdfec69be3ef1b	0xe1036071dd46460f	0xff800000	0x0000000000000000	80000000,4320666a,a8a56f16,428efab3
silu	4	5	0x30910018	0x8bdac65bef31096a	0xc793bfc90a233122	0xa66f76304fd0c30d	0xff800000	0x0000000000000000	4255bc74,42afff4f,41565815,42d38aaa
silu	4	255	0x30910019	0x01a5e11cb1efb94a	0x19b6d86b0435150c	0xe8f8f47f15b9c700	0xff800000	0x0000000000000000	42e4b606,42f3cb44,80000000,42349627
silu	4	256	0x3091001a	0x567dea0a89404165	0x744d6e8722f62a75	0xc4a41b5eca36781b	0xff800000	0x0000000000000000	42b39382,43441966,43443fa0,42af1f7e
silu	4	6144	0x3091001b	0x638ea79173bfa3f2	0x64e87c6817222313	0x8d5337385150c71e	0xff800000	0x0000000000000000	9779ef94,87984588,42c4269d,80000000
swiglu	0	1	0x3091001c	0xdc24faa9588de521	0xdc65a3ccd70173cb	0xac30f546c6c45392	0xff800000	0x0000000000000000	4037d018
swiglu	0	3	0x3091001d	0x2691a8374eb1108d	0xbc887d9a03754576	0x4ed49e56f676db62	0xff800000	0x0000000000000000	3c03bffd,401efe3a,40aca23c
swiglu	0	4	0x3091001e	0x123add659c79e0b7	0x983bacea398136d5	0xdab47f21a74f563d	0xff800000	0x0000000000000000	3d9909ae,c0a27f0b,bc0d7583,3dbbd5f1
swiglu	0	5	0x3091001f	0xe19d32c459faa130	0xad56d2039da3a9ce	0xb53cc12cfc2ab920	0xff800000	0x0000000000000000	bdfba51b,40002dbb,c01a9519,3fdd0144
swiglu	0	255	0x30910020	0x5baf3c845a335522	0x364f32a6eb928cb4	0xd45d1cc35619f7bc	0xff800000	0x0000000000000000	3daa8056,3d20476d,bc4ca604,40849604
swiglu	0	256	0x30910021	0xb162984228de17d2	0xb305222e8fde4957	0xd965f7168d570b32	0xff800000	0x0000000000000000	3fa69704,c139d3fa,3c44b094,3e140e25
swiglu	0	6144	0x30910022	0x22ba96df4408296a	0xc660dbed963fae99	0x0e69dcac6953c3be	0xff800000	0x0000000000000000	3f5c72c6,3f747107,be007465,3e80804e
swiglu	1	1	0x30910023	0x6e054f34e28240af	0xa1dc7926a900db45	0x1b587e5529579676	0xff800000	0x0000000000000000	c0357559
swiglu	1	3	0x30910024	0x32cdd1b9197d2b27	0x4064a197e7d6d1fc	0xeea89edff24cb29d	0xff800000	0x0000000000000000	400fd2c2,b89d7825,418edc9a
swiglu	1	4	0x30910025	0xe033f0920463db03	0xd21da067fffa50d2	0xb7a02923729f6cc0	0xff800000	0x0000000000000000	41b8cc4e,c1c54d2e,41ff2877,41f7b3f9
swiglu	1	5	0x30910026	0xea35ab97a65b2728	0xd9739a356ed565d5	0x487a60ce111fb079	0xff800000	0x0000000000000000	a5cd6ac3,413e4df4,3553b669,b9cbcf07
swiglu	1	255	0x30910027	0x68c13bfc0780334f	0xcaba3fc7d8c8d7cd	0x211b01aea8625a32	0xff800000	0x0000000000000000	40eb5599,3ea1681e,3edd45a5,ba87b697
swiglu	1	256	0x30910028	0x1d92e8fd29504ecb	0xc267d97a33345c1a	0xbfff33effee7f4cb	0xff800000	0x0000000000000000	b2cdcd4b,be9c63bb,3600eb10,38bec1b0
swiglu	1	6144	0x30910029	0x50460dfdf68f94a3	0x8f50e151f4c356c6	0x28d52eb630645cbe	0xff800000	0x0000000000000000	af8006e4,411f2b77,266c2874,405eef10
swiglu	2	1	0x3091002a	0x4d25767f9dce13f5	0x7f028507619f889f	0x4d24f67f9dcd3a75	0xff800000	0x0000000000000000	80000000
swiglu	2	3	0x3091002b	0x5cfb6f931f257684	0xd0f4c77304f5eedd	0x9f3d020fcf955b15	0xff800000	0x0000000000000000	80000000,00000000,00000000
swiglu	2	4	0x3091002c	0x53f4d5ee5ec9f3d5	0x3c46671d980f5808	0xed2bfc1ed19adae5	0xff800000	0x0000000000000000	80000000,80000000,80000000,00000000
swiglu	2	5	0x3091002d	0x30274970bb7935fc	0x87d31c27c5efff44	0x51f9fea1b087667d	0xff800000	0x0000000000000000	00000000,00000000,00000000,00000000
swiglu	2	255	0x3091002e	0xd88a4240020920e6	0x5faea485828147bd	0x8563720753bd488b	0xff800000	0x0000000000000000	00000000,80000000,80000000,80000000
swiglu	2	256	0x3091002f	0xc607456aa775af9b	0xd7e17c5268f43ef6	0x4302588338ab9275	0xff800000	0x0000000000000000	80000000,80000000,80000000,00000000
swiglu	2	6144	0x30910030	0x347cca9ed043f412	0xd79042f83158aaa6	0x2a38c5cab09bd98e	0xff800000	0x0000000000000000	00000000,80000000,80000000,00000000
swiglu	4	1	0x30910031	0x9906fc0325b712bf	0x6054769dba835cd7	0xc20355bf0b14ffb9	0xff800000	0x0000000000000000	4318364f
swiglu	4	3	0x30910032	0xd6141cc4137979cb	0xfd52b7f8e512399b	0xb3a99b2c26020832	0xff800000	0x0000000000000000	a5754647,4229d36d,163f8a60
swiglu	4	4	0x30910033	0xaaf4192338fa11f2	0x407a591bdb076ad3	0xd74f49165c72809a	0xff800000	0x0000000000000000	c342584b,23ef3d90,b17d8ed4,350df9c7
swiglu	4	5	0x30910034	0x1baedf641752b52e	0x6193ea03403e0d23	0xbb6212f66f2e1ef8	0xff800000	0x0000000000000000	42d2a887,c2c719a1,2d9a7184,80000000
swiglu	4	255	0x30910035	0x91c7d5c2bbddb514	0x1e622b8c950d634a	0xd0bb79b7027aca88	0xff800000	0x0000000000000000	c0fd4f42,c2d1f5f3,b9e2b4fe,c3aec8d0
swiglu	4	256	0x30910036	0x2ee85082fded36c9	0xcaff981edc6924e4	0x0ba0caeb2c976bd4	0xff800000	0x0000000000000000	430dddbe,436ee819,80000000,b9b4cd7a
swiglu	4	6144	0x30910037	0xa02555dc8b8d531a	0x01154109dea38270	0x23595ef9e568aa24	0xff800000	0x0000000000000000	42f40ac0,41fa1885,40a4df6e,c2dfc4c1
soft_max	0	1	0x30910038	0x9ee91c330e4bfdf9	0x124483e9e51b5aab	0x4b72477f9c5c2f98	0xc0dd6dd6	0x3ff0000000000000	3f800000
soft_max	0	3	0x30910039	0xb20935815c2452c4	0xbf9cf2c198f18960	0x5bf5d4e95a05791d	0x403741e0	0x3ff46a7d37800000	3cea4467,3e7d56c1,3f800000
soft_max	0	4	0x3091003a	0xe46e0c6207ea9557	0x5dc5b8143fbe5ae0	0x049274ca12b2d65f	0x3f237fe0	0x3ff0c7a363800000	3d2b41ad,3b6a3e99,3f800000,3b5bdccf
soft_max	0	5	0x3091003b	0x4440e51b584738b4	0x482cd9a18aa42f5e	0x72161ff503d78df0	0x4098991a	0x3ff03ea5d22c8000	3f800000,392ae4ff,3b6c5bea,3c3b7f80
soft_max	0	255	0x3091003c	0xa4ae0d891337f650	0xe43c4fb51a2559d1	0x39ea44b96e2e8cc2	0x40f90082	0x40335b56798da338	3aa10ad8,3503411e,381d59ca,3b44b0dd
soft_max	0	256	0x3091003d	0xd6f05128743a403b	0x7d04d508826c8b0e	0x295563de360eb4fe	0x40fff134	0x402d29d2a8000000	363a54b2,37c43b85,3833c1c5,3a5c7574
soft_max	0	6144	0x3091003e	0x0156096f2f9e363b	0xbf0d71eb36c1ce52	0xcf94c24056bc0bf7	0x40fff374	0x4077f181f3d40000	35c7bcf5,356cafa5,3a1527bd,36bf16fa
soft_max	1	1	0x3091003f	0x7aec882bed003f51	0x6fdd48715aa91748	0x4b72477f9c5c2f98	0x41de313e	0x3ff0000000000000	3f800000
soft_max	1	3	0x30910040	0xb18bac3e047a6e28	0x10354234a3d11d8b	0xeb714f554dba7e09	0x41993646	0x3ff0000000000000	3f800000,1ac191a8,156d0a41
soft_max	1	4	0x30910041	0x30da3ea768af55a8	0x959acc9c85b7bab9	0x99812684ce3789fd	0xc0f27e34	0x3ff000000124fbfe	2e8a1525,3f800000,2dbd9973,318f9811
soft_max	1	5	0x30910042	0x7fdbe8da3f58b224	0xebf0711d39b85a9e	0xdb606d90dd662b02	0x41de0894	0x3ff00019f19a36ce	3f800000,1af1ba25,37cf8cc2,180d1685
soft_max	1	255	0x30910043	0x1b4f1b74af285cef	0x142ac0861723bf55	0xafb8bcc5a596d192	0x421e67cc	0x4014784f9cff3188	142ed32c,0f02fdda,2d555d09,1d9562b8
soft_max	1	256	0x30910044	0x6f3ba181b814f1b7	0x48111fb0d6a1efd4	0x410a20770ac36525	0x421e6b81	0x4016fc11af7e6888	21cd32dd,164e7566,3661fb5e,0fd9bc3c
