pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.999924	87	87	True	0.177371	0.050667	1	0.000000
1	91	0.996813	8678	8678	True	1.128663	0.215542	1	0.000000
2	316	0.995795	91	91	True	1.277636	0.393979	1	0.000000
3	4747	0.996532	91	91	True	1.048880	0.285385	1	0.000000
4	91	0.994056	29	16	False	1.358096	0.319860	3	0.560668
5	29	0.994119	198	198	True	1.431631	0.338240	1	0.000000
6	8678	0.997537	91	91	True	1.084020	0.684963	1	0.000000
7	198	0.997105	27	27	True	0.840922	1.022400	1	0.000000
8	2523	0.999070	513	513	True	0.693748	3.144424	1	0.000000
9	513	0.999333	264	264	True	0.885718	0.134672	1	0.000000
10	264	0.999523	10631	10631	True	0.639548	1.482847	1	0.000000
11	61446	0.999468	11	11	True	0.580519	0.340261	1	0.000000
12	17313	0.999298	13	364	False	0.527132	0.123886	2	0.018021
13	852	0.998833	628	628	True	0.762330	0.185287	1	0.000000
14	10926	0.999287	279	279	True	0.608011	0.320271	1	0.000000
15	303	0.999432	264	264	True	0.577172	0.526106	1	0.000000
16	13983	0.999265	1414	1414	True	0.739751	2.420572	1	0.000000
17	6163	0.999005	13	13	True	0.616048	0.538858	1	0.000000
18	15294	0.997632	316	316	True	0.758742	3.435087	1	0.000000
19	91	0.996926	316	316	True	0.923537	4.248890	1	0.000000
20	316	0.996150	4747	4747	True	1.407316	0.851765	1	0.000000
21	6018	0.994515	91	91	True	1.238623	5.256283	1	0.000000
22	91	0.996888	29	29	True	0.959032	3.008883	1	0.000000
23	29	0.995992	198	198	True	0.901490	1.513468	1	0.000000
24	198	0.997543	27	27	True	0.863632	0.176693	1	0.000000
25	27	0.996264	316	316	True	1.195510	1.544184	1	0.000000
26	91	0.996142	316	316	True	1.106442	1.234802	1	0.000000
27	316	0.996913	4747	4747	True	0.921964	6.387783	1	0.000000
28	4747	0.996880	91	91	True	0.846321	5.901804	1	0.000000
29	91	0.996919	29	29	True	0.962025	4.246975	1	0.000000
30	29	0.997356	8678	8678	True	0.833625	1.263115	1	0.000000
31	846	0.997788	198	198	True	0.929370	4.613583	1	0.000000
32	198	0.999011	27	27	True	0.552875	0.266768	1	0.000000
33	4888	0.999335	4099	4099	True	0.599961	0.593904	1	0.000000
34	19666	0.998566	67	67	True	0.568182	2.392404	1	0.000000
35	67	0.998675	1336	1336	True	1.004463	3.753537	1	0.000000
36	1336	0.999619	25844	25844	True	0.639322	0.717550	1	0.000000
37	25844	0.999357	369	369	True	0.642042	1.027708	1	0.000000
38	47965	0.999606	1040	1040	True	0.619532	2.933276	1	0.000000
39	1040	0.999596	15530	15530	True	0.695029	0.226417	1	0.000000
40	29977	0.999618	42572	42572	True	0.609096	3.657007	1	0.000000
41	42572	0.999624	73639	73639	True	0.670202	2.146461	1	0.000000
42	73639	0.999356	13	13	True	0.648531	0.713385	1	0.000000
43	321	0.999189	369	369	True	0.790238	0.142793	1	0.000000
44	682	0.999388	264	264	True	0.508852	1.403257	1	0.000000
45	264	0.999643	3619	3619	True	0.521749	0.186508	1	0.000000
46	19177	0.999471	786	786	True	0.557093	2.209716	1	0.000000
47	14058	0.999160	13	13	True	0.767020	0.212553	1	0.000000
48	383	0.999321	279	279	True	0.622648	0.080954	1	0.000000
49	1844	0.999077	314	314	True	0.516119	0.378542	1	0.000000
50	13	0.999386	3437	3437	True	0.686964	1.121536	1	0.000000
51	2091	0.999354	411	411	True	0.621080	0.048468	1	0.000000
52	424	0.999561	5902	5902	True	0.638474	0.139657	1	0.000000
53	44531	0.998356	30	30	True	0.721417	3.008917	1	0.000000
54	11	0.998748	466	466	True	1.069052	0.119492	1	0.000000
55	321	0.999391	1092	1092	True	0.451356	1.017006	1	0.000000
56	1092	0.999255	1220	1220	True	0.647459	1.531036	1	0.000000
57	1220	0.999508	353	353	True	0.610268	4.464081	1	0.000000
58	353	0.999479	635	635	True	0.550075	6.402914	1	0.000000
59	2222	0.999007	30	30	True	0.633887	2.065594	1	0.000000
60	883	0.998933	424	424	True	0.630314	0.019823	1	0.000000
61	1204	0.999438	353	353	True	0.473359	1.008032	1	0.000000
62	353	0.999536	1044	1044	True	0.494362	0.179209	1	0.000000
63	5227	0.999251	424	424	True	0.622553	1.757282	1	0.000000
64	424	0.999172	30	30	True	0.568332	2.939869	1	0.000000
65	411	0.999100	6353	6353	True	0.819868	1.030277	1	0.000000
66	1936	0.998985	30	30	True	0.567768	3.347742	1	0.000000
67	72840	0.996098	91	91	True	1.357336	4.472754	1	0.000000
68	91	0.996582	316	316	True	1.094792	6.140343	1	0.000000
69	316	0.996573	6018	6018	True	1.318315	2.363791	1	0.000000
70	6018	0.994432	91	91	True	1.055416	8.769440	1	0.000000
71	91	0.994094	29	29	True	1.523208	4.778063	1	0.000000
72	29	0.993473	198	198	True	1.318157	3.434532	1	0.000000
73	198	0.994542	27	27	True	1.368337	2.945786	1	0.000000
74	27	0.992305	91	91	True	1.492925	6.519960	1	0.000000
75	91	0.995841	316	316	True	1.074365	4.420012	1	0.000000
76	316	0.997027	4747	4747	True	1.463156	5.865305	1	0.000000
77	4747	0.993774	91	91	True	1.207489	9.882019	1	0.000000
78	91	0.995355	29	29	True	1.380548	6.607481	1	0.000000
79	29	0.995869	74455	74455	True	1.242396	0.893457	1	0.000000
80	74455	0.995140	198	198	True	1.229798	2.976133	1	0.000000
81	198	0.997700	248068	248068	True	0.883172	5.625673	1	0.000000
summary	n_positions	82
summary	n_vocab	248320
summary	min_cosine	0.992305
summary	min_cosine_pos	74
summary	mean_cosine	0.997819
summary	median_cosine	0.998883
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[4, 12]
summary	n_argmax_mismatches	2
summary	max_abs_diff	1.523208
summary	max_abs_diff_pos	71
