pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999482	2614	2614	True	0.618102	1.268937	1	0.000000
1	3841	0.999026	321	321	True	0.608440	0.844052	1	0.000000
2	13477	0.999318	627	627	True	0.832947	0.538606	1	0.000000
3	37550	0.999376	321	321	True	0.645587	0.095097	1	0.000000
4	33075	0.999434	888	888	True	0.448034	0.573793	1	0.000000
5	888	0.999658	279	279	True	0.517472	0.447659	1	0.000000
6	279	0.999651	15740	15740	True	0.638205	0.562495	1	0.000000
7	15217	0.999711	5388	5388	True	0.719168	0.505071	1	0.000000
8	5388	0.999333	13	13	True	0.637379	1.486877	1	0.000000
9	1345	0.999666	279	279	True	0.606344	2.345150	1	0.000000
10	279	0.999670	15217	15217	True	0.454747	1.075686	1	0.000000
11	12433	0.999502	369	369	True	0.479680	0.972281	1	0.000000
12	21250	0.999447	279	279	True	0.493601	2.946262	1	0.000000
13	34227	0.999544	34129	34129	True	0.431537	0.894373	1	0.000000
14	36165	0.999508	314	314	True	0.599644	0.224792	1	0.000000
15	23497	0.999336	13	13	True	0.554664	0.284571	1	0.000000
16	883	0.999656	279	279	True	0.523763	1.324366	1	0.000000
17	31108	0.999618	4649	4649	True	0.495057	4.254642	1	0.000000
18	4649	0.999457	13	13	True	0.551030	1.361080	1	0.000000
19	5638	0.999398	13	13	True	0.527077	1.242521	1	0.000000
20	11	0.999269	321	321	True	0.486980	0.601484	1	0.000000
21	4098	0.998869	3808	4082	False	0.616047	0.047510	2	0.094194
22	23122	0.999228	11	11	True	0.544726	0.068985	1	0.000000
23	11	0.999409	321	321	True	0.473248	3.960773	1	0.000000
24	15167	0.999262	3741	3741	True	0.531118	0.395866	1	0.000000
25	47410	0.999237	11	11	True	0.495232	2.575598	1	0.000000
26	11	0.999481	321	321	True	0.492790	3.184061	1	0.000000
27	9966	0.998704	1954	1954	True	0.539058	0.559313	1	0.000000
28	1452	0.999506	795	795	True	0.487995	0.219327	1	0.000000
29	6326	0.999177	11	11	True	0.647342	1.586199	1	0.000000
30	61369	0.998724	11	11	True	0.611204	3.086218	1	0.000000
31	11	0.999465	321	321	True	0.480296	2.659625	1	0.000000
32	321	0.999005	279	29144	False	0.604652	0.003461	2	0.062555
33	279	0.999485	491	491	True	0.512130	0.705774	1	0.000000
34	26984	0.998391	314	314	True	0.648643	5.711441	1	0.000000
35	314	0.999256	29144	29144	True	0.615056	0.498816	1	0.000000
36	638	0.998948	57695	57695	True	0.576898	0.082584	1	0.000000
37	37309	0.998955	290	290	True	0.602992	0.527246	1	0.000000
38	290	0.999659	14791	14791	True	0.552540	0.897193	1	0.000000
39	42903	0.999434	13	13	True	0.565329	2.403467	1	0.000000
40	3808	0.999602	279	279	True	0.443436	0.709667	1	0.000000
41	2943	0.999387	3478	2086	False	0.588431	0.088477	2	0.018745
42	94408	0.999226	795	795	True	0.736647	0.619682	1	0.000000
43	17882	0.999277	13	13	True	0.526514	1.537853	1	0.000000
44	26	0.999176	279	279	True	0.529894	0.733370	1	0.000000
45	1396	0.999394	13340	13340	True	0.524989	1.454701	1	0.000000
46	13901	0.998639	314	314	True	0.614179	0.166388	1	0.000000
47	557	0.999168	5158	5158	True	0.583961	0.346426	1	0.000000
48	47193	0.999229	11	11	True	0.677555	0.193302	1	0.000000
49	11	0.999233	1396	1396	True	0.611735	0.312996	1	0.000000
50	1396	0.999102	11316	11316	True	0.611363	1.428858	1	0.000000
51	1898	0.998909	557	557	True	0.607711	1.553385	1	0.000000
52	557	0.999165	28853	28853	True	0.560649	0.383495	1	0.000000
53	21197	0.999056	11	11	True	0.656378	2.349535	1	0.000000
54	11	0.999224	321	321	True	0.511875	1.323093	1	0.000000
55	321	0.998709	1396	1396	True	0.714081	0.660906	1	0.000000
56	279	0.998879	4307	4307	True	0.685431	0.732954	1	0.000000
57	1830	0.999141	557	557	True	0.526552	0.913984	1	0.000000
58	9202	0.998997	440	440	True	0.621429	4.194492	1	0.000000
59	440	0.999397	264	264	True	0.497751	1.790039	1	0.000000
60	264	0.999535	1562	1562	True	0.575164	0.414511	1	0.000000
61	50802	0.998859	314	314	True	0.773763	1.591698	1	0.000000
62	314	0.999389	279	279	True	0.551644	0.235317	1	0.000000
63	50614	0.999257	34129	34129	True	0.537001	0.110952	1	0.000000
64	39663	0.999291	3470	3470	True	0.605030	1.762848	1	0.000000
65	22188	0.999247	7123	7123	True	0.577549	0.701460	1	0.000000
66	7123	0.999192	13	13	True	0.563165	1.642151	1	0.000000
67	421	0.999424	998	998	True	0.547521	0.255692	1	0.000000
68	995	0.998905	978	978	True	0.678995	1.577387	1	0.000000
69	310	0.999271	381	381	True	0.553398	2.110310	1	0.000000
70	1440	0.999135	1518	1518	True	0.570648	1.107395	1	0.000000
71	1518	0.999465	279	279	True	0.567321	1.305916	1	0.000000
72	279	0.999392	1534	1534	True	0.564703	0.277332	1	0.000000
73	4722	0.999542	13	13	True	0.560222	0.345818	1	0.000000
74	1362	0.999549	381	381	True	0.557916	1.532063	1	0.000000
75	381	0.999564	11454	11454	True	0.617266	1.829817	1	0.000000
76	35883	0.999461	430	430	True	0.553610	0.692074	1	0.000000
77	13	0.999143	271	198	False	0.473671	0.010229	2	0.058846
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.998391
summary	min_cosine_pos	34
summary	mean_cosine	0.999279
summary	median_cosine	0.999305
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[21, 32, 41, 77]
summary	n_argmax_mismatches	4
summary	max_abs_diff	0.832947
summary	max_abs_diff_pos	2
