pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.999041	87	87	True	0.617288	0.050667	1	0.000000
1	91	0.997522	8678	8678	True	1.080529	0.215542	1	0.000000
2	316	0.997173	91	91	True	1.445398	0.393979	1	0.000000
3	4747	0.997470	91	91	True	0.806805	0.285385	1	0.000000
4	91	0.997244	29	29	True	0.874357	0.319860	1	0.000000
5	29	0.996556	198	198	True	0.920977	0.338240	1	0.000000
6	8678	0.997276	91	91	True	1.004197	0.684963	1	0.000000
7	198	0.996952	27	27	True	0.874251	1.022400	1	0.000000
8	2523	0.999199	513	513	True	0.656380	3.144424	1	0.000000
9	513	0.999445	264	264	True	0.752779	0.134672	1	0.000000
10	264	0.999585	10631	10631	True	0.708663	1.482847	1	0.000000
11	61446	0.999279	11	11	True	0.653992	0.340261	1	0.000000
12	17313	0.999411	13	13	True	0.542337	0.123886	1	0.000000
13	852	0.998297	628	369	False	0.761302	0.185287	2	0.052355
14	10926	0.999150	279	279	True	0.549860	0.320271	1	0.000000
15	303	0.999227	264	264	True	0.573059	0.526106	1	0.000000
16	13983	0.999491	1414	1414	True	0.547318	2.420572	1	0.000000
17	6163	0.998984	13	13	True	0.599433	0.538858	1	0.000000
18	15294	0.997423	316	316	True	0.770076	3.435087	1	0.000000
19	91	0.996896	316	316	True	0.945653	4.248890	1	0.000000
20	316	0.994605	4747	4747	True	1.482198	0.851765	1	0.000000
21	6018	0.993358	91	91	True	1.235838	5.256283	1	0.000000
22	91	0.995408	29	29	True	1.129022	3.008883	1	0.000000
23	29	0.994644	198	198	True	1.208240	1.513468	1	0.000000
24	198	0.994231	27	27	True	1.183664	0.176693	1	0.000000
25	27	0.996707	316	316	True	1.101109	1.544184	1	0.000000
26	91	0.997462	316	316	True	0.979528	1.234802	1	0.000000
27	316	0.997158	4747	4747	True	0.866628	6.387783	1	0.000000
28	4747	0.996419	91	91	True	0.916859	5.901804	1	0.000000
29	91	0.995362	29	29	True	1.117029	4.246975	1	0.000000
30	29	0.996936	8678	8678	True	0.897660	1.263115	1	0.000000
31	846	0.997261	198	198	True	0.944112	4.613583	1	0.000000
32	198	0.998947	27	27	True	0.574719	0.266768	1	0.000000
33	4888	0.999146	4099	4099	True	0.581986	0.593904	1	0.000000
34	19666	0.998580	67	67	True	0.575242	2.392404	1	0.000000
35	67	0.998431	1336	1336	True	0.944690	3.753537	1	0.000000
36	1336	0.999664	25844	25844	True	0.586368	0.717550	1	0.000000
37	25844	0.999346	369	369	True	0.703188	1.027708	1	0.000000
38	47965	0.999443	1040	1040	True	0.633754	2.933276	1	0.000000
39	1040	0.999724	15530	15530	True	0.549143	0.226417	1	0.000000
40	29977	0.999638	42572	42572	True	0.638242	3.657007	1	0.000000
41	42572	0.999565	73639	73639	True	0.666917	2.146461	1	0.000000
42	73639	0.999329	13	13	True	0.899298	0.713385	1	0.000000
43	321	0.998890	369	369	True	0.755946	0.142793	1	0.000000
44	682	0.999259	264	264	True	0.613019	1.403257	1	0.000000
45	264	0.999591	3619	3619	True	0.540186	0.186508	1	0.000000
46	19177	0.999377	786	786	True	0.634356	2.209716	1	0.000000
47	14058	0.999542	13	13	True	0.571630	0.212553	1	0.000000
48	383	0.999379	279	279	True	0.611495	0.080954	1	0.000000
49	1844	0.999209	314	314	True	0.502143	0.378542	1	0.000000
50	13	0.999359	3437	3437	True	0.627437	1.121536	1	0.000000
51	2091	0.999564	411	411	True	0.563509	0.048468	1	0.000000
52	424	0.999628	5902	5902	True	0.571529	0.139657	1	0.000000
53	44531	0.999030	30	30	True	0.624090	3.008917	1	0.000000
54	11	0.999142	466	466	True	0.603826	0.119492	1	0.000000
55	321	0.999339	1092	1092	True	0.486582	1.017006	1	0.000000
56	1092	0.999420	1220	1220	True	0.530177	1.531036	1	0.000000
57	1220	0.999510	353	353	True	0.532158	4.464081	1	0.000000
58	353	0.999487	635	635	True	0.541298	6.402914	1	0.000000
59	2222	0.998872	30	30	True	0.585574	2.065594	1	0.000000
60	883	0.999286	424	424	True	0.584643	0.019823	1	0.000000
61	1204	0.999431	353	353	True	0.526264	1.008032	1	0.000000
62	353	0.999564	1044	1236	False	0.485206	0.179209	2	0.002607
63	5227	0.999306	424	424	True	0.609461	1.757282	1	0.000000
64	424	0.998907	30	30	True	0.651036	2.939869	1	0.000000
65	411	0.999509	6353	6353	True	0.551493	1.030277	1	0.000000
66	1936	0.998874	30	30	True	0.581618	3.347742	1	0.000000
67	72840	0.995764	91	91	True	1.158175	4.472754	1	0.000000
68	91	0.997410	316	316	True	0.992543	6.140343	1	0.000000
69	316	0.997829	6018	6018	True	0.866481	2.363791	1	0.000000
70	6018	0.995392	91	91	True	1.055569	8.769440	1	0.000000
71	91	0.992847	29	29	True	1.116625	4.778063	1	0.000000
72	29	0.993824	198	198	True	1.117703	3.434532	1	0.000000
73	198	0.995442	27	27	True	1.093089	2.945786	1	0.000000
74	27	0.996083	91	91	True	1.094415	6.519960	1	0.000000
75	91	0.994564	316	316	True	1.074586	4.420012	1	0.000000
76	316	0.997338	4747	4747	True	1.076343	5.865305	1	0.000000
77	4747	0.987121	91	91	True	1.715559	9.882019	1	0.000000
78	91	0.995423	29	29	True	1.231421	6.607481	1	0.000000
79	29	0.996708	74455	74455	True	1.167223	0.893457	1	0.000000
80	74455	0.996930	198	198	True	0.956387	2.976133	1	0.000000
81	198	0.995231	248068	248068	True	1.086963	5.625673	1	0.000000
summary	n_positions	82
summary	n_vocab	248320
summary	min_cosine	0.987121
summary	min_cosine_pos	77
summary	mean_cosine	0.997785
summary	median_cosine	0.998882
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[13, 62]
summary	n_argmax_mismatches	2
summary	max_abs_diff	1.715559
summary	max_abs_diff_pos	77
