pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999281	2614	2614	True	0.659780	1.268937	1	0.000000
1	3841	0.998949	321	321	True	0.611115	0.844052	1	0.000000
2	13477	0.998631	627	627	True	1.292312	0.538606	1	0.000000
3	37550	0.999170	321	321	True	0.778757	0.095097	1	0.000000
4	33075	0.999317	888	888	True	0.580241	0.573793	1	0.000000
5	888	0.999566	279	279	True	0.576045	0.447659	1	0.000000
6	279	0.999659	15740	15740	True	0.552667	0.562495	1	0.000000
7	15217	0.999695	5388	5388	True	0.685244	0.505071	1	0.000000
8	5388	0.999296	13	13	True	0.639863	1.486877	1	0.000000
9	1345	0.999675	279	279	True	0.548915	2.345150	1	0.000000
10	279	0.999590	15217	15217	True	0.520307	1.075686	1	0.000000
11	12433	0.999501	369	369	True	0.460537	0.972281	1	0.000000
12	21250	0.999432	279	279	True	0.557556	2.946262	1	0.000000
13	34227	0.999464	34129	34129	True	0.462343	0.894373	1	0.000000
14	36165	0.999561	314	314	True	0.484067	0.224792	1	0.000000
15	23497	0.999345	13	13	True	0.541332	0.284571	1	0.000000
16	883	0.999642	279	279	True	0.493331	1.324366	1	0.000000
17	31108	0.999605	4649	4649	True	0.483233	4.254642	1	0.000000
18	4649	0.999498	13	13	True	0.583172	1.361080	1	0.000000
19	5638	0.999197	13	13	True	0.563142	1.242521	1	0.000000
20	11	0.998670	321	321	True	0.683541	0.601484	1	0.000000
21	4098	0.999236	3808	3808	True	0.620711	0.047510	1	0.000000
22	23122	0.998852	11	11	True	0.654630	0.068985	1	0.000000
23	11	0.999002	321	321	True	0.631226	3.960773	1	0.000000
24	15167	0.999216	3741	3741	True	0.618045	0.395866	1	0.000000
25	47410	0.999120	11	11	True	0.553294	2.575598	1	0.000000
26	11	0.999606	321	321	True	0.441404	3.184061	1	0.000000
27	9966	0.998649	1954	1954	True	0.548044	0.559313	1	0.000000
28	1452	0.999343	795	795	True	0.623236	0.219327	1	0.000000
29	6326	0.999262	11	11	True	0.620535	1.586199	1	0.000000
30	61369	0.999122	11	11	True	0.513375	3.086218	1	0.000000
31	11	0.999631	321	321	True	0.430047	2.659625	1	0.000000
32	321	0.999535	279	279	True	0.462875	0.003461	1	0.000000
33	279	0.999509	491	491	True	0.519038	0.705774	1	0.000000
34	26984	0.997909	314	314	True	0.646693	5.711441	1	0.000000
35	314	0.999382	29144	29144	True	0.558619	0.498816	1	0.000000
36	638	0.999001	57695	5331	False	0.622617	0.082584	2	0.046402
37	37309	0.998871	290	290	True	0.631700	0.527246	1	0.000000
38	290	0.999664	14791	14791	True	0.512594	0.897193	1	0.000000
39	42903	0.999330	13	13	True	0.584934	2.403467	1	0.000000
40	3808	0.999423	279	279	True	0.603630	0.709667	1	0.000000
41	2943	0.999461	3478	3478	True	0.524472	0.088477	1	0.000000
42	94408	0.999455	795	795	True	0.531037	0.619682	1	0.000000
43	17882	0.999166	13	13	True	0.522805	1.537853	1	0.000000
44	26	0.999084	279	279	True	0.572882	0.733370	1	0.000000
45	1396	0.999263	13340	13340	True	0.572760	1.454701	1	0.000000
46	13901	0.998933	314	314	True	0.681211	0.166388	1	0.000000
47	557	0.999254	5158	5158	True	0.573366	0.346426	1	0.000000
48	47193	0.999091	11	11	True	0.607218	0.193302	1	0.000000
49	11	0.999128	1396	1396	True	0.676309	0.312996	1	0.000000
50	1396	0.999162	11316	11316	True	0.570740	1.428858	1	0.000000
51	1898	0.998963	557	557	True	0.599339	1.553385	1	0.000000
52	557	0.999120	28853	28853	True	0.580397	0.383495	1	0.000000
53	21197	0.998730	11	11	True	0.603299	2.349535	1	0.000000
54	11	0.999154	321	321	True	0.562599	1.323093	1	0.000000
55	321	0.998971	1396	1396	True	0.683005	0.660906	1	0.000000
56	279	0.998978	4307	4307	True	0.621957	0.732954	1	0.000000
57	1830	0.998953	557	557	True	0.632257	0.913984	1	0.000000
58	9202	0.999237	440	440	True	0.484865	4.194492	1	0.000000
59	440	0.999456	264	264	True	0.539582	1.790039	1	0.000000
60	264	0.999487	1562	1562	True	0.619863	0.414511	1	0.000000
61	50802	0.998962	314	314	True	0.663474	1.591698	1	0.000000
62	314	0.999265	279	279	True	0.650753	0.235317	1	0.000000
63	50614	0.999185	34129	34129	True	0.555123	0.110952	1	0.000000
64	39663	0.999151	3470	3470	True	0.582455	1.762848	1	0.000000
65	22188	0.999302	7123	7123	True	0.620468	0.701460	1	0.000000
66	7123	0.999302	13	13	True	0.518943	1.642151	1	0.000000
67	421	0.998999	998	998	True	0.631630	0.255692	1	0.000000
68	995	0.999109	978	978	True	0.731606	1.577387	1	0.000000
69	310	0.999332	381	381	True	0.577725	2.110310	1	0.000000
70	1440	0.999118	1518	1518	True	0.560534	1.107395	1	0.000000
71	1518	0.999450	279	279	True	0.568658	1.305916	1	0.000000
72	279	0.999424	1534	1534	True	0.608600	0.277332	1	0.000000
73	4722	0.999464	13	13	True	0.565345	0.345818	1	0.000000
74	1362	0.999459	381	381	True	0.614185	1.532063	1	0.000000
75	381	0.999496	11454	11454	True	0.580048	1.829817	1	0.000000
76	35883	0.999462	430	430	True	0.507186	0.692074	1	0.000000
77	13	0.998966	271	271	True	0.543334	0.010229	1	0.000000
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.997909
summary	min_cosine_pos	34
summary	mean_cosine	0.999242
summary	median_cosine	0.999264
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[36]
summary	n_argmax_mismatches	1
summary	max_abs_diff	1.292312
summary	max_abs_diff_pos	2
