pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.999924	87	87	True	0.177372	0.050667	1	0.000000
1	91	0.997116	8678	8678	True	1.131443	0.215542	1	0.000000
2	316	0.995888	91	91	True	1.308566	0.393979	1	0.000000
3	4747	0.998070	91	91	True	0.741427	0.285385	1	0.000000
4	91	0.996032	29	16	False	1.151329	0.319860	2	0.036949
5	29	0.997332	198	198	True	0.708519	0.338240	1	0.000000
6	8678	0.998629	91	91	True	0.705480	0.684963	1	0.000000
7	198	0.997288	27	27	True	0.855219	1.022400	1	0.000000
8	2523	0.999092	513	513	True	0.636463	3.144424	1	0.000000
9	513	0.999435	264	264	True	0.771801	0.134672	1	0.000000
10	264	0.999606	10631	10631	True	0.561922	1.482847	1	0.000000
11	61446	0.999445	11	11	True	0.575779	0.340261	1	0.000000
12	17313	0.999402	13	364	False	0.530360	0.123886	2	0.050146
13	852	0.998063	628	628	True	0.806881	0.185287	1	0.000000
14	10926	0.999165	279	279	True	0.594933	0.320271	1	0.000000
15	303	0.999339	264	264	True	0.518090	0.526106	1	0.000000
16	13983	0.999473	1414	1414	True	0.624449	2.420572	1	0.000000
17	6163	0.998590	13	13	True	0.750983	0.538858	1	0.000000
18	15294	0.997935	316	316	True	0.788815	3.435087	1	0.000000
19	91	0.997416	316	316	True	0.839619	4.248890	1	0.000000
20	316	0.997637	4747	4747	True	0.942139	0.851765	1	0.000000
21	6018	0.992935	91	91	True	1.404618	5.256283	1	0.000000
22	91	0.995217	29	29	True	1.086198	3.008883	1	0.000000
23	29	0.996889	198	198	True	0.844792	1.513468	1	0.000000
24	198	0.988491	27	27	True	1.810080	0.176693	1	0.000000
25	27	0.995108	316	316	True	1.302540	1.544184	1	0.000000
26	91	0.996695	316	316	True	1.038704	1.234802	1	0.000000
27	316	0.994187	4747	4747	True	1.015130	6.387783	1	0.000000
28	4747	0.994697	91	91	True	1.259207	5.901804	1	0.000000
29	91	0.993715	29	29	True	1.349256	4.246975	1	0.000000
30	29	0.997788	8678	8678	True	0.898706	1.263115	1	0.000000
31	846	0.997776	198	198	True	1.109638	4.613583	1	0.000000
32	198	0.998235	27	3710	False	0.835605	0.266768	2	0.037037
33	4888	0.999299	4099	4099	True	0.567530	0.593904	1	0.000000
34	19666	0.998511	67	67	True	0.610645	2.392404	1	0.000000
35	67	0.998835	1336	1336	True	0.771071	3.753537	1	0.000000
36	1336	0.999528	25844	25844	True	0.718170	0.717550	1	0.000000
37	25844	0.999294	369	369	True	0.721566	1.027708	1	0.000000
38	47965	0.999595	1040	1040	True	0.540329	2.933276	1	0.000000
39	1040	0.999665	15530	15530	True	0.671644	0.226417	1	0.000000
40	29977	0.999670	42572	42572	True	0.658993	3.657007	1	0.000000
41	42572	0.999646	73639	73639	True	0.782093	2.146461	1	0.000000
42	73639	0.999400	13	13	True	0.608057	0.713385	1	0.000000
43	321	0.999342	369	369	True	0.610849	0.142793	1	0.000000
44	682	0.999494	264	264	True	0.521705	1.403257	1	0.000000
45	264	0.999649	3619	3619	True	0.502385	0.186508	1	0.000000
46	19177	0.999410	786	786	True	0.602266	2.209716	1	0.000000
47	14058	0.999388	13	13	True	0.618720	0.212553	1	0.000000
48	383	0.999354	279	279	True	0.524654	0.080954	1	0.000000
49	1844	0.998793	314	314	True	0.553539	0.378542	1	0.000000
50	13	0.999357	3437	3437	True	0.603122	1.121536	1	0.000000
51	2091	0.999534	411	411	True	0.481982	0.048468	1	0.000000
52	424	0.999654	5902	5902	True	0.596126	0.139657	1	0.000000
53	44531	0.999007	30	30	True	0.632514	3.008917	1	0.000000
54	11	0.999117	466	466	True	0.708356	0.119492	1	0.000000
55	321	0.999396	1092	1092	True	0.552777	1.017006	1	0.000000
56	1092	0.999427	1220	1220	True	0.510591	1.531036	1	0.000000
57	1220	0.999547	353	353	True	0.609215	4.464081	1	0.000000
58	353	0.999585	635	635	True	0.480178	6.402914	1	0.000000
59	2222	0.998530	30	30	True	0.664891	2.065594	1	0.000000
60	883	0.999395	424	424	True	0.512078	0.019823	1	0.000000
61	1204	0.999484	353	353	True	0.536387	1.008032	1	0.000000
62	353	0.999631	1044	1044	True	0.475462	0.179209	1	0.000000
63	5227	0.999488	424	424	True	0.522447	1.757282	1	0.000000
64	424	0.999338	30	30	True	0.475409	2.939869	1	0.000000
65	411	0.999495	6353	6353	True	0.564687	1.030277	1	0.000000
66	1936	0.999079	30	30	True	0.595074	3.347742	1	0.000000
67	72840	0.996854	91	91	True	1.150319	4.472754	1	0.000000
68	91	0.997230	316	316	True	1.051902	6.140343	1	0.000000
69	316	0.997351	6018	6018	True	1.018903	2.363791	1	0.000000
70	6018	0.994812	91	91	True	1.123432	8.769440	1	0.000000
71	91	0.995853	29	29	True	1.017044	4.778063	1	0.000000
72	29	0.995753	198	198	True	0.924249	3.434532	1	0.000000
73	198	0.996607	27	27	True	0.887826	2.945786	1	0.000000
74	27	0.992501	91	91	True	1.280927	6.519960	1	0.000000
75	91	0.997340	316	316	True	0.849232	4.420012	1	0.000000
76	316	0.997775	4747	4747	True	1.015889	5.865305	1	0.000000
77	4747	0.994697	91	91	True	1.074693	9.882019	1	0.000000
78	91	0.993229	29	29	True	1.325737	6.607481	1	0.000000
79	29	0.997974	74455	74455	True	0.921727	0.893457	1	0.000000
80	74455	0.995203	198	198	True	1.273687	2.976133	1	0.000000
81	198	0.997364	248068	248068	True	0.887907	5.625673	1	0.000000
summary	n_positions	82
summary	n_vocab	248320
summary	min_cosine	0.988491
summary	min_cosine_pos	24
summary	mean_cosine	0.997867
summary	median_cosine	0.998711
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[4, 12, 32]
summary	n_argmax_mismatches	3
summary	max_abs_diff	1.81008
summary	max_abs_diff_pos	24
