pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	0.999281	2614	2614	True	0.659781	1.268937	1	0.000000
1	3841	0.998693	321	321	True	0.688788	0.844052	1	0.000000
2	13477	0.998711	627	627	True	1.261379	0.538606	1	0.000000
3	37550	0.999163	321	321	True	0.744697	0.095097	1	0.000000
4	33075	0.999005	888	888	True	0.598452	0.573793	1	0.000000
5	888	0.999582	279	279	True	0.619625	0.447659	1	0.000000
6	279	0.999679	15740	15740	True	0.542158	0.562495	1	0.000000
7	15217	0.999722	5388	5388	True	0.680222	0.505071	1	0.000000
8	5388	0.999241	13	13	True	0.602389	1.486877	1	0.000000
9	1345	0.999579	279	279	True	0.634502	2.345150	1	0.000000
10	279	0.999651	15217	15217	True	0.519622	1.075686	1	0.000000
11	12433	0.999466	369	369	True	0.493279	0.972281	1	0.000000
12	21250	0.999313	279	279	True	0.581252	2.946262	1	0.000000
13	34227	0.999460	34129	34129	True	0.467202	0.894373	1	0.000000
14	36165	0.999602	314	314	True	0.434824	0.224792	1	0.000000
15	23497	0.999230	13	13	True	0.596222	0.284571	1	0.000000
16	883	0.999650	279	279	True	0.526937	1.324366	1	0.000000
17	31108	0.999535	4649	4649	True	0.562000	4.254642	1	0.000000
18	4649	0.999526	13	13	True	0.592302	1.361080	1	0.000000
19	5638	0.999358	13	13	True	0.530363	1.242521	1	0.000000
20	11	0.999091	321	321	True	0.583364	0.601484	1	0.000000
21	4098	0.999242	3808	4082	False	0.496163	0.047510	2	0.005798
22	23122	0.997941	11	11	True	0.777424	0.068985	1	0.000000
23	11	0.999461	321	321	True	0.444944	3.960773	1	0.000000
24	15167	0.999356	3741	3741	True	0.514928	0.395866	1	0.000000
25	47410	0.999103	11	11	True	0.547172	2.575598	1	0.000000
26	11	0.999171	321	321	True	0.557703	3.184061	1	0.000000
27	9966	0.998721	1954	1954	True	0.561549	0.559313	1	0.000000
28	1452	0.999437	795	795	True	0.542044	0.219327	1	0.000000
29	6326	0.999193	11	11	True	0.629348	1.586199	1	0.000000
30	61369	0.999041	11	11	True	0.559652	3.086218	1	0.000000
31	11	0.999660	321	321	True	0.418180	2.659625	1	0.000000
32	321	0.999493	279	279	True	0.465446	0.003461	1	0.000000
33	279	0.999489	491	491	True	0.489308	0.705774	1	0.000000
34	26984	0.998799	314	314	True	0.616962	5.711441	1	0.000000
35	314	0.999169	29144	29144	True	0.575086	0.498816	1	0.000000
36	638	0.998564	57695	5331	False	0.682267	0.082584	2	0.043251
37	37309	0.999027	290	290	True	0.559057	0.527246	1	0.000000
38	290	0.999657	14791	14791	True	0.585125	0.897193	1	0.000000
39	42903	0.999453	13	13	True	0.635115	2.403467	1	0.000000
40	3808	0.999554	279	279	True	0.465440	0.709667	1	0.000000
41	2943	0.999544	3478	2086	False	0.558216	0.088477	2	0.094852
42	94408	0.999362	795	795	True	0.553940	0.619682	1	0.000000
43	17882	0.999234	13	13	True	0.506724	1.537853	1	0.000000
44	26	0.998640	279	279	True	0.616842	0.733370	1	0.000000
45	1396	0.999220	13340	13340	True	0.608903	1.454701	1	0.000000
46	13901	0.998943	314	314	True	0.694442	0.166388	1	0.000000
47	557	0.999119	5158	5158	True	0.558974	0.346426	1	0.000000
48	47193	0.999497	11	11	True	0.484274	0.193302	1	0.000000
49	11	0.999152	1396	1396	True	0.635626	0.312996	1	0.000000
50	1396	0.999377	11316	11316	True	0.488547	1.428858	1	0.000000
51	1898	0.998990	557	557	True	0.655366	1.553385	1	0.000000
52	557	0.999071	28853	28853	True	0.568478	0.383495	1	0.000000
53	21197	0.999027	11	11	True	0.560490	2.349535	1	0.000000
54	11	0.999156	321	321	True	0.532970	1.323093	1	0.000000
55	321	0.998764	1396	1396	True	0.634972	0.660906	1	0.000000
56	279	0.999100	4307	4307	True	0.574116	0.732954	1	0.000000
57	1830	0.998676	557	557	True	0.588635	0.913984	1	0.000000
58	9202	0.999196	440	440	True	0.540174	4.194492	1	0.000000
59	440	0.999504	264	264	True	0.514035	1.790039	1	0.000000
60	264	0.999523	1562	1562	True	0.570550	0.414511	1	0.000000
61	50802	0.999157	314	314	True	0.653670	1.591698	1	0.000000
62	314	0.999337	279	279	True	0.640811	0.235317	1	0.000000
63	50614	0.999047	34129	34129	True	0.572422	0.110952	1	0.000000
64	39663	0.999254	3470	3470	True	0.652618	1.762848	1	0.000000
65	22188	0.999008	7123	7123	True	0.698156	0.701460	1	0.000000
66	7123	0.999248	13	13	True	0.555050	1.642151	1	0.000000
67	421	0.999358	998	998	True	0.536233	0.255692	1	0.000000
68	995	0.999204	978	978	True	0.568691	1.577387	1	0.000000
69	310	0.999325	381	381	True	0.561952	2.110310	1	0.000000
70	1440	0.998935	1518	1518	True	0.641905	1.107395	1	0.000000
71	1518	0.999474	279	279	True	0.649191	1.305916	1	0.000000
72	279	0.999381	1534	1534	True	0.606962	0.277332	1	0.000000
73	4722	0.999557	13	13	True	0.533366	0.345818	1	0.000000
74	1362	0.999465	381	381	True	0.558861	1.532063	1	0.000000
75	381	0.999524	11454	11454	True	0.620282	1.829817	1	0.000000
76	35883	0.999468	430	430	True	0.512867	0.692074	1	0.000000
77	13	0.999157	271	271	True	0.522506	0.010229	1	0.000000
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.997941
summary	min_cosine_pos	22
summary	mean_cosine	0.999244
summary	median_cosine	0.999251
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[21, 36, 41]
summary	n_argmax_mismatches	3
summary	max_abs_diff	1.261379
summary	max_abs_diff_pos	2
