pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	0.999924	87	87	True	0.177372	0.050667	1	0.000000
1	91	0.996738	8678	8678	True	1.262122	0.215542	1	0.000000
2	316	0.995944	91	91	True	1.180566	0.393979	1	0.000000
3	4747	0.998143	91	91	True	0.673333	0.285385	1	0.000000
4	91	0.996084	29	29	True	0.932155	0.319860	1	0.000000
5	29	0.993340	198	198	True	1.006620	0.338240	1	0.000000
6	8678	0.998435	91	91	True	0.775624	0.684963	1	0.000000
7	198	0.998061	27	27	True	0.702936	1.022400	1	0.000000
8	2523	0.998918	513	513	True	0.724254	3.144424	1	0.000000
9	513	0.999336	264	264	True	0.905909	0.134672	1	0.000000
10	264	0.999500	10631	10631	True	0.702062	1.482847	1	0.000000
11	61446	0.999409	11	11	True	0.594937	0.340261	1	0.000000
12	17313	0.999179	13	13	True	0.582745	0.123886	1	0.000000
13	852	0.999049	628	628	True	0.690046	0.185287	1	0.000000
14	10926	0.999472	279	279	True	0.566427	0.320271	1	0.000000
15	303	0.999252	264	264	True	0.556219	0.526106	1	0.000000
16	13983	0.999428	1414	1414	True	0.648039	2.420572	1	0.000000
17	6163	0.999011	13	13	True	0.560925	0.538858	1	0.000000
18	15294	0.997132	316	316	True	0.772969	3.435087	1	0.000000
19	91	0.996232	316	316	True	0.936893	4.248890	1	0.000000
20	316	0.998249	4747	4747	True	0.912146	0.851765	1	0.000000
21	6018	0.992185	91	91	True	1.541897	5.256283	1	0.000000
22	91	0.993702	29	29	True	1.237301	3.008883	1	0.000000
23	29	0.996148	198	198	True	1.158384	1.513468	1	0.000000
24	198	0.996232	27	846	False	0.987896	0.176693	2	0.050840
25	27	0.997976	316	316	True	0.920117	1.544184	1	0.000000
26	91	0.997477	316	316	True	0.824810	1.234802	1	0.000000
27	316	0.996590	4747	4747	True	0.942336	6.387783	1	0.000000
28	4747	0.996921	91	91	True	0.892512	5.901804	1	0.000000
29	91	0.995993	29	29	True	1.020469	4.246975	1	0.000000
30	29	0.997165	8678	8678	True	0.894425	1.263115	1	0.000000
31	846	0.997755	198	198	True	1.079009	4.613583	1	0.000000
32	198	0.998833	27	27	True	0.586168	0.266768	1	0.000000
33	4888	0.998919	4099	4099	True	0.581466	0.593904	1	0.000000
34	19666	0.998951	67	67	True	0.606897	2.392404	1	0.000000
