label	pos	idx	tensor	layer	n	bit_equal	rel_l2	max_abs	llama_first4	apr_first4
p4	0	0	model.input_embed	-1	1024	1024	0.000000e+00	0.000000e+00	0.00861465931,0.012060523,0.0206751823,-0.0241210461	0.00861465931,0.012060523,0.0206751823,-0.0241210461
p4	0	1	attn_norm-0	0	1024	1024	0.000000e+00	0.000000e+00	0.804404795,0.729148924,1.48186445,-1.96639264	0.804404795,0.729148924,1.48186445,-1.96639264
p4	0	2	conv_output_silu-0	0	6144	6144	0.000000e+00	0.000000e+00	0.0151475985,-0.000458114344,0.00156917621,0.422838897	0.0151475985,-0.000458114344,0.00156917621,0.422838897
p4	0	3	q_conv_predelta-0	0	2048	2048	0.000000e+00	0.000000e+00	0.0284802243,-0.000861337816,0.00295033492,0.795013547	0.0284802243,-0.000861337816,0.00295033492,0.795013547
p4	0	4	k_conv_predelta-0	0	2048	2048	0.000000e+00	0.000000e+00	0.00106224918,0.0860972703,0.0977004319,0.000354820921	0.00106224918,0.0860972703,0.0977004319,0.000354820921
p4	0	5	v_conv_predelta-0	0	2048	2048	0.000000e+00	0.000000e+00	-0.000635103323,0.000963137485,0.000886906986,-0.00808946602	-0.000635103323,0.000963137485,0.000886906986,-0.00808946602
p4	0	6	a_softplus-0	0	16	16	0.000000e+00	0.000000e+00	3.65524697,0.000606591289,0.00199131458,6.23334169	3.65524697,0.000606591289,0.00199131458,6.23334169
p4	0	7	gate-0	0	16	16	0.000000e+00	0.000000e+00	-4.73024082,-7.95674569e-05,-0.000237828615,-3.53780437	-4.73024082,-7.95674569e-05,-0.000237828615,-3.53780437
p4	0	8	beta_sigmoid-0	0	16	16	0.000000e+00	0.000000e+00	0.583097696,0.541695356,0.753251016,0.97367245	0.583097696,0.541695356,0.753251016,0.97367245
p4	0	9	state_predelta-0	0	262144	262144	0.000000e+00	0.000000e+00	0,0,0,0	0,0,0,0
p4	0	10	new_state-0	0	262144	262144	0.000000e+00	0.000000e+00	-3.93379878e-07,-3.18841703e-05,-3.61811362e-05,-1.31399872e-07	-3.93379878e-07,-3.18841703e-05,-3.61811362e-05,-1.31399872e-07
p4	0	11	attn_output-0	0	2048	2048	0.000000e+00	0.000000e+00	1.0349617e-07,-1.56952453e-07,-1.44529963e-07,1.31825584e-06	1.0349617e-07,-1.56952453e-07,-1.44529963e-07,1.31825584e-06
p4	0	12	z-0	0	2048	2048	0.000000e+00	0.000000e+00	-0.479235053,0.140865922,0.34920913,-0.287062287	-0.479235053,0.140865922,0.34920913,-0.287062287
p4	0	13	final_output-0	0	2048	2048	0.000000e+00	0.000000e+00	-1.82688527e-05,-1.17163036e-05,-2.74584763e-05,-0.000149958025	-1.82688527e-05,-1.17163036e-05,-2.74584763e-05,-0.000149958025
p4	0	14	linear_attn_out-0	0	1024	1024	0.000000e+00	0.000000e+00	-0.249426872,0.0656647384,0.0067916438,0.00469857454	-0.249426872,0.0656647384,0.0067916438,0.00469857454
p4	0	15	attn_residual-0	0	1024	1024	0.000000e+00	0.000000e+00	-0.240812212,0.0777252614,0.0274668261,-0.0194224715	-0.240812212,0.0777252614,0.0274668261,-0.0194224715
p4	0	16	attn_post_norm-0	0	1024	1024	0.000000e+00	0.000000e+00	-4.77791166,2.8288064,1.02864087,-0.712736189	-4.77791166,2.8288064,1.02864087,-0.712736189
p4	0	17	ffn_out-0	0	1024	1024	0.000000e+00	0.000000e+00	0.0804717094,0.0927953497,0.038045492,-0.0299790148	0.0804717094,0.0927953497,0.038045492,-0.0299790148
p4	0	18	l_out-0	0	1024	1024	0.000000e+00	0.000000e+00	-0.160340503,0.170520604,0.0655123144,-0.0494014844	-0.160340503,0.170520604,0.0655123144,-0.0494014844
p4	0	19	attn_norm-1	1	1024	1024	0.000000e+00	0.000000e+00	-3.2413497,4.46672249,1.64145851,-1.32714915	-3.2413497,4.46672249,1.64145851,-1.32714915
