pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	760	1.000000	2614	2614	True	0.000000	1.268937	1	0.000000
1	3841	0.998753	321	321	True	0.586797	0.844052	1	0.000000
2	13477	0.999228	627	627	True	0.920576	0.538606	1	0.000000
3	37550	0.999407	321	321	True	0.678516	0.095097	1	0.000000
4	33075	0.999009	888	888	True	0.503650	0.573793	1	0.000000
5	888	0.999691	279	279	True	0.499544	0.447659	1	0.000000
6	279	0.999689	15740	15740	True	0.558923	0.562495	1	0.000000
7	15217	0.999760	5388	5388	True	0.669252	0.505071	1	0.000000
8	5388	0.999325	13	13	True	0.526637	1.486877	1	0.000000
9	1345	0.999714	279	279	True	0.459753	2.345150	1	0.000000
10	279	0.999663	15217	15217	True	0.545184	1.075686	1	0.000000
11	12433	0.999430	369	369	True	0.520073	0.972281	1	0.000000
12	21250	0.999438	279	279	True	0.454919	2.946262	1	0.000000
13	34227	0.999526	34129	34129	True	0.403003	0.894373	1	0.000000
14	36165	0.999455	314	314	True	0.522659	0.224792	1	0.000000
15	23497	0.999241	13	13	True	0.580759	0.284571	1	0.000000
16	883	0.999729	279	279	True	0.428623	1.324366	1	0.000000
17	31108	0.999569	4649	4649	True	0.501527	4.254642	1	0.000000
18	4649	0.999519	13	13	True	0.499134	1.361080	1	0.000000
19	5638	0.999450	13	13	True	0.505728	1.242521	1	0.000000
20	11	0.999267	321	321	True	0.461646	0.601484	1	0.000000
21	4098	0.999384	3808	4082	False	0.615773	0.047510	2	0.015816
22	23122	0.998925	11	11	True	0.553873	0.068985	1	0.000000
23	11	0.999406	321	321	True	0.478637	3.960773	1	0.000000
24	15167	0.999319	3741	3741	True	0.553512	0.395866	1	0.000000
25	47410	0.998917	11	11	True	0.531610	2.575598	1	0.000000
26	11	0.999557	321	321	True	0.454723	3.184061	1	0.000000
27	9966	0.997896	1954	1954	True	0.611188	0.559313	1	0.000000
28	1452	0.999436	795	795	True	0.509784	0.219327	1	0.000000
29	6326	0.999521	11	11	True	0.511127	1.586199	1	0.000000
30	61369	0.998974	11	11	True	0.588671	3.086218	1	0.000000
31	11	0.999532	321	321	True	0.497980	2.659625	1	0.000000
32	321	0.999454	279	279	True	0.543071	0.003461	1	0.000000
33	279	0.999507	491	491	True	0.515423	0.705774	1	0.000000
34	26984	0.999079	314	314	True	0.706341	5.711441	1	0.000000
35	314	0.999459	29144	29144	True	0.525457	0.498816	1	0.000000
36	638	0.999022	57695	57695	True	0.600054	0.082584	1	0.000000
37	37309	0.999313	290	290	True	0.528847	0.527246	1	0.000000
38	290	0.999722	14791	14791	True	0.499388	0.897193	1	0.000000
39	42903	0.999457	13	13	True	0.610223	2.403467	1	0.000000
40	3808	0.999461	279	279	True	0.589617	0.709667	1	0.000000
41	2943	0.999453	3478	2086	False	0.563811	0.088477	2	0.012673
42	94408	0.999585	795	795	True	0.441086	0.619682	1	0.000000
43	17882	0.999132	13	13	True	0.584104	1.537853	1	0.000000
44	26	0.999420	279	279	True	0.528465	0.733370	1	0.000000
45	1396	0.999179	13340	13340	True	0.551951	1.454701	1	0.000000
46	13901	0.999131	314	314	True	0.608660	0.166388	1	0.000000
47	557	0.999470	5158	5158	True	0.434512	0.346426	1	0.000000
48	47193	0.999442	11	11	True	0.492926	0.193302	1	0.000000
49	11	0.999428	1396	1396	True	0.568319	0.312996	1	0.000000
50	1396	0.999123	11316	11316	True	0.543557	1.428858	1	0.000000
51	1898	0.999084	557	557	True	0.611778	1.553385	1	0.000000
52	557	0.999249	28853	28853	True	0.641961	0.383495	1	0.000000
53	21197	0.999256	11	11	True	0.486602	2.349535	1	0.000000
54	11	0.999174	321	321	True	0.492121	1.323093	1	0.000000
55	321	0.998606	1396	1396	True	0.696658	0.660906	1	0.000000
56	279	0.999200	4307	4307	True	0.604438	0.732954	1	0.000000
57	1830	0.999193	557	557	True	0.483788	0.913984	1	0.000000
58	9202	0.999227	440	440	True	0.507172	4.194492	1	0.000000
59	440	0.999456	264	264	True	0.519997	1.790039	1	0.000000
60	264	0.999391	1562	1562	True	0.558999	0.414511	1	0.000000
61	50802	0.999377	314	314	True	0.536940	1.591698	1	0.000000
62	314	0.999401	279	279	True	0.576551	0.235317	1	0.000000
63	50614	0.999248	34129	34129	True	0.545472	0.110952	1	0.000000
64	39663	0.999418	3470	3470	True	0.580633	1.762848	1	0.000000
65	22188	0.998873	7123	7123	True	0.687277	0.701460	1	0.000000
66	7123	0.999407	13	13	True	0.428700	1.642151	1	0.000000
67	421	0.998952	998	998	True	0.652956	0.255692	1	0.000000
68	995	0.999317	978	978	True	0.507473	1.577387	1	0.000000
69	310	0.999347	381	381	True	0.527153	2.110310	1	0.000000
70	1440	0.999190	1518	1518	True	0.540941	1.107395	1	0.000000
71	1518	0.999375	279	279	True	0.602518	1.305916	1	0.000000
72	279	0.999511	1534	1534	True	0.540549	0.277332	1	0.000000
73	4722	0.999604	13	13	True	0.539989	0.345818	1	0.000000
74	1362	0.999508	381	381	True	0.548728	1.532063	1	0.000000
75	381	0.999610	11454	11454	True	0.536661	1.829817	1	0.000000
76	35883	0.999521	430	430	True	0.484176	0.692074	1	0.000000
77	13	0.998954	271	271	True	0.561118	0.010229	1	0.000000
summary	n_positions	78
summary	n_vocab	248320
summary	min_cosine	0.997896
summary	min_cosine_pos	27
summary	mean_cosine	0.999333
summary	median_cosine	0.999407
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[21, 41]
summary	n_argmax_mismatches	2
summary	max_abs_diff	0.920576
summary	max_abs_diff_pos	2
