pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	1.000000	87	87	True	0.000000	0.050667	1	0.000000
1	91	0.997358	8678	8678	True	1.015362	0.215542	1	0.000000
2	316	0.995240	91	91	True	1.226065	0.393979	1	0.000000
3	4747	0.998192	91	91	True	0.779113	0.285385	1	0.000000
4	91	0.998236	29	29	True	0.650986	0.319860	1	0.000000
5	29	0.997897	198	198	True	0.623675	0.338240	1	0.000000
6	8678	0.998572	91	91	True	0.753592	0.684963	1	0.000000
7	198	0.998355	27	27	True	0.668649	1.022400	1	0.000000
8	2523	0.999411	513	513	True	0.555459	3.144424	1	0.000000
9	513	0.999436	264	264	True	0.691400	0.134672	1	0.000000
10	264	0.999638	10631	10631	True	0.541754	1.482847	1	0.000000
11	61446	0.999505	11	11	True	0.558645	0.340261	1	0.000000
12	17313	0.999473	13	13	True	0.485507	0.123886	1	0.000000
13	852	0.998178	628	628	True	0.794931	0.185287	1	0.000000
14	10926	0.999219	279	279	True	0.608747	0.320271	1	0.000000
15	303	0.999287	264	264	True	0.589198	0.526106	1	0.000000
16	13983	0.999143	1414	1414	True	0.729900	2.420572	1	0.000000
17	6163	0.999061	13	13	True	0.550983	0.538858	1	0.000000
18	15294	0.998539	316	316	True	0.841860	3.435087	1	0.000000
19	91	0.996268	316	316	True	0.930551	4.248890	1	0.000000
20	316	0.997224	4747	4747	True	1.110135	0.851765	1	0.000000
21	6018	0.995164	91	91	True	1.153059	5.256283	1	0.000000
22	91	0.997798	29	29	True	0.811182	3.008883	1	0.000000
23	29	0.996770	198	198	True	0.893548	1.513468	1	0.000000
24	198	0.997880	27	27	True	0.755315	0.176693	1	0.000000
25	27	0.997464	316	316	True	0.920635	1.544184	1	0.000000
26	91	0.997226	316	316	True	0.789294	1.234802	1	0.000000
27	316	0.998112	4747	4747	True	0.732271	6.387783	1	0.000000
