pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	27	1.000000	87	87	True	0.000000	0.050667	1	0.000000
1	91	1.000000	8678	8678	True	0.000000	0.215542	1	0.000000
2	316	1.000000	91	91	True	0.000000	0.393979	1	0.000000
3	4747	1.000000	91	91	True	0.000000	0.285385	1	0.000000
4	91	1.000000	29	29	True	0.000000	0.319860	1	0.000000
5	29	1.000000	198	198	True	0.000000	0.338240	1	0.000000
6	8678	1.000000	91	91	True	0.000000	0.684963	1	0.000000
7	198	1.000000	27	27	True	0.000000	1.022400	1	0.000000
8	2523	1.000000	513	513	True	0.000000	3.144424	1	0.000000
9	513	1.000000	264	264	True	0.000000	0.134672	1	0.000000
10	264	1.000000	10631	10631	True	0.000000	1.482847	1	0.000000
11	61446	1.000000	11	11	True	0.000000	0.340261	1	0.000000
12	17313	1.000000	13	13	True	0.000000	0.123886	1	0.000000
13	852	1.000000	628	628	True	0.000000	0.185287	1	0.000000
14	10926	1.000000	279	279	True	0.000000	0.320271	1	0.000000
15	303	1.000000	264	264	True	0.000000	0.526106	1	0.000000
16	13983	1.000000	1414	1414	True	0.000000	2.420572	1	0.000000
17	6163	1.000000	13	13	True	0.000000	0.538858	1	0.000000
18	15294	1.000000	316	316	True	0.000000	3.435087	1	0.000000
19	91	1.000000	316	316	True	0.000000	4.248890	1	0.000000
20	316	1.000000	4747	4747	True	0.000000	0.851765	1	0.000000
21	6018	1.000000	91	91	True	0.000000	5.256283	1	0.000000
22	91	1.000000	29	29	True	0.000000	3.008883	1	0.000000
23	29	1.000000	198	198	True	0.000000	1.513468	1	0.000000
24	198	1.000000	27	27	True	0.000000	0.176693	1	0.000000
25	27	1.000000	316	316	True	0.000000	1.544184	1	0.000000
26	91	1.000000	316	316	True	0.000000	1.234802	1	0.000000
27	316	1.000000	4747	4747	True	0.000000	6.387783	1	0.000000
28	4747	1.000000	91	91	True	0.000000	5.901804	1	0.000000
29	91	1.000000	29	29	True	0.000000	4.246975	1	0.000000
30	29	1.000000	8678	8678	True	0.000000	1.263115	1	0.000000
31	846	1.000000	198	198	True	0.000000	4.613583	1	0.000000
32	198	1.000000	27	27	True	0.000000	0.266768	1	0.000000
33	4888	1.000000	4099	4099	True	0.000000	0.593904	1	0.000000
34	19666	1.000000	67	67	True	0.000000	2.392404	1	0.000000
35	67	1.000000	1336	1336	True	0.000000	3.753537	1	0.000000
36	1336	1.000000	25844	25844	True	0.000000	0.717550	1	0.000000
37	25844	1.000000	369	369	True	0.000000	1.027708	1	0.000000
38	47965	1.000000	1040	1040	True	0.000000	2.933276	1	0.000000
39	1040	1.000000	15530	15530	True	0.000000	0.226417	1	0.000000
40	29977	1.000000	42572	42572	True	0.000000	3.657007	1	0.000000
41	42572	1.000000	73639	73639	True	0.000000	2.146461	1	0.000000
42	73639	1.000000	13	13	True	0.000000	0.713385	1	0.000000
43	321	1.000000	369	369	True	0.000000	0.142793	1	0.000000
44	682	1.000000	264	264	True	0.000000	1.403257	1	0.000000
45	264	1.000000	3619	3619	True	0.000000	0.186508	1	0.000000
46	19177	1.000000	786	786	True	0.000000	2.209716	1	0.000000
47	14058	1.000000	13	13	True	0.000000	0.212553	1	0.000000
48	383	1.000000	279	279	True	0.000000	0.080954	1	0.000000
49	1844	1.000000	314	314	True	0.000000	0.378542	1	0.000000
50	13	1.000000	3437	3437	True	0.000000	1.121536	1	0.000000
51	2091	1.000000	411	411	True	0.000000	0.048468	1	0.000000
52	424	1.000000	5902	5902	True	0.000000	0.139657	1	0.000000
53	44531	1.000000	30	30	True	0.000000	3.008917	1	0.000000
54	11	1.000000	466	466	True	0.000000	0.119492	1	0.000000
55	321	1.000000	1092	1092	True	0.000000	1.017006	1	0.000000
56	1092	1.000000	1220	1220	True	0.000000	1.531036	1	0.000000
57	1220	1.000000	353	353	True	0.000000	4.464081	1	0.000000
58	353	1.000000	635	635	True	0.000000	6.402914	1	0.000000
59	2222	1.000000	30	30	True	0.000000	2.065594	1	0.000000
60	883	1.000000	424	424	True	0.000000	0.019823	1	0.000000
61	1204	1.000000	353	353	True	0.000000	1.008032	1	0.000000
62	353	1.000000	1044	1044	True	0.000000	0.179209	1	0.000000
63	5227	1.000000	424	424	True	0.000000	1.757282	1	0.000000
64	424	1.000000	30	30	True	0.000000	2.939869	1	0.000000
65	411	1.000000	6353	6353	True	0.000000	1.030277	1	0.000000
66	1936	1.000000	30	30	True	0.000000	3.347742	1	0.000000
67	72840	1.000000	91	91	True	0.000000	4.472754	1	0.000000
68	91	1.000000	316	316	True	0.000000	6.140343	1	0.000000
69	316	1.000000	6018	6018	True	0.000000	2.363791	1	0.000000
70	6018	1.000000	91	91	True	0.000000	8.769440	1	0.000000
71	91	1.000000	29	29	True	0.000000	4.778063	1	0.000000
72	29	1.000000	198	198	True	0.000000	3.434532	1	0.000000
73	198	1.000000	27	27	True	0.000000	2.945786	1	0.000000
74	27	1.000000	91	91	True	0.000000	6.519960	1	0.000000
75	91	1.000000	316	316	True	0.000000	4.420012	1	0.000000
76	316	1.000000	4747	4747	True	0.000000	5.865305	1	0.000000
77	4747	1.000000	91	91	True	0.000000	9.882019	1	0.000000
78	91	1.000000	29	29	True	0.000000	6.607481	1	0.000000
79	29	1.000000	74455	74455	True	0.000000	0.893457	1	0.000000
80	74455	1.000000	198	198	True	0.000000	2.976133	1	0.000000
81	198	1.000000	248068	248068	True	0.000000	5.625673	1	0.000000
summary	n_positions	82
summary	n_vocab	248320
summary	min_cosine	1.0
summary	min_cosine_pos	9
summary	mean_cosine	1.0
summary	median_cosine	1.0
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[]
summary	n_argmax_mismatches	0
summary	max_abs_diff	0.0
summary	max_abs_diff_pos	0
