pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	4350	0.997448	264	264	True	1.452764	0.534529	1	0.000000
1	279	0.999168	1156	1510	False	0.525877	0.382980	2	0.017526
2	2235	0.998976	2812	2812	True	0.686542	0.105893	1	0.000000
3	324	0.997926	55965	55965	True	0.692377	1.760706	1	0.000000
4	55965	0.999392	557	557	True	0.717515	0.843843	1	0.000000
5	51624	0.999631	557	557	True	0.577035	0.200917	1	0.000000
6	20922	0.999284	11	11	True	0.630421	1.018606	1	0.000000
7	11	0.999580	279	279	True	0.584977	0.845968	1	0.000000
8	279	0.999624	491	491	True	0.526055	0.221711	1	0.000000
9	13721	0.999697	314	314	True	0.539289	0.416048	1	0.000000
10	5467	0.999499	264	264	True	0.542865	2.152769	1	0.000000
11	264	0.999737	20876	20876	True	0.437246	0.067236	1	0.000000
12	2526	0.999702	22175	22175	True	0.514980	0.143602	1	0.000000
13	20876	0.999583	310	310	True	0.560571	0.239233	1	0.000000
14	383	0.999753	279	279	True	0.565123	0.318684	1	0.000000
15	279	0.999565	13721	13721	True	0.751326	0.007174	1	0.000000
16	72103	0.999644	13	13	True	0.562072	0.371859	1	0.000000
17	6784	0.999525	13	13	True	0.495143	0.739092	1	0.000000
18	13	0.999673	561	561	True	0.505881	0.389011	1	0.000000
19	14608	0.999701	998	998	True	0.619071	0.825125	1	0.000000
20	11354	0.999759	264	264	True	0.484463	0.356840	1	0.000000
21	5392	0.999653	70676	70676	True	0.686512	1.099291	1	0.000000
22	70676	0.999549	82	82	True	0.631424	8.914567	1	0.000000
23	82	0.999667	321	321	True	0.484267	0.100639	1	0.000000
24	11	0.999739	321	321	True	0.569496	1.934661	1	0.000000
25	70704	0.999763	998	998	True	0.435704	0.073454	1	0.000000
26	3125	0.999653	7112	7112	True	0.686882	2.042027	1	0.000000
27	7112	0.999559	11	11	True	0.583715	0.629553	1	0.000000
28	883	0.999708	279	279	True	0.524191	1.427380	1	0.000000
29	42046	0.999563	11	11	True	0.622265	0.487579	1	0.000000
30	421	0.999527	995	995	True	0.608248	1.813553	1	0.000000
31	995	0.999701	5642	5642	True	0.524474	0.318188	1	0.000000
32	6791	0.999710	14012	14012	True	0.545187	0.213500	1	0.000000
33	4284	0.999649	279	279	True	0.726772	1.000902	1	0.000000
34	836	0.999639	6107	6107	True	0.594377	0.210419	1	0.000000
35	30592	0.999395	11	11	True	0.725279	2.655005	1	0.000000
36	11	0.999480	321	321	True	0.552037	3.741771	1	0.000000
37	321	0.999716	279	279	True	0.546241	1.771567	1	0.000000
38	279	0.999687	13721	13721	True	0.490086	0.795933	1	0.000000
39	16427	0.999428	7002	7002	True	0.643637	0.424192	1	0.000000
40	1301	0.999631	264	264	True	0.625299	1.083454	1	0.000000
41	264	0.999746	31708	31708	True	0.487077	1.668013	1	0.000000
42	6321	0.999577	494	494	True	0.639414	0.970190	1	0.000000
43	494	0.999736	264	264	True	0.582537	0.178726	1	0.000000
44	264	0.999775	4099	4099	True	0.612366	0.549838	1	0.000000
45	89343	0.999490	852	852	True	0.802698	1.595243	1	0.000000
46	852	0.999515	995	995	True	0.756874	2.159863	1	0.000000
47	995	0.999568	5384	5384	True	0.670878	0.148518	1	0.000000
48	978	0.999676	5384	5384	True	0.553027	0.322639	1	0.000000
49	31511	0.999447	539	539	True	0.578436	1.486927	1	0.000000
50	2046	0.999421	539	539	True	0.539634	2.124260	1	0.000000
51	25292	0.999428	1578	1578	True	0.823061	0.299139	1	0.000000
52	1578	0.999468	3998	3998	True	0.696354	2.835505	1	0.000000
53	6575	0.999357	13	13	True	0.530758	1.335203	1	0.000000
54	13	0.999674	198	561	False	0.457827	0.042578	2	0.098228
55	35254	0.999669	6661	6661	True	0.496927	1.194418	1	0.000000
56	9444	0.999713	279	279	True	0.468452	1.524630	1	0.000000
57	421	0.999643	279	279	True	0.657941	2.043315	1	0.000000
58	279	0.999638	324	324	True	0.526765	0.445967	1	0.000000
59	3000	0.999362	995	995	True	0.624763	0.482399	1	0.000000
60	995	0.999652	978	978	True	0.501592	2.366165	1	0.000000
61	978	0.999613	53838	53838	True	0.651913	0.760553	1	0.000000
62	26606	0.999206	13	13	True	0.625269	0.112692	1	0.000000
63	364	0.999389	264	264	True	0.628927	0.172985	1	0.000000
64	264	0.999537	1248	1248	True	0.540639	1.270144	1	0.000000
65	12828	0.999243	13	13	True	0.525436	0.195152	1	0.000000
66	26	0.999420	279	279	True	0.636321	0.103745	1	0.000000
67	279	0.999517	20876	20876	True	0.632591	0.710878	1	0.000000
68	51624	0.999448	995	995	True	0.576236	0.269493	1	0.000000
69	995	0.999584	978	978	True	0.548930	0.214161	1	0.000000
70	4777	0.999587	2047	20922	False	0.544723	0.099743	2	0.069799
71	8341	0.999570	279	279	True	0.687459	0.286077	1	0.000000
72	28546	0.999285	279	279	True	0.731432	1.364456	1	0.000000
73	279	0.999474	20618	20618	True	0.636715	1.639536	1	0.000000
74	30129	0.999439	310	310	True	0.542118	0.188097	1	0.000000
75	1396	0.999693	1834	1834	True	0.560791	0.457418	1	0.000000
76	11129	0.999399	13	13	True	0.571251	0.397320	1	0.000000
77	11	0.999357	321	321	True	0.632501	0.780842	1	0.000000
78	1521	0.999626	551	551	True	0.491490	0.002338	1	0.000000
79	4184	0.999498	995	995	True	0.565524	0.746838	1	0.000000
80	21105	0.999299	310	310	True	0.552493	4.247780	1	0.000000
81	310	0.999587	599	1366	False	0.529989	0.015099	2	0.116808
82	13	0.999628	198	198	True	0.494433	0.639336	1	0.000000
summary	n_positions	83
summary	n_vocab	248320
summary	min_cosine	0.997448
summary	min_cosine_pos	0
summary	mean_cosine	0.999509
summary	median_cosine	0.99958
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[1, 54, 70, 81]
summary	n_argmax_mismatches	4
summary	max_abs_diff	1.452764
summary	max_abs_diff_pos	0
