pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	4350	0.997315	264	264	True	1.300403	0.475966	1	0.000000
1	279	0.999098	1156	1510	False	0.543501	0.196401	2	0.017526
2	2235	0.999122	2812	2812	True	0.697677	0.061234	1	0.000000
3	324	0.998382	55965	55965	True	0.674126	1.664576	1	0.000000
4	55965	0.999301	557	557	True	0.740104	0.673885	1	0.000000
5	51624	0.999618	557	557	True	0.583151	0.171474	1	0.000000
6	20922	0.999324	11	11	True	0.641270	1.040493	1	0.000000
7	11	0.999652	279	279	True	0.576051	0.910721	1	0.000000
8	279	0.999557	324	491	False	0.631616	0.057065	2	0.207952
9	13721	0.999716	314	314	True	0.504720	0.355885	1	0.000000
10	5467	0.999453	264	264	True	0.684102	2.157448	1	0.000000
11	264	0.999620	24126	20876	False	0.553635	0.072882	2	0.032449
12	2526	0.999673	22175	22175	True	0.559932	0.072498	1	0.000000
13	20876	0.999632	310	310	True	0.640757	0.250586	1	0.000000
14	383	0.999788	279	279	True	0.472918	0.424979	1	0.000000
15	279	0.999620	2235	13721	False	0.643381	0.162533	2	0.032610
16	72103	0.999550	13	13	True	0.714210	0.433795	1	0.000000
17	6784	0.999366	13	13	True	0.533570	0.700449	1	0.000000
18	13	0.999614	561	561	True	0.682750	0.264540	1	0.000000
19	14608	0.999736	998	998	True	0.507830	0.867905	1	0.000000
20	11354	0.999746	264	264	True	0.660486	0.297030	1	0.000000
21	5392	0.999694	70676	70676	True	0.586955	1.064653	1	0.000000
22	70676	0.999630	82	82	True	0.566875	8.517457	1	0.000000
23	82	0.999646	321	321	True	0.484467	0.011189	1	0.000000
24	11	0.999720	321	321	True	0.510526	1.740884	1	0.000000
25	70704	0.999711	725	998	False	0.492065	0.048549	3	0.221789
26	3125	0.999682	7112	7112	True	0.665941	2.053859	1	0.000000
27	7112	0.999544	11	11	True	0.546757	0.595345	1	0.000000
28	883	0.999750	279	279	True	0.544203	1.420786	1	0.000000
29	42046	0.999437	11	11	True	0.568433	0.610407	1	0.000000
30	421	0.999478	995	995	True	0.647139	1.823330	1	0.000000
31	995	0.999637	5642	5642	True	0.579120	0.508402	1	0.000000
32	6791	0.999750	10548	14012	False	0.619713	0.023308	2	0.205399
33	4284	0.999686	279	279	True	0.643124	0.967398	1	0.000000
34	836	0.999593	6107	6107	True	0.568470	0.228886	1	0.000000
35	30592	0.999439	11	11	True	0.691826	2.435625	1	0.000000
36	11	0.999639	321	321	True	0.572475	3.693662	1	0.000000
37	321	0.999767	279	279	True	0.570444	1.689814	1	0.000000
38	279	0.999662	13721	13721	True	0.532846	0.904940	1	0.000000
39	16427	0.999625	7002	7002	True	0.515755	0.179653	1	0.000000
40	1301	0.999483	264	264	True	0.817990	0.922508	1	0.000000
41	264	0.999720	31708	31708	True	0.502110	1.481686	1	0.000000
