pos	token_id	cosine	argmax_ref	argmax_apr	argmax_match	max_abs_diff	ref_top1_top2_gap	apr_rank_of_ref_argmax	apr_gap_to_ref_argmax
0	784	0.998737	1407	1407	True	0.887344	2.091211	1	0.000000
1	1407	0.998465	476	476	True	0.972713	4.664885	1	0.000000
2	476	0.998617	12143	12143	True	0.635863	0.082539	1	0.000000
3	49416	0.999240	476	476	True	0.725171	2.288965	1	0.000000
4	476	0.998342	17945	17945	True	0.925235	0.302311	1	0.000000
5	17945	0.999343	26	26	True	0.678061	7.328242	1	0.000000
6	26	0.998943	271	271	True	0.825764	0.642654	1	0.000000
7	271	0.996525	2490	2490	True	1.150441	2.516626	1	0.000000
8	2490	0.999521	19892	57833	False	0.636269	0.038839	2	0.079710
9	4356	0.998730	279	279	True	0.626546	2.686886	1	0.000000
10	1204	0.999376	1599	1599	True	0.481432	5.668797	1	0.000000
11	3428	0.999121	1754	1754	True	0.546595	0.340050	1	0.000000
12	1754	0.999472	3299	3542	False	0.564895	0.088924	2	0.032509
13	3299	0.999207	7701	7701	True	0.646770	1.960686	1	0.000000
14	7701	0.999312	303	303	True	0.545029	3.373558	1	0.000000
15	11	0.998828	321	321	True	0.630034	0.414911	1	0.000000
16	29890	0.999467	1105	1105	True	0.645601	1.478172	1	0.000000
17	1105	0.999320	321	321	True	0.648615	0.251007	1	0.000000
18	13	0.999123	198	198	True	0.719446	6.050314	1	0.000000
19	198	0.997875	2490	2490	True	0.781573	3.810047	1	0.000000
20	9299	0.999235	5003	5003	True	0.693361	3.678846	1	0.000000
21	5003	0.999241	1698	1698	True	0.633154	1.046503	1	0.000000
22	3299	0.999223	3079	3079	True	0.602123	0.857492	1	0.000000
23	25146	0.999420	5216	5216	True	0.646475	0.473862	1	0.000000
24	7008	0.998515	25	25	True	0.751714	7.359289	1	0.000000
25	25	0.999039	594	594	True	0.849899	5.390564	1	0.000000
26	594	0.998334	485	485	True	0.753983	8.376686	1	0.000000
27	485	0.997852	8	8	True	0.749181	4.038052	1	0.000000
28	8	0.998506	1411	1411	True	0.783262	5.851873	1	0.000000
29	1411	0.999162	10215	10215	True	1.012430	5.106166	1	0.000000
30	10215	0.998448	3353	3353	True	0.848868	3.170389	1	0.000000
31	3353	0.998710	11	11	True	0.685664	5.578444	1	0.000000
32	11	0.999326	21609	21609	True	0.635661	1.043362	1	0.000000
33	21609	0.999119	29	29	True	0.693866	8.281424	1	0.000000
34	29	0.998680	313	313	True	0.832967	9.529404	1	0.000000
35	313	0.998756	198	198	True	0.776164	10.550919	1	0.000000
36	198	0.998558	262	262	True	0.785759	9.394947	1	0.000000
37	262	0.999253	1042	1042	True	0.701367	0.947878	1	0.000000
38	1042	0.999254	5041	5041	True	0.787075	1.985580	1	0.000000
39	5041	0.999280	3299	3299	True	0.635184	0.208473	1	0.000000
40	14159	0.999207	25	25	True	0.633847	0.423534	1	0.000000
41	283	0.999134	10215	10215	True	0.732738	6.130090	1	0.000000
42	10215	0.998566	476	476	True	0.744853	4.461174	1	0.000000
43	476	0.997917	902	902	True	0.784835	6.821423	1	0.000000
44	902	0.996228	2061	2061	True	1.174158	8.524797	1	0.000000
45	2061	0.997742	198	198	True	1.088611	1.692600	1	0.000000
46	198	0.997957	262	262	True	0.750359	1.511925	1	0.000000
47	262	0.999114	1042	1042	True	0.678678	1.089254	1	0.000000
48	364	0.999215	3299	3299	True	0.810132	1.187805	1	0.000000
49	3299	0.998984	303	303	True	0.764363	6.534294	1	0.000000
50	303	0.998907	1414	1414	True	0.967135	5.356787	1	0.000000
51	1414	0.998888	5121	5121	True	0.749435	2.470755	1	0.000000
52	5121	0.997963	83201	83201	True	0.929768	3.385155	1	0.000000
53	83201	0.998299	363	363	True	0.876612	4.680830	1	0.000000
54	363	0.998842	313	313	True	0.745677	8.755667	1	0.000000
55	313	0.998330	198	198	True	0.861651	9.774750	1	0.000000
56	198	0.998316	285	285	True	0.835836	8.967871	1	0.000000
57	285	0.998579	1042	1042	True	0.752971	0.138132	1	0.000000
58	1042	0.999297	3299	3299	True	0.650377	0.939583	1	0.000000
59	1328	0.998578	283	283	True	0.812082	2.465536	1	0.000000
60	283	0.999144	3299	3299	True	0.768229	2.945412	1	0.000000
61	3299	0.998875	2312	2312	True	0.821520	2.541161	1	0.000000
62	15937	0.998024	973	973	True	0.789626	0.857908	1	0.000000
63	37072	0.997787	482	482	True	0.949890	0.796772	1	0.000000
64	21729	0.996605	66	66	True	1.261642	2.401215	1	0.000000
65	66	0.998579	91	91	True	1.020366	1.354631	1	0.000000
66	25	0.999226	1122	1122	True	0.863175	2.866655	1	0.000000
67	1122	0.998052	91	91	True	1.063218	3.639458	1	0.000000
68	91	0.999177	272	272	True	0.788429	1.942490	1	0.000000
69	729	0.998485	66	66	True	0.851003	2.901674	1	0.000000
70	66	0.999148	2011	2011	True	0.812414	6.943120	1	0.000000
71	2011	0.998130	48551	83201	False	0.886970	0.143108	2	0.181654
72	8158	0.998793	63569	63569	True	0.724801	0.523443	1	0.000000
73	63569	0.997918	13039	13039	True	1.109862	1.372337	1	0.000000
74	5822	0.998421	951	951	True	0.834505	3.954924	1	0.000000
75	951	0.998280	89923	89923	True	0.842665	0.304668	1	0.000000
76	89923	0.998629	2061	2061	True	0.747061	3.533848	1	0.000000
77	2061	0.998483	198	198	True	0.816212	6.193468	1	0.000000
78	198	0.998347	285	285	True	0.710986	8.389685	1	0.000000
79	285	0.998918	14159	14159	True	0.675619	0.229485	1	0.000000
80	413	0.998855	1042	1042	True	0.757618	1.000383	1	0.000000
81	1328	0.998995	2011	2011	True	0.682108	1.039181	1	0.000000
82	2011	0.998076	14683	14683	True	0.871027	5.351433	1	0.000000
83	14683	0.998135	363	363	True	0.798310	7.041157	1	0.000000
84	363	0.998677	313	313	True	0.843760	3.728827	1	0.000000
85	313	0.998253	198	198	True	0.851586	3.728552	1	0.000000
86	198	0.996598	309	309	True	0.995932	7.210554	1	0.000000
87	309	0.998855	2962	2962	True	0.722913	4.559942	1	0.000000
88	2962	0.998848	26	26	True	0.902993	4.397749	1	0.000000
89	26	0.998556	198	198	True	0.756439	3.522367	1	0.000000
90	198	0.997252	285	285	True	1.025832	11.347271	1	0.000000
91	285	0.997218	333	333	True	0.870916	7.697052	1	0.000000
92	333	0.998504	198	198	True	0.814984	4.316961	1	0.000000
93	198	0.997627	285	285	True	0.809719	5.980667	1	0.000000
94	285	0.998660	14159	14159	True	0.804109	1.807606	1	0.000000
95	348	0.998356	43365	43365	True	0.850489	5.622295	1	0.000000
96	43365	0.998975	23361	23361	True	0.758811	2.580418	1	0.000000
97	23361	0.997366	4702	4702	True	0.987683	4.294287	1	0.000000
98	4702	0.997860	553	553	True	1.132679	5.646719	1	0.000000
99	553	0.997950	269	269	True	1.086300	4.889626	1	0.000000
100	269	0.996362	17152	17152	True	1.263819	2.381769	1	0.000000
101	17152	0.997921	7	7	True	0.862532	2.374752	1	0.000000
102	7	0.998339	15	15	True	0.861577	4.189863	1	0.000000
103	15	0.998174	8	8	True	0.922219	6.994434	1	0.000000
104	8	0.998960	1373	1373	True	0.742309	3.221270	1	0.000000
105	1373	0.999365	220	220	True	0.752349	5.671389	1	0.000000
106	220	0.998477	16	16	True	0.774184	9.343672	1	0.000000
107	16	0.998408	26	26	True	0.886136	4.969587	1	0.000000
108	26	0.998773	198	198	True	0.782230	8.126493	1	0.000000
109	198	0.997967	262	262	True	0.877630	5.530535	1	0.000000
110	262	0.998181	333	333	True	0.904201	9.773363	1	0.000000
111	333	0.997451	198	198	True	0.980353	3.634340	1	0.000000
112	198	0.998030	262	262	True	0.720339	3.624836	1	0.000000
113	262	0.998963	14159	14159	True	0.854167	0.816160	1	0.000000
114	14159	0.998673	198	198	True	1.018511	3.560781	1	0.000000
115	198	0.998888	92	92	True	0.916024	8.399792	1	0.000000
116	92	0.999106	271	271	True	0.747321	5.529955	1	0.000000
summary	n_positions	117
summary	n_vocab	248320
summary	min_cosine	0.996228
summary	min_cosine_pos	44
summary	mean_cosine	0.998549
summary	median_cosine	0.99866
summary	positions_below_0_98	[]
summary	n_below_0_98	0
summary	argmax_mismatches	[8, 12, 71]
summary	n_argmax_mismatches	3
summary	max_abs_diff	1.263819
summary	max_abs_diff_pos	100
